# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1
# k, omega, A(k,omega)

0.005 0.72 4.91376e-05
0.005 0.76 4.60718e-05
0.005 0.8 4.33102e-05
0.005 0.84 4.07987e-05
0.005 0.88 3.85279e-05
0.005 0.92 3.64408e-05
0.005 0.96 3.45437e-05
0.005 1 0
0.005 1.04 0
0.005 1.08 0
0.005 1.12 0
0.005 1.16 0
0.005 1.2 0
0.005 1.24 0
0.005 1.28 0
0.005 1.32 0
0.005 1.36 0
0.005 1.4 0
0.005 1.44 0
0.005 1.48 0
0.005 1.52 0
0.005 1.56 0
0.005 1.6 0
0.005 1.64 0
0.005 1.68 0
0.005 1.72 0
0.005 1.76 0
0.005 1.8 0
0.005 1.84 0
0.005 1.88 0
0.005 1.92 0
0.005 1.96 0
0.005 2 0
0.005 2.04 0
0.005 2.08 0
0.005 2.12 0
0.005 2.16 0
0.005 2.2 0
0.005 2.24 0
0.005 2.28 0
0.005 2.32 0
0.005 2.36 0
0.005 2.4 0
0.005 2.44 0
0.005 2.48 0
0.005 2.52 0
0.005 2.56 0
0.005 2.6 0
0.005 2.64 0
0.005 2.68 0
0.005 2.72 0
0.005 2.76 0
0.005 2.8 0
0.005 2.84 0
0.005 2.88 0
0.005 2.92 0
0.005 2.96 0
0.005 3 0
0.01 -3 5.20764e-05
0.01 -2.96 5.35792e-05
0.01 -2.92 5.49324e-05
0.01 -2.88 6.54034e-05
0.01 -2.84 7.10013e-05
0.01 -2.8 6.5275e-05
0.01 -2.76 6.82702e-05
0.01 -2.72 8.3357e-05
0.01 -2.68 8.34673e-05
0.01 -2.64 0.000105632
0.01 -2.6 0.000101919
0.01 -2.56 0.000122744
0.01 -2.52 0.000139303
0.01 -2.48 0.00016567
0.01 -2.44 0.000201874
0.01 -2.4 0.000255896
0.01 -2.36 0.000353513
0.01 -2.32 0.000504844
0.01 -2.28 0.000599771
0.01 -2.24 0.000671292
0.01 -2.2 0.000748793
0.01 -2.16 0.000855769
0.01 -2.12 0.000930849
0.01 -2.08 0.00090694
0.01 -2.04 0.00105261
0.01 -2 0.00110333
0.01 -1.96 0.00108483
0.01 -1.92 0.00118
0.01 -1.88 0.00119124
0.01 -1.84 0.00119057
0.01 -1.8 0.0012019
0.01 -1.76 0.00136307
0.01 -1.72 0.0012763
0.01 -1.68 0.00131674
0.01 -1.64 0.00142646
0.01 -1.6 0.00143201
0.01 -1.56 0.00141306
0.01 -1.52 0.00149017
0.01 -1.48 0.00150707
0.01 -1.44 0.00138388
0.01 -1.4 0.00152678
0.01 -1.36 0.00148709
0.01 -1.32 0.00154909
0.01 -1.28 0.00166693
0.01 -1.24 0.00158009
0.01 -1.2 0.00164646
0.01 -1.16 0.00169797
0.01 -1.12 0.00161069
0.01 -1.08 0.00168937
0.01 -1.04 0.00175838
0.01 -1 0.00171507
0.01 -0.96 0.00176751
0.01 -0.92 0.00176572
0.01 -0.88 0.0017522
0.01 -0.84 0.00186186
0.01 -0.8 0.00181059
0.01 -0.76 0.0018723
0.01 -0.72 0.0018864
0.01 -0.68 0.00192718
0.01 -0.64 0.00194911
0.01 -0.6 0.00198525
0.01 -0.56 0.00202931
0.01 -0.52 0.00207302
0.01 -0.48 0.0020932
0.01 -0.44 0.00217181
0.01 -0.4 0.00221829
0.01 -0.36 0.00225932
0.01 -0.32 0.00233791
0.01 -0.28 0.00239846
0.01 -0.24 0.00243678
0.01 -0.2 0.00236987
0.01 -0.16 0.00199502
0.01 -0.12 0.00139457
0.01 -0.08 0.000920059
0.01 -0.04 0.000635785
0.01 0 0.000465793
0.01 0.04 0.000358302
0.01 0.08 0.000286181
0.01 0.12 0.000235296
0.01 0.16 0.000197891
0.01 0.2 0.000169461
0.01 0.24 0.000147243
0.01 0.28 0.000129499
0.01 0.32 0.000115055
0.01 0.36 0.000103104
0.01 0.4 9.30814e-05
0.01 0.44 8.45791e-05
0.01 0.48 7.72834e-05
0.01 0.52 7.09693e-05
0.01 0.56 6.54596e-05
0.01 0.6 6.06243e-05
0.01 0.64 5.63369e-05
0.01 0.68 5.25308e-05
0.01 0.72 4.913e-05
0.01 0.76 4.60648e-05
0.01 0.8 4.33037e-05
0.01 0.84 4.07927e-05
0.01 0.88 3.85223e-05
0.01 0.92 3.64356e-05
0.01 0.96 3.45388e-05
0.01 1 0
0.01 1.04 0
0.01 1.08 0
0.01 1.12 0
0.01 1.16 0
0.01 1.2 0
0.01 1.24 0
0.01 1.28 0
0.01 1.32 0
0.01 1.36 0
0.01 1.4 0
0.01 1.44 0
0.01 1.48 0
0.01 1.52 0
0.01 1.56 0
0.01 1.6 0
0.01 1.64 0
0.01 1.68 0
0.01 1.72 0
0.01 1.76 0
0.01 1.8 0
0.01 1.84 0
0.01 1.88 0
0.01 1.92 0
0.01 1.96 0
0.01 2 0
0.01 2.04 0
0.01 2.08 0
0.01 2.12 0
0.01 2.16 0
0.01 2.2 0
0.01 2.24 0
0.01 2.28 0
0.01 2.32 0
0.01 2.36 0
0.01 2.4 0
0.01 2.44 0
0.01 2.48 0
0.01 2.52 0
0.01 2.56 0
0.01 2.6 0
0.01 2.64 0
0.01 2.68 0
0.01 2.72 0
0.01 2.76 0
0.01 2.8 0
0.01 2.84 0
0.01 2.88 0
