# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1
# k, omega, S(k,omega)

0.01 0.222 0.0109525
0.01 0.228 0.0255502
0.01 0.234 0.00261054
0.01 0.24 0.0159861
0.01 0.246 0.000286563
0.01 0.252 0.00601859
0.01 0.258 0.0203712
0.01 0.264 0.0159413
0.01 0.27 0.014491
0.01 0.276 0.0264598
0.01 0.282 0.00936196
0.01 0.288 0.0202558
0.01 0.294 0.0140965
0.01 0.3 0.00596911
0.01 0.306 0.00217854
0.01 0.312 0.00907684
0.01 0.318 0.0153654
0.01 0.324 0.0150796
0.01 0.33 0.00810085
0.01 0.336 0.0316685
0.01 0.342 0.0143021
0.01 0.348 0.0265942
0.01 0.354 0.012329
0.01 0.36 0.0437528
0.01 0.366 0.0361729
0.01 0.372 0.0265355
0.01 0.378 0.028995
0.01 0.384 0.0574971
0.01 0.39 0.0322569
0.01 0.396 0.0441798
0.01 0.402 0.0303311
0.01 0.408 0.0130867
0.01 0.414 0.00161137
0.01 0.42 0.00404367
0.01 0.426 0.000693515
0.01 0.432 0.00671843
0.01 0.438 0.000193258
0.01 0.444 0.00096822
0.01 0.45 0.00188869
0.01 0.456 0.00544457
0.01 0.462 0.00312315
0.01 0.468 0.00591863
0.01 0.474 0.00836322
0.01 0.48 0.00581415
0.01 0.486 0.00243099
0.01 0.492 0.0032276
0.01 0.498 0.000873149
0.01 0.504 9.25972e-05
0.01 0.51 0.000143812
0.01 0.516 0.000217208
0.01 0.522 6.44754e-05
0.01 0.528 0.000848409
0.01 0.534 0.000956207
0.01 0.54 0.0011176
0.01 0.546 0.000951295
0.01 0.552 0.000825028
0.01 0.558 0.00169749
0.01 0.564 0.00151269
0.01 0.57 0.00191228
0.01 0.576 0.000703535
0.01 0.582 0.000667786
0.01 0.588 0.00177089
0.01 0.594 0.00131141
0.01 0.6 8.25081e-05
0.015 0 0.0766274
0.015 0.006 0.070757
0.015 0.012 0.0528577
0.015 0.018 0.0426488
0.015 0.024 0.0444215
0.015 0.03 0.0480881
0.015 0.036 0.0612983
0.015 0.042 0.0554482
0.015 0.048 0.0472649
0.015 0.054 0.0158808
0.015 0.06 0.0108229
0.015 0.066 0.0041357
0.015 0.072 0.00889762
0.015 0.078 0.0271015
0.015 0.084 0.0372922
0.015 0.09 0.0441983
0.015 0.096 0.0578276
0.015 0.102 0.0219688
0.015 0.108 0.0381822
0.015 0.114 0.0539887
0.015 0.12 0.0254019
0.015 0.126 0.0101626
0.015 0.132 0.00671217
0.015 0.138 0.0133725
0.015 0.144 0.0150864
0.015 0.15 0.00608972
0.015 0.156 0.00752021
0.015 0.162 0.0427218
0.015 0.168 0.0465528
0.015 0.174 0.0428136
0.015 0.18 0.0240795
0.015 0.186 0.0663935
0.015 0.192 0.00654029
0.015 0.198 0.0110341
0.015 0.204 0.0106088
0.015 0.21 0.00922632
0.015 0.216 0.0137029
0.015 0.222 0.0111205
0.015 0.228 0.0226227
0.015 0.234 0.00136772
0.015 0.24 0.0124389
0.015 0.246 0.00144236
0.015 0.252 0.00639692
0.015 0.258 0.0213826
0.015 0.264 0.0108148
0.015 0.27 0.0149341
0.015 0.276 0.0203549
0.015 0.282 0.0012416
0.015 0.288 0.0306418
0.015 0.294 0.0220886
0.015 0.3 0.00119178
0.015 0.306 0.00556318
0.015 0.312 0.00248907
0.015 0.318 0.0108302
0.015 0.324 0.023914
0.015 0.33 0.017022
0.015 0.336 0.027354
0.015 0.342 0.0133854
0.015 0.348 0.0300878
0.015 0.354 0.00257912
0.015 0.36 0.0319459
0.015 0.366 0.0192863
0.015 0.372 0.0125316
0.015 0.378 0.0223804
0.015 0.384 0.0471133
0.015 0.39 0.0301331
0.015 0.396 0.0410462
0.015 0.402 0.0267566
0.015 0.408 0.0116332
0.015 0.414 0.000341405
