# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, S(k,omega)

0.01 0.222 0.0018806
0.01 0.228 0.0127406
0.01 0.234 0.0152034
0.01 0.24 0.000411339
0.01 0.246 0.000615979
0.01 0.252 0.00188411
0.01 0.258 0.0346722
0.01 0.264 0.0156036
0.01 0.27 0.0334348
0.01 0.276 0.0219634
0.01 0.282 0.0272308
0.01 0.288 0.0227537
0.01 0.294 0.00609322
0.01 0.3 0.0156098
0.01 0.306 0.0157934
0.01 0.312 0.0344552
0.01 0.318 0.00627871
0.01 0.324 0.0133602
0.01 0.33 0.0137909
0.01 0.336 0.010968
0.01 0.342 0.0320236
0.01 0.348 0.004705
0.01 0.354 0.028158
0.01 0.36 0.0212297
0.01 0.366 0.025757
0.01 0.372 0.00936416
0.01 0.378 0.0160091
0.01 0.384 0.0197574
0.01 0.39 0.0268917
0.01 0.396 0.00678117
0.01 0.402 0.00519846
0.01 0.408 0.0276411
0.01 0.414 0.00980173
0.01 0.42 0.00873053
0.01 0.426 0.0136124
0.01 0.432 0.00855233
0.01 0.438 0.0168779
0.01 0.444 0.0207315
0.01 0.45 0.00827439
0.01 0.456 0.0223838
0.01 0.462 0.00845551
0.01 0.468 0.00640385
0.01 0.474 0.0101186
0.01 0.48 0.00949417
0.01 0.486 0.00360577
0.01 0.492 0.00261807
0.01 0.498 0.0207185
0.01 0.504 0.0129493
0.01 0.51 0.00081179
0.01 0.516 0.0192413
0.01 0.522 0.00431578
0.01 0.528 0.00957512
0.01 0.534 0.000802059
0.01 0.54 0.0017406
0.01 0.546 0.00516353
0.01 0.552 0.00239688
0.01 0.558 0.00262509
0.01 0.564 0.00395442
0.01 0.57 0.0165361
0.01 0.576 0.0115995
0.01 0.582 0.0103896
0.01 0.588 0.014413
0.01 0.594 0.014413
0.01 0.6 0.000557124
0.015 0 0.0836683
0.015 0.006 0.0757735
0.015 0.012 0.0809651
0.015 0.018 0.0395071
0.015 0.024 0.0112054
0.015 0.03 0.016776
0.015 0.036 0.0246972
0.015 0.042 0.0370558
0.015 0.048 0.0473255
0.015 0.054 0.00480017
0.015 0.06 0.0236759
0.015 0.066 0.0262243
0.015 0.072 0.0312937
0.015 0.078 0.0212108
0.015 0.084 0.0050976
0.015 0.09 0.00702944
0.015 0.096 0.0286739
0.015 0.102 0.00426777
0.015 0.108 0.0161092
0.015 0.114 0.0344666
0.015 0.12 0.0487217
0.015 0.126 0.0327351
0.015 0.132 0.0263696
0.015 0.138 0.0425232
0.015 0.144 0.00934845
0.015 0.15 0.0227956
0.015 0.156 0.0086701
0.015 0.162 0.0108539
0.015 0.168 0.0149324
0.015 0.174 0.0025846
0.015 0.18 0.00994638
0.015 0.186 0.00289557
0.015 0.192 0.0177543
0.015 0.198 0.00992118
0.015 0.204 0.00768031
0.015 0.21 0.0143057
0.015 0.216 0.00123328
0.015 0.222 0.00109789
0.015 0.228 0.00103235
0.015 0.234 0.00904823
0.015 0.24 0.00365025
0.015 0.246 0.00409606
0.015 0.252 0.00727119
0.015 0.258 0.03357
0.015 0.264 0.0201086
0.015 0.27 0.0225067
0.015 0.276 0.0283528
0.015 0.282 0.0222289
0.015 0.288 0.0272098
0.015 0.294 0.00659752
0.015 0.3 0.0172544
0.015 0.306 0.0109657
0.015 0.312 0.0310487
0.015 0.318 4.79927e-05
0.015 0.324 0.00622431
0.015 0.33 0.0187041
0.015 0.336 0.0139516
0.015 0.342 0.0329598
0.015 0.348 0.00048665
0.015 0.354 0.0246614
0.015 0.36 0.0139509
0.015 0.366 0.0254142
0.015 0.372 0.0113053
0.015 0.378 0.0178257
0.015 0.384 0.0154975
0.015 0.39 0.0333868
0.015 0.396 0.0125607
0.015 0.402 0.0027494
0.015 0.408 0.0252337
0.015 0.414 0.015228
0.015 0.42 0.0120851
0.015 0.426 0.0152818
0.015 0.432 0.0079275
0.015 0.438 0.0170433
0.015 0.444 0.0250847
0.015 0.45 0.012015
0.015 0.456 0.0301442
0.015 0.462 0.0105135
0.015 0.468 0.00388298
0.015 0.474 0.0126578
0.015 0.48 0.0092957
0.015 0.486 0.000381606
0.015 0.492 0.002246
0.015 0.498 0.0183841
0.015 0.504 0.0095483
0.015 0.51 0.00213169
0.015 0.516 0.0189942
0.015 0.522 0.00317409
0.015 0.528 0.0104278
0.015 0.534 0.00288171
0.015 0.54 0.00333483
0.015 0.546 0.00444223
0.015 0.552 0.00384286
0.015 0.558 0.00561006
0.015 0.564 0.00549547
0.015 0.57 0.0136736
0.015 0.576 0.0117693
0.015 0.582 0.00931682
0.015 0.588 0.0120103
0.015 0.594 0.0120103
0.015 0.6 0.00201224
0.02 0 0.134654
0.02 0.006 0.118972
0.02 0.012 0.107414
0.02 0.018 0.0566919
0.02 0.024 0.00384085
0.02 0.03 0.0228638
0.02 0.036 0.0318088
0.02 0.042 0.0341901
0.02 0.048 0.0512619
0.02 0.054 0.0111142
0.02 0.06 0.0133725
0.02 0.066 0.0109309
0.02 0.072 0.0162137
0.02 0.078 0.0256265
0.02 0.084 2.84085e-05
0.02 0.09 0.00388603
0.02 0.096 0.0250138
0.02 0.102 0.00834522
0.02 0.108 0.0111306
0.02 0.114 0.0332239
0.02 0.12 0.0283878
0.02 0.126 0.0217852
0.02 0.132 0.00901892
0.02 0.138 0.0273714
0.02 0.144 0.0108595
0.02 0.15 0.0218031
0.02 0.156 0.00898821
0.02 0.162 0.0073199
0.02 0.168 0.0162015
0.02 0.174 0.0158321
0.02 0.18 0.0234687
0.02 0.186 0.0185463
0.02 0.192 0.00879075
0.02 0.198 0.0204289
0.02 0.204 0.0110028
0.02 0.21 0.0187777
0.02 0.216 0.00094097
0.02 0.222 0.0031364
0.02 0.228 0.00868081
0.02 0.234 0.00226193
0.02 0.24 0.0100982
0.02 0.246 0.00629002
0.02 0.252 0.013298
0.02 0.258 0.0315933
0.02 0.264 0.0185771
0.02 0.27 0.0121474
0.02 0.276 0.0288468
0.02 0.282 0.017837
0.02 0.288 0.0264578
0.02 0.294 0.00715468
0.02 0.3 0.0116048
0.02 0.306 0.00939338
0.02 0.312 0.0270205
0.02 0.318 0.00180039
0.02 0.324 0.00143495
0.02 0.33 0.0196777
0.02 0.336 0.0158544
0.02 0.342 0.0316845
0.02 0.348 0.00192341
0.02 0.354 0.0232308
0.02 0.36 0.00786656
0.02 0.366 0.0253504
0.02 0.372 0.0110915
0.02 0.378 0.0165861
0.02 0.384 0.0110775
0.02 0.39 0.036553
0.02 0.396 0.0152496
0.02 0.402 0.0016067
0.02 0.408 0.0234294
0.02 0.414 0.0172931
0.02 0.42 0.00946564
0.02 0.426 0.010473
0.02 0.432 0.0121707
0.02 0.438 0.0133959
0.02 0.444 0.0260947
0.02 0.45 0.0139536
0.02 0.456 0.0373254
0.02 0.462 0.0131624
0.02 0.468 0.000963576
0.02 0.474 0.0145148
0.02 0.48 0.00834232
0.02 0.486 0.0015497
0.02 0.492 0.00204429
0.02 0.498 0.0155729
0.02 0.504 0.006672
0.02 0.51 0.0024294
0.02 0.516 0.0187783
0.02 0.522 0.00111559
0.02 0.528 0.0115008
0.02 0.534 0.00419536
0.02 0.54 0.00571741
0.02 0.546 0.00317233
0.02 0.552 0.00390556
0.02 0.558 0.0080257
0.02 0.564 0.00669637
0.02 0.57 0.00995939
0.02 0.576 0.0118629
0.02 0.582 0.00792361
0.02 0.588 0.00982454
0.02 0.594 0.00982454
0.02 0.6 0.00332962
0.025 0 0.190692
0.025 0.006 0.166641
0.025 0.012 0.136613
0.025 0.018 0.0746561
0.025 0.024 0.00564883
0.025 0.03 0.0297257
0.025 0.036 0.0382176
0.025 0.042 0.030226
0.025 0.048 0.0555951
0.025 0.054 0.0178457
0.025 0.06 0.00274611
0.025 0.066 0.00495926
0.025 0.072 0.000331882
0.025 0.078 0.0300074
0.025 0.084 0.00556784
0.025 0.09 0.0135993
0.025 0.096 0.0213048
0.025 0.102 0.0128072
0.025 0.108 0.00583989
0.025 0.114 0.0297432
0.025 0.12 0.00903218
0.025 0.126 0.0110093
0.025 0.132 0.00190763
0.025 0.138 0.0112008
0.025 0.144 0.0123542
0.025 0.15 0.0201205
0.025 0.156 0.00975823
0.025 0.162 0.00424594
0.025 0.168 0.0139214
0.025 0.174 0.0282497
0.025 0.18 0.0313615
0.025 0.186 0.0350321
0.025 0.192 0.00423316
0.025 0.198 0.0255476
0.025 0.204 0.0134162
0.025 0.21 0.0222805
0.025 0.216 0.00475906
0.025 0.222 0.00912099
0.025 0.228 0.0135504
0.025 0.234 0.0150669
0.025 0.24 0.0176222
0.025 0.246 0.00761008
0.025 0.252 0.0134345
0.025 0.258 0.028322
0.025 0.264 0.01278
0.025 0.27 0.00412597
0.025 0.276 0.0237975
0.025 0.282 0.0140164
0.025 0.288 0.0207103
0.025 0.294 0.00686545
0.025 0.3 0.00122798
0.025 0.306 0.0117724
0.025 0.312 0.0237296
0.025 0.318 0.000637244
0.025 0.324 0.00646955
0.025 0.33 0.0158543
0.025 0.336 0.0159802
0.025 0.342 0.0281381
0.025 0.348 0.00252867
0.025 0.354 0.0244419
0.025 0.36 0.00615824
0.025 0.366 0.0261272
0.025 0.372 0.00944925
0.025 0.378 0.0132097
0.025 0.384 0.0081378
0.025 0.39 0.0355155
0.025 0.396 0.0138015
0.025 0.402 0.00433231
0.025 0.408 0.0203914
0.025 0.414 0.0157533
0.025 0.42 0.00336552
0.025 0.426 0.000342652
0.025 0.432 0.0192629
0.025 0.438 0.00733353
0.025 0.444 0.0254678
0.025 0.45 0.0141902
0.025 0.456 0.0409735
0.025 0.462 0.014835
0.025 0.468 0.00189871
0.025 0.474 0.0161753
0.025 0.48 0.00707909
0.025 0.486 0.00159139
0.025 0.492 0.00187858
0.025 0.498 0.0131849
0.025 0.504 0.00539113
0.025 0.51 0.000500183
0.025 0.516 0.0179447
0.025 0.522 0.00120081
0.025 0.528 0.0119406
0.025 0.534 0.00456572
0.025 0.54 0.00783976
0.025 0.546 0.00175628
0.025 0.552 0.00292996
0.025 0.558 0.00923081
0.025 0.564 0.00736259
0.025 0.57 0.00656456
0.025 0.576 0.0117129
0.025 0.582 0.00671212
0.025 0.588 0.00847431
0.025 0.594 0.00847431
0.025 0.6 0.00380924
0.03 0 0.246552
0.03 0.006 0.214533
0.03 0.012 0.165844
0.03 0.018 0.0915126
0.03 0.024 0.0167968
0.03 0.03 0.0370417
0.03 0.036 0.0425334
0.03 0.042 0.0254648
0.03 0.048 0.059316
0.03 0.054 0.024188
0.03 0.06 0.00677795
0.03 0.066 0.0192612
0.03 0.072 0.0165727
0.03 0.078 0.0337583
0.03 0.084 0.0112033
0.03 0.09 0.0213046
0.03 0.096 0.0187419
0.03 0.102 0.0169705
0.03 0.108 0.000282607
0.03 0.114 0.0243907
0.03 0.12 0.00622148
0.03 0.126 0.00264397
0.03 0.132 0.00828345
0.03 0.138 0.00373929
0.03 0.144 0.0128484
0.03 0.15 0.0185397
0.03 0.156 0.0102295
0.03 0.162 0.00181829
0.03 0.168 0.00962456
0.03 0.174 0.0311114
0.03 0.18 0.0328658
0.03 0.186 0.0422545
0.03 0.192 0.0044203
0.03 0.198 0.0258288
0.03 0.204 0.0138538
0.03 0.21 0.0245951
0.03 0.216 0.011085
0.03 0.222 0.014221
0.03 0.228 0.0126709
0.03 0.234 0.023204
0.03 0.24 0.023232
0.03 0.246 0.00871644
0.03 0.252 0.0079735
0.03 0.258 0.0241794
0.03 0.264 0.00795444
0.03 0.27 0.00110335
0.03 0.276 0.0167197
0.03 0.282 0.0103738
0.03 0.288 0.01313
0.03 0.294 0.00482993
0.03 0.3 0.00801668
0.03 0.306 0.0162469
0.03 0.312 0.0221723
0.03 0.318 0.00372548
0.03 0.324 0.00587385
0.03 0.33 0.00871366
0.03 0.336 0.014184
0.03 0.342 0.0240201
0.03 0.348 0.00220172
0.03 0.354 0.0269292
0.03 0.36 0.00931044
0.03 0.366 0.0270611
0.03 0.372 0.00829607
0.03 0.378 0.00945261
0.03 0.384 0.00712782
0.03 0.39 0.0309722
0.03 0.396 0.00977503
0.03 0.402 0.00253821
0.03 0.408 0.0144488
0.03 0.414 0.0127063
0.03 0.42 0.00102593
0.03 0.426 0.00936316
0.03 0.432 0.0254328
0.03 0.438 0.00218737
0.03 0.444 0.0257973
