# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, S(k,omega)

0.01 0.216 0.00830764
0.01 0.222 0.00811262
0.01 0.228 0.0114596
0.01 0.234 0.0122624
0.01 0.24 0.0138533
0.01 0.246 0.0140136
0.01 0.252 0.00804781
0.01 0.258 0.000531095
0.01 0.264 0.000260307
0.01 0.27 0.000301239
0.01 0.276 0.00429572
0.01 0.282 0.00457631
0.01 0.288 0.00634699
0.01 0.294 0.0117643
0.01 0.3 0.0135832
0.01 0.306 0.00895025
0.01 0.312 0.0060827
0.01 0.318 0.00568105
0.01 0.324 0.00258687
0.01 0.33 0.000417568
0.01 0.336 2.8084e-05
0.01 0.342 0.00184223
0.01 0.348 0.00201378
0.01 0.354 0.00402546
0.01 0.36 0.00577244
0.01 0.366 0.00654088
0.01 0.372 0.00757281
0.01 0.378 0.0103287
0.01 0.384 0.00863265
0.01 0.39 0.00884117
0.01 0.396 0.00631684
0.01 0.402 0.00400529
0.01 0.408 0.00203514
0.01 0.414 0.000555787
0.01 0.42 0.00122641
0.01 0.426 0.00076595
0.01 0.432 0.00122722
0.01 0.438 0.00214829
0.01 0.444 0.00243465
0.01 0.45 0.00240814
0.01 0.456 0.00503193
0.01 0.462 0.00641096
0.01 0.468 0.00652259
0.01 0.474 0.00610284
0.01 0.48 0.00630248
0.01 0.486 0.00599161
0.01 0.492 0.00600095
0.01 0.498 0.00478936
0.01 0.504 0.00514385
0.01 0.51 0.00446687
0.01 0.516 0.00548373
0.01 0.522 0.00583733
0.01 0.528 0.00243675
0.01 0.534 0.000817865
0.01 0.54 0.000528944
0.01 0.546 0.00158903
0.01 0.552 0.00218367
0.01 0.558 0.00248189
0.01 0.564 0.00127794
0.01 0.57 0.00208147
0.01 0.576 0.0014358
0.01 0.582 0.00325151
0.01 0.588 0.00339028
0.01 0.594 0.00292111
0.01 0.6 0.00242268
0.015 0 0.0943879
0.015 0.006 0.0842821
0.015 0.012 0.0611334
0.015 0.018 0.03944
0.015 0.024 0.0295403
0.015 0.03 0.0214918
0.015 0.036 0.0191235
0.015 0.042 0.00835177
0.015 0.048 0.00149547
0.015 0.054 0.00284237
0.015 0.06 0.00269496
0.015 0.066 0.00719388
0.015 0.072 0.00400108
0.015 0.078 0.00267724
0.015 0.084 0.00632758
0.015 0.09 0.0131778
0.015 0.096 0.020877
0.015 0.102 0.0281035
0.015 0.108 0.0244703
0.015 0.114 0.0337908
0.015 0.12 0.0165686
0.015 0.126 0.00869263
0.015 0.132 0.0297616
0.015 0.138 0.00867345
0.015 0.144 0.0146838
0.015 0.15 0.00558703
0.015 0.156 0.00249409
0.015 0.162 0.00987878
0.015 0.168 9.73776e-05
0.015 0.174 0.0170641
0.015 0.18 0.00512033
0.015 0.186 0.0180551
0.015 0.192 0.00854478
0.015 0.198 0.00524572
0.015 0.204 0.00113836
0.015 0.21 0.00102065
0.015 0.216 0.00720122
0.015 0.222 0.00636581
0.015 0.228 0.00632655
0.015 0.234 0.00610734
0.015 0.24 0.00706097
0.015 0.246 0.00722449
0.015 0.252 0.00147073
0.015 0.258 0.00528734
0.015 0.264 0.0018098
0.015 0.27 0.000639395
0.015 0.276 0.00399429
0.015 0.282 0.00435892
0.015 0.288 0.00407859
0.015 0.294 0.00791481
0.015 0.3 0.00927292
0.015 0.306 0.00437011
0.015 0.312 0.00189709
0.015 0.318 0.000199852
0.015 0.324 0.00326172
0.015 0.33 0.00447709
0.015 0.336 0.00471038
0.015 0.342 0.00618421
0.015 0.348 0.00544837
0.015 0.354 0.00676902
0.015 0.36 0.00861649
0.015 0.366 0.00856868
0.015 0.372 0.00756301
0.015 0.378 0.00742823
0.015 0.384 0.00486276
