# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states at Fermi level
# U/W, site/L, LDOS
1.2 -2.8000000000000001E-002 0.048993
1.2 -2.5999999999999999E-002 0.048857
1.2 -2.4000000000000000E-002 0.04874
1.2 -2.1999999999999999E-002 0.048644
1.2 -2.0000000000000000E-002 0.048568
1.2 -1.7999999999999999E-002 0.048509
1.2 -1.6000000000000000E-002 0.04847
1.2 -1.4000000000000000E-002 0.048449
1.2 -1.2000000000000000E-002 0.048447
1.2 -1.0000000000000000E-002 0.048462
1.2 -8.0000000000000002E-003 0.048496
1.2 -6.0000000000000001E-003 0.048548
1.2 -4.0000000000000001E-003 0.048618
1.2 -2.0000000000000000E-003 0.048704
1.2 0.0000000000000000 0.048809
1.2 2.0000000000000000E-003 0.048931
1.2 4.0000000000000001E-003 0.049071
1.2 6.0000000000000001E-003 0.049229
1.2 8.0000000000000002E-003 0.049405
1.2 1.0000000000000000E-002 0.049599
1.2 1.2000000000000000E-002 0.049811
1.2 1.4000000000000000E-002 0.050041
1.2 1.6000000000000000E-002 0.05029
1.2 1.7999999999999999E-002 0.050557
1.2 2.0000000000000000E-002 0.050843
1.2 2.1999999999999999E-002 0.051148
1.2 2.4000000000000000E-002 0.051474
1.2 2.5999999999999999E-002 0.051818
1.2 2.8000000000000001E-002 0.052184
1.2 2.9999999999999999E-002 0.052569
1.2 3.2000000000000001E-002 0.052976
1.2 3.4000000000000002E-002 0.053405
1.2 3.5999999999999997E-002 0.053855
1.2 3.7999999999999999E-002 0.054329
1.2 4.0000000000000001E-002 0.054826
1.2 4.2000000000000003E-002 0.055347
1.2 4.3999999999999997E-002 0.055894
1.2 4.5999999999999999E-002 0.056465
1.2 4.8000000000000001E-002 0.057063
1.2 5.0000000000000003E-002 0.057688
      
1.4 -5.0000000000000003E-002 0.107238
1.4 -4.8000000000000001E-002 0.104748
1.4 -4.5999999999999999E-002 0.102461
1.4 -4.3999999999999997E-002 0.100361
1.4 -4.2000000000000003E-002 0.098434
1.4 -4.0000000000000001E-002 0.096665
1.4 -3.7999999999999999E-002 0.095043
1.4 -3.5999999999999997E-002 0.093558
1.4 -3.4000000000000002E-002 0.092201
1.4 -3.2000000000000001E-002 0.090962
1.4 -2.9999999999999999E-002 0.089838
1.4 -2.8000000000000001E-002 0.088818
1.4 -2.5999999999999999E-002 0.087898
1.4 -2.4000000000000000E-002 0.087074
1.4 -2.1999999999999999E-002 0.086341
1.4 -2.0000000000000000E-002 0.085694
1.4 -1.7999999999999999E-002 0.085131
1.4 -1.6000000000000000E-002 0.084648
1.4 -1.4000000000000000E-002 0.084242
1.4 -1.2000000000000000E-002 0.083911
1.4 -1.0000000000000000E-002 0.083655
1.4 -8.0000000000000002E-003 0.083468
1.4 -6.0000000000000001E-003 0.083353
1.4 -4.0000000000000001E-003 0.083305
1.4 -2.0000000000000000E-003 0.083327
1.4 0.0000000000000000 0.083415
1.4 2.0000000000000000E-003 0.083571
1.4 4.0000000000000001E-003 0.083794
1.4 6.0000000000000001E-003 0.084085
1.4 8.0000000000000002E-003 0.084444
1.4 1.0000000000000000E-002 0.084871
1.4 1.2000000000000000E-002 0.085368
1.4 1.4000000000000000E-002 0.085935
1.4 1.6000000000000000E-002 0.086575
1.4 1.7999999999999999E-002 0.087289
1.4 2.0000000000000000E-002 0.08808
1.4 2.1999999999999999E-002 0.08895
1.4 2.4000000000000000E-002 0.089901
1.4 2.5999999999999999E-002 0.090938
1.4 2.8000000000000001E-002 0.092064
1.4 2.9999999999999999E-002 0.093283
1.4 3.2000000000000001E-002 0.0946
1.4 3.4000000000000002E-002 0.096019
1.4 3.5999999999999997E-002 0.097548
1.4 3.7999999999999999E-002 0.099194
1.4 4.0000000000000001E-002 0.100963
1.4 4.2000000000000003E-002 0.102864
1.4 4.3999999999999997E-002 0.104907
1.4 4.5999999999999999E-002 0.107102
1.4 4.8000000000000001E-002 0.109464
1.4 5.0000000000000003E-002 0.112005
      
1.5 -5.0000000000000003E-002 0.67827
1.5 -4.8000000000000001E-002 0.666801
1.5 -4.5999999999999999E-002 0.608458
1.5 -4.3999999999999997E-002 0.539118
1.5 -4.2000000000000003E-002 0.454922
1.5 -4.0000000000000001E-002 0.425268
1.5 -3.7999999999999999E-002 0.362778
1.5 -3.5999999999999997E-002 0.327178
1.5 -3.4000000000000002E-002 0.312923
1.5 -3.2000000000000001E-002 0.276986
1.5 -2.9999999999999999E-002 0.248089
1.5 -2.8000000000000001E-002 0.224164
1.5 -2.5999999999999999E-002 0.207261
1.5 -2.4000000000000000E-002 0.190877
1.5 -2.1999999999999999E-002 0.172674
1.5 -2.0000000000000000E-002 0.157951
1.5 -1.7999999999999999E-002 0.147974
1.5 -1.6000000000000000E-002 0.141141
1.5 -1.4000000000000000E-002 0.136242
1.5 -1.2000000000000000E-002 0.132609
1.5 -1.0000000000000000E-002 0.129868
1.5 -8.0000000000000002E-003 0.127806
1.5 -6.0000000000000001E-003 0.12629
1.5 -4.0000000000000001E-003 0.125238
1.5 -2.0000000000000000E-003 0.124596
1.5 0.0000000000000000 0.124334
1.5 2.0000000000000000E-003 0.124436
