# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the holon configurations
# U/W, omega-Ef, DOS(omega)

0 -9.12134 5.67743e-05
0 -9.17155 5.60833e-05
0 -9.22176 5.54053e-05
0 -9.27197 5.47493e-05
0 -9.32218 5.41079e-05
0 -9.37238 5.34897e-05
0 -9.42259 5.28765e-05
0 -9.4728 5.227e-05
0 -9.52301 5.16718e-05
0 -9.57322 5.10821e-05
0 -9.62343 5.04984e-05
0 -9.67364 4.99225e-05
0 -9.72385 4.93592e-05
0 -9.77406 4.88091e-05
0 -9.82427 4.82682e-05
0 -9.87448 4.77366e-05
0 -9.92469 4.72169e-05
0 -9.9749 4.67059e-05
0 x y
0 IsoCurve 199,
0  
0.0125628 1.9749 8.93124e-05
0.0125628 1.92469 0.000119561
0.0125628 1.87448 0.000209322
0.0125628 1.82427 0.000466234
0.0125628 1.77406 0.00013363
0.0125628 1.72385 4.82763e-05
0.0125628 1.67364 6.9588e-05
0.0125628 1.62343 0.000100529
0.0125628 1.57322 0.000197511
0.0125628 1.52301 0.000500214
0.0125628 1.4728 0.00052741
0.0125628 1.42259 0.000167252
0.0125628 1.37238 0.000401187
0.0125628 1.32218 0.000793734
0.0125628 1.27197 0.00065847
0.0125628 1.22176 0.0007806
0.0125628 1.17155 0.00121529
0.0125628 1.12134 0.00112154
0.0125628 1.07113 0.000699138
0.0125628 1.02092 0.00142379
0.0125628 0.970711 0.00193784
0.0125628 0.920502 0.00174421
0.0125628 0.870293 0.0022193
0.0125628 0.820084 0.00311727
0.0125628 0.769874 0.00316355
0.0125628 0.719665 0.0037145
0.0125628 0.669456 0.00589564
0.0125628 0.619247 0.00775249
0.0125628 0.569038 0.0100341
0.0125628 0.518828 0.0150832
0.0125628 0.468619 0.0232463
0.0125628 0.41841 0.0428547
0.0125628 0.368201 0.104793
0.0125628 0.317992 0.215408
0.0125628 0.267782 0.165293
0.0125628 0.217573 0.117974
0.0125628 0.167364 0.183344
0.0125628 0.117155 0.207195
0.0125628 0.0669456 0.102441
0.0125628 0.0167364 0.0627458
0.0125628 -0.0334728 0.0663821
0.0125628 -0.083682 0.120346
0.0125628 -0.133891 0.178106
0.0125628 -0.1841 0.0974093
0.0125628 -0.23431 0.0502213
0.0125628 -0.284519 0.0383152
0.0125628 -0.334728 0.0432694
0.0125628 -0.384937 0.0741771
0.0125628 -0.435146 0.157501
0.0125628 -0.485356 0.143084
0.0125628 -0.535565 0.0652367
0.0125628 -0.585774 0.0386869
0.0125628 -0.635983 0.033373
0.0125628 -0.686192 0.0408499
0.0125628 -0.736402 0.0754453
0.0125628 -0.786611 0.161151
0.0125628 -0.83682 0.135489
0.0125628 -0.887029 0.0633404
0.0125628 -0.937238 0.0399491
0.0125628 -0.987448 0.0376883
0.0125628 -1.03766 0.0522956
0.0125628 -1.08787 0.111325
0.0125628 -1.13808 0.178529
0.0125628 -1.18828 0.101619
0.0125628 -1.23849 0.0570977
0.0125628 -1.2887 0.0562876
0.0125628 -1.33891 0.0931153
0.0125628 -1.38912 0.177003
0.0125628 -1.43933 0.199082
0.0125628 -1.48954 0.140559
0.0125628 -1.53975 0.151799
0.0125628 -1.58996 0.194182
0.0125628 -1.64017 0.146899
0.0125628 -1.69038 0.0725312
0.0125628 -1.74059 0.042699
0.0125628 -1.79079 0.0275068
0.0125628 -1.841 0.0201109
0.0125628 -1.89121 0.015937
0.0125628 -1.94142 0.0130769
0.0125628 -1.99163 0.0120761
0.0125628 -2.04184 0.0102566
0.0125628 -2.09205 0.00841274
0.0125628 -2.14226 0.00810056
0.0125628 -2.19247 0.00746546
0.0125628 -2.24268 0.00679301
0.0125628 -2.29289 0.00636946
0.0125628 -2.3431 0.00661317
0.0125628 -2.39331 0.00548483
0.0125628 -2.44351 0.00446317
0.0125628 -2.49372 0.00464267
0.0125628 -2.54393 0.00439601
0.0125628 -2.59414 0.00382109
0.0125628 -2.64435 0.00394451
0.0125628 -2.69456 0.0038989
0.0125628 -2.74477 0.00291183
0.0125628 -2.79498 0.00270961
0.0125628 -2.84519 0.00290862
0.0125628 -2.8954 0.00266315
0.0125628 -2.94561 0.00257575
0.0125628 -2.99582 0.00256279
0.0125628 -3.04603 0.0025042
0.0125628 -3.09623 0.00254719
0.0125628 -3.14644 0.00205521
