# normalized string order
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U, string order

0.45 0.975 0.0115277
0.466667 0.975 0.00895498
0.483333 0.975 0.00967362
0.5 0.975 0.0105312
0 0 0
0 1.185 0.583281
0.0166667 1.185 0.525365
0.0333333 1.185 0.361528
0.05 1.185 0.23436
0.0666667 1.185 0.18783
0.0833333 1.185 0.186478
0.1 1.185 0.199946
0.116667 1.185 0.130755
0.133333 1.185 0.0966507
0.15 1.185 0.0518598
0.166667 1.185 0.058194
0.183333 1.185 0.0400142
0.2 1.185 0.0496718
0.216667 1.185 0.0256761
0.233333 1.185 0.0295097
0.25 1.185 0.0231809
0.266667 1.185 0.0216661
0.283333 1.185 0.0168627
0.3 1.185 0.0198014
0.316667 1.185 0.0227615
0.333333 1.185 0.0281473
0.35 1.185 0.0306505
0.366667 1.185 0.032574
0.383333 1.185 0.0271935
0.4 1.185 0.0232717
0.416667 1.185 0.0159704
0.433333 1.185 0.0110949
0.45 1.185 0.00985795
0.466667 1.185 0.00843136
0.483333 1.185 0.00791842
0.5 1.185 0.0090939
0 0 0
0 1.445 0.695229
0.0166667 1.445 0.635411
0.0333333 1.445 0.462974
0.05 1.445 0.309588
0.0666667 1.445 0.248843
0.0833333 1.445 0.260667
0.1 1.445 0.280503
0.116667 1.445 0.211593
0.133333 1.445 0.141947
0.15 1.445 0.0852005
0.166667 1.445 0.0921492
0.183333 1.445 0.0670341
0.2 1.445 0.0891891
0.216667 1.445 0.0417454
0.233333 1.445 0.0467732
0.25 1.445 0.0222592
0.266667 1.445 0.0243537
0.283333 1.445 0.0171352
0.3 1.445 0.0238782
0.316667 1.445 0.0205094
0.333333 1.445 0.0269371
0.35 1.445 0.0287804
0.366667 1.445 0.0331083
0.383333 1.445 0.0268462
0.4 1.445 0.0246182
0.416667 1.445 0.0141057
0.433333 1.445 0.00976445
0.45 1.445 0.00821763
0.466667 1.445 0.00831381
0.483333 1.445 0.00640099
0.5 1.445 0.00805734
0 0 0
0 1.755 0.780662
0.0166667 1.755 0.718276
0.0333333 1.755 0.538568
0.05 1.755 0.361506
0.0666667 1.755 0.290209
0.0833333 1.755 0.311156
0.1 1.755 0.339554
0.116667 1.755 0.271048
0.133333 1.755 0.176845
0.15 1.755 0.11015
0.166667 1.755 0.112939
0.183333 1.755 0.115335
0.2 1.755 0.131386
0.216667 1.755 0.0755616
0.233333 1.755 0.0645683
0.25 1.755 0.0224542
0.266667 1.755 0.0380159
0.283333 1.755 0.0191469
0.3 1.755 0.0264348
0.316667 1.755 0.0191068
0.333333 1.755 0.0264482
0.35 1.755 0.0272336
0.366667 1.755 0.0338296
0.383333 1.755 0.0269798
0.4 1.755 0.0267501
0.416667 1.755 0.0123291
0.433333 1.755 0.00839395
0.45 1.755 0.00669219
0.466667 1.755 0.00804666
0.483333 1.755 0.00507324
0.5 1.755 0.00721314
0 0 0
0 2.135 0.844495
0.0166667 2.135 0.777966
0.0333333 2.135 0.583917
0.05 2.135 0.383357
0.0666667 2.135 0.304851
0.0833333 2.135 0.33501
0.1 2.135 0.373077
0.116667 2.135 0.30596
0.133333 2.135 0.194103
0.15 2.135 0.123745
0.166667 2.135 0.121659
0.183333 2.135 0.137012
0.2 2.135 0.151636
0.216667 2.135 0.100329
0.233333 2.135 0.0707769
0.25 2.135 0.0358707
0.266667 2.135 0.0520468
0.283333 2.135 0.0264615
0.3 2.135 0.034209
0.316667 2.135 0.0201861
0.333333 2.135 0.0297956
0.35 2.135 0.0269184
0.366667 2.135 0.0359855
0.383333 2.135 0.0312836
0.4 2.135 0.0331697
0.416667 2.135 0.0123158
0.433333 2.135 0.00783026
0.45 2.135 0.00642236
0.466667 2.135 0.0099007
0.483333 2.135 0.00532704
0.5 2.135 0.00817222
0 0 0
0 2.6 0.89036
0.0166667 2.6 0.818106
0.0333333 2.6 0.596112
0.05 2.6 0.367595
0.0666667 2.6 0.288584
0.0833333 2.6 0.340273
0.1 2.6 0.399263
0.116667 2.6 0.335988
0.133333 2.6 0.207885
0.15 2.6 0.133213
0.166667 2.6 0.132821
0.183333 2.6 0.164203
0.2 2.6 0.182888
0.216667 2.6 0.13355
0.233333 2.6 0.0840865
0.25 2.6 0.0600801
0.266667 2.6 0.0708811
0.283333 2.6 0.0702132
0.3 2.6 0.0751449
0.316667 2.6 0.0229244
0.333333 2.6 0.018869
0.35 2.6 0.0247811
0.366667 2.6 0.0355073
0.383333 2.6 0.0248933
0.4 2.6 0.0357959
0.416667 2.6 0.0101625
0.433333 2.6 0.00253796
0.45 2.6 0.00480609
0.466667 2.6 0.00896833
0.483333 2.6 0.00335544
0.5 2.6 0.00621131
0 0 0
0 3.165 0.922355
0.0166667 3.165 0.841575
0.0333333 3.165 0.567174
0.05 3.165 0.334519
0.0666667 3.165 0.242906
0.0833333 3.165 0.334484
0.1 3.165 0.437204
0.116667 3.165 0.38076
0.133333 3.165 0.228453
0.15 3.165 0.145326
0.166667 3.165 0.150773
0.183333 3.165 0.208623
0.2 3.165 0.243745
0.216667 3.165 0.186981
0.233333 3.165 0.112565
0.25 3.165 0.0860688
0.266667 3.165 0.0951546
0.283333 3.165 0.113129
0.3 3.165 0.112696
0.316667 3.165 0.0772313
0.333333 3.165 0.0335972
0.35 3.165 0.0410294
0.366667 3.165 0.0376552
0.383333 3.165 0.0428354
0.4 3.165 0.02671
0.416667 3.165 0.00653991
0.433333 3.165 0.00181931
0.45 3.165 0.00291998
0.466667 3.165 0.00344093
0.483333 3.165 0.00171245
0.5 3.165 0.00277839
0 0 0
0 3.85 0.944384
0.0166667 3.85 0.615927
0.0333333 3.85 0.213779
0.05 3.85 0.405774
0.0666667 3.85 0.166987
0.0833333 3.85 0.310085
0.1 3.85 0.473502
0.116667 3.85 0.421314
0.133333 3.85 0.236356
0.15 3.85 0.139259
0.166667 3.85 0.154692
0.183333 3.85 0.248546
0.2 3.85 0.32153
0.216667 3.85 0.249086
0.233333 3.85 0.137154
0.25 3.85 0.0979036
0.266667 3.85 0.111205
0.283333 3.85 0.161654
0.3 3.85 0.170764
0.316667 3.85 0.112252
0.333333 3.85 0.0247838
0.35 3.85 0.0266378
0.366667 3.85 0.0322828
0.383333 3.85 0.0198067
0.4 3.85 0.0217302
0.416667 3.85 0.00174184
0.433333 3.85 0.0188022
0.45 3.85 0.0158796
0.466667 3.85 0.070077
0.483333 3.85 0.0102533
0.5 3.85 0.000828175
0 0 0
0 4.685 0.9597
0.0166667 4.685 0.570909
0.0333333 4.685 0.227759
0.05 4.685 0.494843
0.0666667 4.685 0.441668
0.0833333 4.685 0.246176
0.1 4.685 0.458109
0.116667 4.685 0.377813
0.133333 4.685 0.150442
0.15 4.685 0.0502355
0.166667 4.685 0.0433483
0.183333 4.685 0.100281
0.2 4.685 0.13569
0.216667 4.685 0.0428273
0.233333 4.685 0.0021212
0.25 4.685 0.00314974
0.266667 4.685 0.000862905
0.283333 4.685 0.0019422
0.3 4.685 3.47299e-05
0.316667 4.685 0.000146934
0.333333 4.685 0.000178993
0.35 4.685 0.000478204
0.366667 4.685 0.000165635
0.383333 4.685 0.000569036
0.4 4.685 0.00019235
0.416667 4.685 0.000357985
0.433333 4.685 -2.67153e-06
0.45 4.685 0.000531635
0.466667 4.685 0.000403401
0.483333 4.685 0.000165635
0.5 4.685 -3.47299e-05
0 0 0
0 5.7 0.969972
0.0166667 5.7 0.543865
0.0333333 5.7 0.297884
0.05 5.7 0.626771
0.0666667 5.7 0.0546515
0.0833333 5.7 0.127905
0.1 5.7 0.0303727
0.116667 5.7 0.364897
0.133333 5.7 0.0914198
0.15 5.7 0.0206376
0.166667 5.7 0.024864
0.183333 5.7 0.00681241
0.2 5.7 0.00452825
0.216667 5.7 0.000732
0.233333 5.7 7.21314e-05
0.25 5.7 1.87007e-05
0.266667 5.7 -1.60292e-05
0.283333 5.7 1.06861e-05
0.3 5.7 1.87007e-05
0.316667 5.7 5.34306e-06
0.333333 5.7 -1.33577e-05
0.35 5.7 2.67153e-06
0.366667 5.7 -1.06861e-05
0.383333 5.7 4.27445e-05
0.4 5.7 6.67883e-05
0.416667 5.7 0.000200365
0.433333 5.7 -5.07591e-05
0.45 5.7 0.000248453
0.466667 5.7 0.000117547
0.483333 5.7 0.000141591
0.5 5.7 -2.67153e-06
0 0 0
0 6.95 0.977019
0.0166667 6.95 0.538236
0.0333333 6.95 0.193462
0.05 6.95 0.801649
0.0666667 6.95 0.0345883
0.0833333 6.95 0.243256
0.1 6.95 0.535169
0.116667 6.95 0.280896
0.133333 6.95 0.0462603
0.15 6.95 0.00967896
0.166667 6.95 0.00731733
0.183333 6.95 -5.34306e-06
0.2 6.95 2.67153e-06
0.216667 6.95 2.67153e-05
0.233333 6.95 4.54161e-05
