# pair-pair correlation length (published figure presents inverse correlation length)
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U/W, pair-pair correlation length

0.15 1.185 0.143962
0.166667 1.185 0.153671
0.183333 1.185 0.152912
0.2 1.185 0.161143
0.216667 1.185 0.154588
0.233333 1.185 0.162529
0.25 1.185 0.166717
0.266667 1.185 0.180228
0.283333 1.185 0.169824
0.3 1.185 0.318192
0.316667 1.185 0.205115
0.333333 1.185 0.199176
0.35 1.185 0.201102
0.366667 1.185 0.195791
0.383333 1.185 0.2238
0.4 1.185 0.197147
0.416667 1.185 0.1991
0.433333 1.185 0.176566
0.45 1.185 0.184134
0.466667 1.185 0.184131
0.483333 1.185 0.183987
0.5 1.185 0.197807
   
0 1.445 1.66226
0.0166667 1.445 0.0350379
0.0333333 1.445 0.0610139
0.05 1.445 0.0727398
0.0666667 1.445 0.0804846
0.0833333 1.445 0.0854382
0.1 1.445 0.0949577
0.116667 1.445 0.0986422
0.133333 1.445 0.108206
0.15 1.445 0.131027
0.166667 1.445 0.122373
0.183333 1.445 0.127738
0.2 1.445 0.140052
0.216667 1.445 0.144458
0.233333 1.445 0.145451
0.25 1.445 0.159917
0.266667 1.445 0.17036
0.283333 1.445 0.164915
0.3 1.445 0.181202
0.316667 1.445 0.186239
0.333333 1.445 0.195033
0.35 1.445 0.215722
0.366667 1.445 0.215198
0.383333 1.445 0.214749
0.4 1.445 0.211822
0.416667 1.445 0.217069
0.433333 1.445 0.201674
0.45 1.445 0.208936
0.466667 1.445 0.208879
0.483333 1.445 0.197713
0.5 1.445 0.216976
   
0 1.755 2.02448
0.0166667 1.755 0.0357004
0.0333333 1.755 0.0602788
0.05 1.755 0.0700681
0.0666667 1.755 0.0775529
0.0833333 1.755 0.0828296
0.1 1.755 0.0911929
0.116667 1.755 0.0947205
0.133333 1.755 0.102684
0.15 1.755 0.108893
0.166667 1.755 0.113978
0.183333 1.755 0.112864
0.2 1.755 0.123431
0.216667 1.755 0.12399
0.233333 1.755 0.129637
0.25 1.755 0.156423
0.266667 1.755 0.150029
0.283333 1.755 0.162737
0.3 1.755 0.174888
0.316667 1.755 0.184289
0.333333 1.755 0.193123
0.35 1.755 0.204497
0.366667 1.755 0.215045
0.383333 1.755 0.34362
0.4 1.755 0.194384
0.416667 1.755 0.231128
0.433333 1.755 0.202854
0.45 1.755 0.215592
0.466667 1.755 0.220235
0.483333 1.755 0.210685
0.5 1.755 0.251752
   
0 2.135 2.44261
0.0166667 2.135 0.0350147
0.0333333 2.135 0.0562544
0.05 2.135 0.0772007
0.0666667 2.135 0.0775465
0.0833333 2.135 0.0831514
0.1 2.135 0.0910723
0.116667 2.135 0.0948546
0.133333 2.135 0.101655
0.15 2.135 0.103213
0.166667 2.135 0.110878
0.183333 2.135 0.108468
0.2 2.135 0.117556
0.216667 2.135 0.114188
0.233333 2.135 0.123078
0.25 2.135 0.136983
0.266667 2.135 0.127542
0.283333 2.135 0.161983
0.3 2.135 0.177006
0.316667 2.135 0.187622
0.333333 2.135 0.177855
0.35 2.135 0.210159
0.366667 2.135 0.211607
0.383333 2.135 0.223432
0.4 2.135 0.203111
0.416667 2.135 0.355411
0.433333 2.135 0.211277
0.45 2.135 0.363343
0.466667 2.135 0.244471
0.483333 2.135 0.234615
0.5 2.135 0.327372
   
0 2.6 2.57754
0.0166667 2.6 0.0225899
0.0333333 2.6 0.0578267
0.05 2.6 0.0945785
0.0666667 2.6 0.0802083
0.0833333 2.6 0.086479
0.1 2.6 0.0935406
0.116667 2.6 0.0971901
0.133333 2.6 0.101134
0.15 2.6 0.103324
0.166667 2.6 0.108791
0.183333 2.6 0.107068
0.2 2.6 0.113213
0.216667 2.6 0.11003
0.233333 2.6 0.117461
0.25 2.6 0.11249
0.266667 2.6 0.124532
0.283333 2.6 0.142679
0.3 2.6 0.136469
0.316667 2.6 0.15342
0.333333 2.6 0.257714
0.35 2.6 0.232896
0.366667 2.6 0.18097
0.383333 2.6 0.217827
0.4 2.6 0.387216
0.416667 2.6 0.329873
0.433333 2.6 0.383224
0.45 2.6 0.265695
0.466667 2.6 0.24473
0.483333 2.6 0.254656
0.5 2.6 0.467448
   
0 3.165 
0.0166667 3.165 1.46604
0.0333333 3.165 0.103928
0.05 3.165 0.0582086
0.0666667 3.165 0.0897209
0.0833333 3.165 0.0938344
0.1 3.165 0.0988026
0.116667 3.165 0.101126
0.133333 3.165 0.10205
0.15 3.165 0.104746
0.166667 3.165 0.107881
0.183333 3.165 0.105316
0.2 3.165 0.10616
0.216667 3.165 0.10657
0.233333 3.165 0.108068
0.25 3.165 0.109665
0.266667 3.165 0.116949
0.283333 3.165 0.116935
0.3 3.165 0.124434
0.316667 3.165 0.124935
0.333333 3.165 0.135172
0.35 3.165 0.145155
0.366667 3.165 0.178941
0.383333 3.165 0.17253
0.4 3.165 0.36704
0.416667 3.165 0.202031
0.433333 3.165 0.248804
0.45 3.165 0.25058
0.466667 3.165 0.275301
0.483333 3.165 0.283163
0.5 3.165 0.774831
   
0 3.85 
0.0166667 3.85 1.26196
0.0333333 3.85 0.191032
0.05 3.85 0.155614
0.0666667 3.85 0.109119
0.0833333 3.85 0.110412
0.1 3.85 0.115023
0.116667 3.85 0.114336
0.133333 3.85 0.113137
0.15 3.85 0.115036
0.166667 3.85 0.115219
0.183333 3.85 0.113124
0.2 3.85 0.114299
0.216667 3.85 0.115274
0.233333 3.85 0.114888
0.25 3.85 0.116617
0.266667 3.85 0.116777
0.283333 3.85 0.118332
0.3 3.85 0.132787
0.316667 3.85 0.138006
0.333333 3.85 0.26498
0.35 3.85 0.197791
0.366667 3.85 0.211023
0.383333 3.85 0.205122
0.4 3.85 0.306132
0.416667 3.85 0.145566
0.433333 3.85 0.221102
0.45 3.85 0.220366
0.466667 3.85 0.380349
0.483333 3.85 0.341097
0.5 3.85 1.01281
   
0 4.685 
0.0166667 4.685 2.02329
0.0333333 4.685 2.38524
0.05 4.685 0.16162
0.0666667 4.685 0.157306
0.0833333 4.685 0.153135
0.1 4.685 0.159922
0.116667 4.685 0.158602
0.133333 4.685 0.157378
0.15 4.685 0.161207
0.166667 4.685 0.148759
0.183333 4.685 0.169403
0.2 4.685 0.196593
0.216667 4.685 0.252557
0.233333 4.685 0.248018
0.25 4.685 0.227971
0.266667 4.685 0.139169
0.283333 4.685 0.216076
0.3 4.685 0.206153
0.316667 4.685 0.125722
0.333333 4.685 0.363521
0.35 4.685 0.0912131
0.366667 4.685 0.0934342
0.383333 4.685 0.146645
0.4 4.685 0.189058
0.416667 4.685 0.0895186
0.433333 4.685 0.343379
0.45 4.685 0.130988
0.466667 4.685 0.22431
0.483333 4.685 0.180092
0.5 4.685 1.20111
   
0 5.7 
0.0166667 5.7 
0.0333333 5.7 1.44277
0.05 5.7 0.822228
0.0666667 5.7 0.254103
0.0833333 5.7 0.244682
0.1 5.7 0.226101
0.116667 5.7 0.235691
0.133333 5.7 0.255467
0.15 5.7 0.244676
0.166667 5.7 0.298051
0.183333 5.7 0.327588
0.2 5.7 0.273323
0.216667 5.7 0.415243
0.233333 5.7 0.157289
0.25 5.7 0.326503
0.266667 5.7 0.11424
0.283333 5.7 0.223935
0.3 5.7 0.302576
0.316667 5.7 0.2890287
0.333333 5.7 0.283814
0.35 5.7 0.506176
0.366667 5.7 0.780926
0.383333 5.7 0.127545
0.4 5.7 0.2704136
0.416667 5.7 0.280771
0.433333 5.7 0.360073
0.45 5.7 0.276851
0.466667 5.7 0.229798
0.483333 5.7 0.284283
0.5 5.7 0.23989
   
0 6.95 
0.0166667 6.95 
0.0333333 6.95 0.729451
0.05 6.95 0.379704
0.0666667 6.95 0.550694
0.0833333 6.95 0.421799
0.1 6.95 0.396252
0.116667 6.95 0.332851
0.133333 6.95 0.40836
0.15 6.95 0.323202
0.166667 6.95 0.270539
0.183333 6.95 0.397873
0.2 6.95 0.214586
0.216667 6.95 0.415447
0.233333 6.95 0.233712
0.25 6.95 0.264656
0.266667 6.95 0.531136
0.283333 6.95 0.336714
0.3 6.95 0.370788
0.316667 6.95 0.3694519
0.333333 6.95 0.31863
0.35 6.95 0.375424
0.366667 6.95 0.45092
0.383333 6.95 0.666367
0.4 6.95 0.274651
0.416667 6.95 0.235439
0.433333 6.95 0.2907839
0.45 6.95 0.21186
0.466667 6.95 0.567462
0.483333 6.95 0.2690097
0.5 6.95 0.2290097
   
0 8.45 
0.0166667 8.45 
0.0333333 8.45 2.16718
0.05 8.45 0.628639
0.0666667 8.45 0.963416
0.0833333 8.45 0.894439
0.1 8.45 0.889696
0.116667 8.45 0.830584
0.133333 8.45 0.318695
0.15 8.45 0.250248
0.166667 8.45 0.2730541
0.183333 8.45 0.609824
0.2 8.45 0.45588
0.216667 8.45 0.314286
0.233333 8.45 0.209149
0.25 8.45 0.208989
0.266667 8.45 0.228778
0.283333 8.45 0.215536
0.3 8.45 0.287686
0.316667 8.45 0.361191
0.333333 8.45 0.371958
0.35 8.45 0.617544
0.366667 8.45 0.425075
0.383333 8.45 0.2986677
0.4 8.45 0.34255
0.416667 8.45 0.594363
0.433333 8.45 0.221151
0.45 8.45 0.319146
0.466667 8.45 0.228688
0.483333 8.45 0.231802
0.5 8.45 0.245721
   
0 10.25 
0.0166667 10.25 
0.0333333 10.25 
0.05 10.25 0.923484
0.0666667 10.25 1.03772
0.0833333 10.25 1.04298
0.1 10.25 1.7911
0.116667 10.25 0.293919
0.133333 10.25 0.199897
0.15 10.25 0.2800762
0.166667 10.25 0.279685
0.183333 10.25 0.234234
0.2 10.25 0.230323
0.216667 10.25 0.429221
0.233333 10.25 0.311848
0.25 10.25 0.294234
0.266667 10.25 0.700075
0.283333 10.25 0.353297
0.3 10.25 0.285807
0.316667 10.25 0.555557
0.333333 10.25 0.340526
0.35 10.25 0.2397704
0.366667 10.25 0.215904
0.383333 10.25 0.292305
0.4 10.25 0.34705
0.416667 10.25 0.29446
0.433333 10.25 0.236785
0.45 10.25 0.272561
0.466667 10.25 0.341457
0.483333 10.25 0.520095
0.5 10.25 0.431252
   
0 12.5 
0.0166667 12.5 
0.0333333 12.5 
0.05 12.5 0.494737
0.0666667 12.5 0.923197
0.0833333 12.5 0.86947
0.1 12.5 0.763814
0.116667 12.5 0.15772
0.133333 12.5 0.228118
0.15 12.5 0.206384
0.166667 12.5 0.336402
0.183333 12.5 0.291858
0.2 12.5 0.2901291
0.216667 12.5 0.228639
0.233333 12.5 0.671551
0.25 12.5 0.2983221
0.266667 12.5 0.45136
0.283333 12.5 0.2856175
0.3 12.5 0.238061
0.316667 12.5 0.2555501
0.333333 12.5 0.2675285
0.35 12.5 0.34518
0.366667 12.5 0.20001
0.383333 12.5 0.504586
0.4 12.5 0.567792
0.416667 12.5 0.2714563
0.433333 12.5 0.29016
0.45 12.5 0.547931
0.466667 12.5 0.153465
0.483333 12.5 0.20511088
0.5 12.5 0.40511088
