# pair-pair correlation length
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# system size, U/W=1.8 x=0.05, U/W=2.3 x=0.15, U/W=2.3 x=0.25, U/W=0.7 x=0.15, U/W=1.3 x=0.1, U/W=1.3 x=0.2, U/W=1.3 x=0.3

40   8.72906  6.2628  5.40069  3.9883  7.63357  6.79007  6.8382 
60   14.4211  10.821  8.95192  4.4629  12.1954  8.23444  6.8733
80   20.7769  14.669  12.1445  4.6075  17.0337  10.1974  7.8962
