# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.40 S=1/2
# k, omega, A(k,omega)

0.005 -0.6 0.00287083
0.005 -0.56 0.00315847
0.005 -0.52 0.00312925
0.005 -0.48 0.00339664
0.005 -0.44 0.00380443
0.005 -0.4 0.00400718
0.005 -0.36 0.00438557
0.005 -0.32 0.00476163
0.005 -0.28 0.0054198
0.005 -0.24 0.00607158
0.005 -0.2 0.00682737
0.005 -0.16 0.00696086
0.005 -0.12 0.00552429
0.005 -0.08 0.00361688
0.005 -0.04 0.00235478
0.005 0 0.00162765
0.005 0.04 0.00119651
0.005 0.08 0.000924383
0.005 0.12 0.000742953
0.005 0.16 0.000617881
0.005 0.2 0.000527265
0.005 0.24 0.000461097
0.005 0.28 0.000407152
0.005 0.32 0.000368326
0.005 0.36 0.000338977
0.005 0.4 0.00030476
0.005 0.44 0.000297924
0.005 0.48 0.000244089
0.005 0.52 0.000288018
0.005 0.56 0.000236663
0.005 0.6 0.000246586
0.005 0.64 0.000215616
0.005 0.68 0.000235702
0.005 0.72 0.000442205
0.005 0.76 0.000240213
0.005 0.8 0.000390482
0.005 0.84 0.000110111
0.005 0.88 0.000903808
0.005 0.92 0.000149817
0.005 0.96 0.000154311
0.005 1 0.000278947
0.005 1.04 0.000409644
0.005 1.08 0.000702192
0.005 1.12 0.000304515
0.005 1.16 0.00050201
0.005 1.2 0.00014819
0.005 1.24 0.000431682
0.005 1.28 0.000143371
0.005 1.32 0.000177156
0.005 1.36 0.000504996
0.005 1.4 0.000305711
0.005 1.44 0.00105647
0.005 1.48 0.000458232
0.005 1.52 0.00164482
0.005 1.56 0.00128048
0.005 1.6 0.000155427
0.005 1.64 0.000181309
0.005 1.68 0.00112042
0.005 1.72 0.000520984
0.005 1.76 0.000607513
0.005 1.8 0.000791702
0.005 1.84 0.000812591
0.005 1.88 0.00170394
0.005 1.92 0.00168038
0.005 1.96 0.000789666
0.005 2 0.000631019
0.005 2.04 0.0014537
0.005 2.08 0.00107569
0.005 2.12 0.00350085
0.005 2.16 0.00252789
0.005 2.2 0.00252549
0.005 2.24 0.00286064
0.005 2.28 0.00184205
0.005 2.32 0.00325745
0.005 2.36 0.00929716
0.005 2.4 0.00992595
0.005 2.44 0.00786412
0.005 2.48 0.0199465
0.005 2.52 0.0243257
