# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, A(k,omega)

0.005 -4.4 9.75872e-05
0.005 -4.36 0.000133726
0.005 -4.32 6.72497e-05
0.005 -4.28 0.000195851
0.005 -4.24 0.000153838
0.005 -4.2 0.000203274
0.005 -4.16 0.00012503
0.005 -4.12 1.06339e-05
0.005 -4.08 0.000239702
0.005 -4.04 0.000257869
0.005 -4 0.00022198
0.005 -3.96 0.000232379
0.005 -3.92 0.000248788
0.005 -3.88 0.000332576
0.005 -3.84 0.000378407
0.005 -3.8 0.000353758
0.005 -3.76 0.00040792
0.005 -3.72 0.000801677
0.005 -3.68 0.000873441
0.005 -3.64 0.00166306
0.005 -3.6 0.00168512
0.005 -3.56 0.00214758
0.005 -3.52 0.00187127
0.005 -3.48 0.00176243
0.005 -3.44 0.00178147
0.005 -3.4 0.00196168
0.005 -3.36 0.00176797
0.005 -3.32 0.000186409
0.005 -3.28 0.00118455
0.005 -3.24 0.00017677
0.005 -3.2 0.000728314
0.005 -3.16 0.00052721
0.005 -3.12 0.00104306
0.005 -3.08 0.000606246
0.005 -3.04 0.000309413
0.005 -3 0.00090702
0.005 -2.96 0.000949368
0.005 -2.92 0.00157746
0.005 -2.88 0.000990179
0.005 -2.84 0.000718683
0.005 -2.8 0.00036032
0.005 -2.76 8.86708e-05
0.005 -2.72 0.000733026
0.005 -2.68 0.00265609
0.005 -2.64 0.00163253
0.005 -2.6 0.00146772
0.005 -2.56 0.00158823
0.005 -2.52 0.00149233
0.005 -2.48 0.00271851
0.005 -2.44 0.00223707
0.005 -2.4 0.000755656
0.005 -2.36 0.000743302
0.005 -2.32 0.00204304
0.005 -2.28 0.00227979
0.005 -2.24 0.00113453
0.005 -2.2 0.000342071
0.005 -2.16 0.000791051
0.005 -2.12 0.00267848
0.005 -2.08 0.00187288
0.005 -2.04 0.000565733
0.005 -2 0.00139495
0.005 -1.96 0.00274175
0.005 -1.92 0.00232291
0.005 -1.88 0.000758656
0.005 -1.84 0.00111267
0.005 -1.8 0.001937
0.005 -1.76 0.00293152
0.005 -1.72 0.0013551
0.005 -1.68 0.002401
0.005 -1.64 0.00208492
0.005 -1.6 0.00293285
0.005 -1.56 0.00341371
0.005 -1.52 0.00233767
0.005 -1.48 0.00219488
0.005 -1.44 0.00225954
0.005 -1.4 0.00263796
0.005 -1.36 0.00227633
0.005 -1.32 0.00279875
