# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, A(k,omega)

0.005 -0.48 0.00389059
0.005 -0.44 0.00407287
0.005 -0.4 0.00422958
0.005 -0.36 0.0046193
0.005 -0.32 0.00492975
0.005 -0.28 0.00532612
0.005 -0.24 0.00581908
0.005 -0.2 0.00612778
0.005 -0.16 0.00553097
0.005 -0.12 0.00391913
0.005 -0.08 0.00256421
0.005 -0.04 0.00175586
0.005 0 0.00128376
0.005 0.04 0.000997683
0.005 0.08 0.000811454
0.005 0.12 0.000683201
0.005 0.16 0.000594977
0.005 0.2 0.000530694
0.005 0.24 0.000481601
0.005 0.28 0.000449568
0.005 0.32 0.000419713
0.005 0.36 0.000400779
0.005 0.4 0.000392882
0.005 0.44 0.000379334
0.005 0.48 0.000373514
0.005 0.52 0.000319406
0.005 0.56 0.000380263
0.005 0.6 0.000393124
0.005 0.64 0.000419619
0.005 0.68 0.000359697
0.005 0.72 0.000436094
0.005 0.76 0.000276715
0.005 0.8 0.000393184
0.005 0.84 0.000482054
0.005 0.88 0.000611862
0.005 0.92 0.000500639
0.005 0.96 0.000498404
0.005 1 0.000637954
0.005 1.04 0.000135408
0.005 1.08 0.000482818
0.005 1.12 0.00089299
0.005 1.16 0.000505788
0.005 1.2 0.000962911
0.005 1.24 0.000578529
0.005 1.28 0.00166068
0.005 1.32 0.00155319
0.005 1.36 0.00156979
0.005 1.4 0.000404755
0.005 1.44 0.0025974
0.005 1.48 0.000988382
0.005 1.52 0.000268255
0.005 1.56 0.00269647
0.005 1.6 0.00178674
0.005 1.64 0.00366607
0.005 1.68 0.00484334
0.005 1.72 0.00553483
0.005 1.76 0.00707979
0.005 1.8 0.00930299
0.005 1.84 0.013728
0.005 1.88 0.0225738
0.005 1.92 0.0365263
0.005 1.96 0.0639054
0.005 2 0.0765548
0.005 2.04 0.06197
0.005 2.08 0.0401972
0.005 2.12 0.0247687
0.005 2.16 0.0163291
0.005 2.2 0.0115313
0.005 2.24 0.00854197
0.005 2.28 0.00661597
0.005 2.32 0.00524942
0.005 2.36 0.0042525
0.005 2.4 0.00345842
0.005 2.44 0.00284967
0.005 2.48 0.00236893
0.005 2.52 0.001999
0.005 2.56 0.00175201
0.005 2.6 0.00152835
0.005 2.64 0.00133153
