# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, A(k,omega)

0.005 -4.36 0.000144261
0.005 -4.32 0.000138979
0.005 -4.28 7.08964e-05
0.005 -4.24 9.00623e-05
0.005 -4.2 1.95302e-05
0.005 -4.16 8.18194e-05
0.005 -4.12 6.76627e-05
0.005 -4.08 0.000131894
0.005 -4.04 0.000186737
0.005 -4 0.000148589
0.005 -3.96 0.000158784
0.005 -3.92 0.000120792
0.005 -3.88 9.67627e-05
0.005 -3.84 9.92383e-05
0.005 -3.8 0.000102825
0.005 -3.76 0.000255832
0.005 -3.72 0.00016419
0.005 -3.68 0.000169544
0.005 -3.64 0.000177398
0.005 -3.6 0.000207504
0.005 -3.56 0.000193653
0.005 -3.52 0.000193732
0.005 -3.48 0.000209838
0.005 -3.44 0.000225142
0.005 -3.4 0.000202015
0.005 -3.36 0.00012346
0.005 -3.32 0.00015768
0.005 -3.28 0.000262478
0.005 -3.24 0.000287107
0.005 -3.2 0.000244596
0.005 -3.16 0.00033659
0.005 -3.12 0.000287068
0.005 -3.08 0.000349033
0.005 -3.04 0.000491007
0.005 -3 0.000556357
0.005 -2.96 0.0006086
0.005 -2.92 0.000505703
0.005 -2.88 0.000593894
0.005 -2.84 0.000943752
0.005 -2.8 0.000938106
0.005 -2.76 0.00119366
0.005 -2.72 0.00110949
0.005 -2.68 0.000642282
0.005 -2.64 0.000643878
0.005 -2.6 0.000876637
0.005 -2.56 0.00323126
0.005 -2.52 0.00268921
0.005 -2.48 0.00110351
0.005 -2.44 0.000681187
0.005 -2.4 0.00190102
0.005 -2.36 0.00412962
0.005 -2.32 0.00107493
0.005 -2.28 0.00038175
0.005 -2.24 0.00236111
0.005 -2.2 0.0018426
0.005 -2.16 0.000761182
0.005 -2.12 0.00261855
0.005 -2.08 0.000245312
0.005 -2.04 0.00191361
0.005 -2 0.00253003
0.005 -1.96 0.00178088
0.005 -1.92 0.00125467
0.005 -1.88 0.000546378
0.005 -1.84 0.000884006
0.005 -1.8 0.0019957
0.005 -1.76 0.00252989
0.005 -1.72 0.00221624
0.005 -1.68 0.00229687
0.005 -1.64 0.00170553
0.005 -1.6 0.00118238
0.005 -1.56 0.00201797
0.005 -1.52 0.00135495
0.005 -1.48 0.0017127
0.005 -1.44 0.00175028
0.005 -1.4 0.00236777
0.005 -1.36 0.00209297
0.005 -1.32 0.00211332
0.005 -1.28 0.00197569
0.005 -1.24 0.00260508
0.005 -1.2 0.00235417
0.005 -1.16 0.00266327
0.005 -1.12 0.00231491
0.005 -1.08 0.00235511
0.005 -1.04 0.0020688
0.005 -1 0.00234088
0.005 -0.96 0.00321875
0.005 -0.92 0.00282611
0.005 -0.88 0.00301175
0.005 -0.84 0.00288279
0.005 -0.8 0.0026376
0.005 -0.76 0.00323321
0.005 -0.72 0.00289053
0.005 -0.68 0.00319409
0.005 -0.64 0.00355659
0.005 -0.6 0.0034976
0.005 -0.56 0.00367255
0.005 -0.52 0.00374321
0.005 -0.48 0.00405553
0.005 -0.44 0.00397288
0.005 -0.4 0.00416571
0.005 -0.36 0.00442972
0.005 -0.32 0.00457818
0.005 -0.28 0.00486799
0.005 -0.24 0.00506132
0.005 -0.2 0.00523646
