# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, A(k,omega)

0.005 -0.72 0.00168691
0.005 -0.68 0.00196127
0.005 -0.64 0.00204443
0.005 -0.6 0.00225184
0.005 -0.56 0.00249644
0.005 -0.52 0.00259514
0.005 -0.48 0.00290045
0.005 -0.44 0.002919
0.005 -0.4 0.00346613
0.005 -0.36 0.00370469
0.005 -0.32 0.0041274
0.005 -0.28 0.0046424
0.005 -0.24 0.00535399
0.005 -0.2 0.0062436
0.005 -0.16 0.00715773
0.005 -0.12 0.00739578
0.005 -0.08 0.00585762
0.005 -0.04 0.00380576
0.005 0 0.00245696
0.005 0.04 0.00167796
0.005 0.08 0.00121707
0.005 0.12 0.000929499
0.005 0.16 0.000738478
0.005 0.2 0.000605871
0.005 0.24 0.000511451
0.005 0.28 0.000438516
0.005 0.32 0.000389722
0.005 0.36 0.000347792
0.005 0.4 0.000315864
0.005 0.44 0.000306321
0.005 0.48 0.000251
0.005 0.52 0.000247602
0.005 0.56 0.000212788
0.005 0.6 0.000215755
0.005 0.64 0.000134689
0.005 0.68 0.000133325
0.005 0.72 0.000301889
0.005 0.76 0.000272426
0.005 0.8 0.000174908
0.005 0.84 9.83127e-05
0.005 0.88 0.000289496
0.005 0.92 0.000386112
0.005 0.96 0.000410299
0.005 1 6.04606e-05
0.005 1.04 9.20004e-06
0.005 1.08 0.000656842
0.005 1.12 0.000120442
0.005 1.16 0.000572722
0.005 1.2 0.00104078
0.005 1.24 0.000554841
0.005 1.28 0.000285686
0.005 1.32 7.17898e-06
0.005 1.36 0.000835575
0.005 1.4 0.000153113
0.005 1.44 0.000396582
0.005 1.48 0.000365173
0.005 1.52 0.000424816
0.005 1.56 0.000160166
0.005 1.6 0.000535688
0.005 1.64 5.32418e-05
0.005 1.68 0.000365058
0.005 1.72 0.00128179
0.005 1.76 0.000544825
0.005 1.8 0.00117863
0.005 1.84 4.23521e-05
0.005 1.88 0.00131569
0.005 1.92 0.000167085
0.005 1.96 0.00144433
0.005 2 0.00216972
0.005 2.04 0.000134845
0.005 2.08 0.00121954
0.005 2.12 0.000814172
0.005 2.16 0.000405802
0.005 2.2 0.000807223
0.005 2.24 0.00106358
0.005 2.28 0.000971454
0.005 2.32 0.00348762
0.005 2.36 0.000318418
0.005 2.4 0.000861064
0.005 2.44 0.00178568
0.005 2.48 0.00201506
0.005 2.52 0.00352048
0.005 2.56 0.00438713
0.005 2.6 0.00396759
0.005 2.64 0.00482264
0.005 2.68 0.00246064
0.005 2.72 6.4299e-05
0.005 2.76 0.00349211
0.005 2.8 0.00763939
0.005 2.84 0.00860369
0.005 2.88 0.0178982
0.005 2.92 0.0317395
0.005 2.96 0.0532198
0.005 3 0.070965
0.005 3.04 0.0682926
0.005 3.08 0.047918
0.005 3.12 0.0297674
0.005 3.16 0.0199685
0.005 3.2 0.0133883
0.005 3.24 0.00966695
0.005 3.28 0.00733546
0.005 3.32 0.00571477
0.005 3.36 0.00455449
0.005 3.4 0.00380819
0.005 3.44 0.00316378
0.005 3.48 0.00260983
0.005 3.52 0.0021225
0.005 3.56 0.00182671
0.005 3.6 0.00152773
0.005 3.64 0.00136586
0.005 3.68 0.00131188
0.005 3.72 0.00118615
0.005 3.76 0.00113287
0.005 3.8 0.000959058
0.005 3.84 0.000899657
0.005 3.88 0.000872768
0.005 3.92 0.000713207
0.005 3.96 0.000681953
0.005 4 0.000626329
0.01 -3 5.75825e-05
0.01 -2.96 3.89807e-05
0.01 -2.92 5.13276e-05
0.01 -2.88 4.11891e-05
0.01 -2.84 8.6229e-05
0.01 -2.8 6.97973e-05
0.01 -2.76 8.5748e-05
0.01 -2.72 3.97521e-05
0.01 -2.68 3.55532e-05
0.01 -2.64 0.000124765
0.01 -2.6 6.91284e-05
0.01 -2.56 7.09034e-05
0.01 -2.52 8.19418e-05
0.01 -2.48 7.7857e-05
0.01 -2.44 6.34739e-05
0.01 -2.4 4.60372e-05
0.01 -2.36 5.86951e-05
0.01 -2.32 5.45107e-05
0.01 -2.28 5.84009e-05
0.01 -2.24 9.63217e-05
0.01 -2.2 8.82991e-05
0.01 -2.16 0.000115798
0.01 -2.12 9.7317e-05
0.01 -2.08 5.91369e-05
0.01 -2.04 9.25842e-05
0.01 -2 0.00010759
0.01 -1.96 0.000109705
0.01 -1.92 0.000135104
0.01 -1.88 0.000127319
0.01 -1.84 0.000160481
0.01 -1.8 0.000158859
0.01 -1.76 0.000159117
0.01 -1.72 0.000135713
0.01 -1.68 0.000187564
0.01 -1.64 0.000176083
0.01 -1.6 0.000172183
0.01 -1.56 0.000248328
0.01 -1.52 0.000301493
0.01 -1.48 0.000331715
0.01 -1.44 0.00037604
0.01 -1.4 0.000468248
0.01 -1.36 0.000498842
0.01 -1.32 0.0005238
0.01 -1.28 0.000664545
0.01 -1.24 0.000699756
0.01 -1.2 0.000769674
0.01 -1.16 0.000882014
0.01 -1.12 0.000865574
0.01 -1.08 0.00113115
0.01 -1.04 0.000990329
0.01 -1 0.00152401
0.01 -0.96 0.000944097
0.01 -0.92 0.00133087
0.01 -0.88 0.00123515
0.01 -0.84 0.00175233
0.01 -0.8 0.00159029
0.01 -0.76 0.0017627
0.01 -0.72 0.00215559
0.01 -0.68 0.00188152
0.01 -0.64 0.0022037
0.01 -0.6 0.00227488
0.01 -0.56 0.00225176
0.01 -0.52 0.00270001
0.01 -0.48 0.00298055
0.01 -0.44 0.00292455
0.01 -0.4 0.00337797
0.01 -0.36 0.00362894
0.01 -0.32 0.0040621
0.01 -0.28 0.00467689
0.01 -0.24 0.00534217
0.01 -0.2 0.00624529
0.01 -0.16 0.00714632
0.01 -0.12 0.00739946
0.01 -0.08 0.00584153
0.01 -0.04 0.00383484
0.01 0 0.00256833
0.01 0.04 0.00176748
0.01 0.08 0.00123257
0.01 0.12 0.000935853
0.01 0.16 0.000717189
0.01 0.2 0.000631554
0.01 0.24 0.000515537
0.01 0.28 0.000407441
0.01 0.32 0.000438767
0.01 0.36 0.000322099
0.01 0.4 0.000267725
0.01 0.44 0.000265505
0.01 0.48 0.000297185
0.01 0.52 0.000187853
0.01 0.56 0.000273019
0.01 0.6 0.000230795
0.01 0.64 0.000275206
0.01 0.68 0.000202211
0.01 0.72 0.000409832
0.01 0.76 0.000184269
0.01 0.8 0.000308775
0.01 0.84 0.000143391
0.01 0.88 0.000111482
0.01 0.92 0.000550405
0.01 0.96 0.00019279
0.01 1 0.00010519
0.01 1.04 3.08137e-06
0.01 1.08 0.000522295
0.01 1.12 0.000475966
0.01 1.16 0.000394824
0.01 1.2 0.000799724
0.01 1.24 0.000210885
0.01 1.28 0.00023634
0.01 1.32 9.82426e-05
0.01 1.36 0.00102002
0.01 1.4 9.87673e-07
0.01 1.44 0.000871915
0.01 1.48 9.90286e-05
0.01 1.52 0.000372756
0.01 1.56 2.47418e-05
0.01 1.6 0.000672876
0.01 1.64 0.00050566
0.01 1.68 0.000675613
0.01 1.72 0.000885059
0.01 1.76 0.00059118
0.01 1.8 0.000754537
0.01 1.84 0.000369968
0.01 1.88 0.00122332
0.01 1.92 0.0006014
0.01 1.96 0.00265273
0.01 2 0.00219739
0.01 2.04 0.00085654
0.01 2.08 0.00143916
0.01 2.12 0.000540767
0.01 2.16 0.000514359
0.01 2.2 0.000243711
0.01 2.24 0.00123144
0.01 2.28 0.000405121
0.01 2.32 0.00330547
0.01 2.36 0.000488148
0.01 2.4 0.00104167
0.01 2.44 0.00171502
0.01 2.48 0.0013629
0.01 2.52 0.00332125
0.01 2.56 0.00570007
0.01 2.6 0.00368503
0.01 2.64 0.00382831
0.01 2.68 0.00241905
0.01 2.72 0.00025418
0.01 2.76 0.00352821
0.01 2.8 0.00766865
0.01 2.84 0.00876473
0.01 2.88 0.0184268
0.01 2.92 0.0317115
0.01 2.96 0.0536427
0.01 3 0.0707468
0.01 3.04 0.0684694
0.01 3.08 0.0475075
0.01 3.12 0.0294569
0.01 3.16 0.0197757
0.01 3.2 0.013245
0.01 3.24 0.00959607
0.01 3.28 0.00727192
0.01 3.32 0.00570567
0.01 3.36 0.00456071
0.01 3.4 0.00379601
0.01 3.44 0.00313948
0.01 3.48 0.00261311
0.01 3.52 0.00211421
