# generlized Kondo-Heisenberg model
# U/W=1.2 Jh/U=0.25 n=1/3 L=48
# static structure factor S(r)
# r, S+-(r), Szz(r)
           1   -7.3617600000000005E-002  -1.6388700000000000E-003
           2   -8.5447300000000004E-002   1.1720800000000001E-004
           3   -7.5518100000000005E-002   1.6942500000000000E-003
           4    6.8765699999999999E-002   1.8739800000000001E-002
           5    7.3593199999999998E-002   8.5706600000000008E-003
           6    5.6116600000000003E-002  -4.4006999999999996E-003
           7   -8.5780400000000007E-002  -7.2772400000000001E-002
           8  -0.10351100000000001       -6.3611399999999999E-002
           9   -9.6764199999999995E-002  -3.4125700000000002E-002
          10   -4.0281300000000004E-003   8.3550399999999997E-002
          11    4.2006200000000000E-002  0.10685400000000000     
          12    8.6078000000000002E-002  0.10423000000000000     
          13   0.14305399999999999        4.5183500000000001E-002
          14   0.12387900000000000       -1.5265999999999999E-003
          15    6.3772999999999996E-002  -4.8089600000000003E-002
          16   -9.3624899999999997E-002 -0.12802900000000000     
          17  -0.17167600000000000      -0.14586499999999999     
          18  -0.23508000000000001      -0.13870299999999999     
          19  -0.25844000000000000       -6.8792300000000001E-002
          20  -0.20796799999999999       -7.8269299999999993E-003
          21  -0.10125800000000000        4.6165900000000003E-002
          22   0.12130800000000000       0.12894400000000000     
          23   0.22939799999999999       0.13355600000000001     
          24   0.51853700000000003       0.37167400000000000     
          25   0.27360299999999999       -4.4487399999999996E-003
          26   0.18568499999999999       -7.4967900000000004E-002
          27    5.0959100000000000E-002 -0.11909100000000000     
          28  -0.15436600000000000      -0.15490699999999999     
          29  -0.24634700000000001      -0.14107400000000000     
          30  -0.28375099999999998      -0.10410400000000000     
          31  -0.21759200000000001        2.0800400000000000E-002
          32  -0.14297399999999999        8.4219000000000002E-002
          33   -5.5624800000000002E-002  0.11330300000000000     
          34   0.10901400000000000       0.10332400000000000     
          35   0.16577800000000001        6.8838600000000000E-002
          36   0.17555499999999999        2.7684100000000000E-002
          37    8.2680299999999998E-002  -8.1434800000000002E-002
          38    2.2053199999999998E-002 -0.10686500000000000     
          39   -3.4146700000000002E-002 -0.10060700000000000     
          40  -0.12506700000000001        1.4221599999999999E-002
          41  -0.12375200000000000        4.9344100000000002E-002
          42   -9.6976400000000004E-002   5.9594800000000003E-002
          43    7.8160099999999996E-002   5.2340099999999999E-003
          44    9.7696300000000000E-002  -6.6615800000000003E-003
          45    8.8660699999999995E-002  -1.0565300000000000E-002
          46  -0.10300300000000000        7.4788800000000002E-003
          47  -0.11592400000000000        9.4378499999999994E-003
          48   -9.9432800000000002E-002   8.9055100000000002E-003
