# generlized Kondo-Heisenberg model
# U/W=2.2 Jh/U=0.25 n=1/2 L=48
# chirality correlation d=1 kappa(l)
# l, kappa(l)
           1   6.1049324999999949E-003
           2   2.6948322000000000E-002
           3   1.3853392999999999E-002
           4   2.4322717200000000E-002
           5   1.9571334999999995E-002
           6   3.1653854999999995E-002
           7   2.4926317000000010E-002
           8   3.6802086000000032E-002
           9   3.0296852000000006E-002
          10   3.9711885000000002E-002
          11   3.0961684000000014E-002
          12   3.7010934399999994E-002
          13   3.0084154000000030E-002
          14   3.7081040200000012E-002
          15   3.1861178000000025E-002
          16   4.0153373000000013E-002
          17   3.4078197999999962E-002
          18   4.2881776499999982E-002
          19   3.5874970000000006E-002
          20   4.6424858000000006E-002
          21   3.7140489999999991E-002
          22   4.8267519999999974E-002
          23 -0.16310710000000000     
          24  0.90347830000000029     
          25 -0.15166679999999999     
          26   5.0275150000000005E-002
          27   3.9256410000000005E-002
          28   4.9508789999999997E-002
          29   3.8398315000000016E-002
          30   4.6181110000000018E-002
          31   3.7375631999999978E-002
          32   4.5188765000000006E-002
          33   3.6840846000000024E-002
          34   4.3783316000000003E-002
          35   3.5274517000000012E-002
          36   4.2642141490000028E-002
          37   3.5393983999999983E-002
          38   4.5487559999999996E-002
          39   3.5208341000000018E-002
          40   4.3365438999999978E-002
          41   2.8962469900000003E-002
          42   3.5769846999999994E-002
          43   2.1959451580000008E-002
          44   2.7446542269999995E-002
          45   1.5633705700000004E-002
          46   3.0243364200000008E-002
          47   6.8460879999999811E-003
