# generlized Kondo-Heisenberg model
# U/W=2.4 Jh/U=0.25 n=1/2 L=48
# chirality correlation d=1 kappa(l)
# l, kappa(l)
           1   2.5778000000003078E-004
           2   1.0000609999999870E-003
           3   2.8210299999997519E-004
           4   1.6410510000001662E-004
           5   6.4735050000018350E-005
           6   4.9219140000038029E-005
           7   4.2527700000029954E-005
           8   7.6470000000010061E-005
           9   9.4544000000018928E-005
          10   1.5279500000001177E-004
          11   1.4147099999997149E-004
          12   1.8870999999999450E-004
          13   1.8361999999995512E-004
          14   2.6292000000001153E-004
          15   2.9264999999997418E-004
          16   4.5308999999998760E-004
          17   5.0193999999999933E-004
          18   7.6835999999999571E-004
          19   8.3919999999999134E-004
          20   1.3138999999999981E-003
          21   1.3450999999999602E-003
          22   1.9957000000000325E-003
          23 -0.25748141350000003     
          24  0.86856725000000012     
          25 -0.26160733500000000     
          26   2.1029200000000055E-003
          27   1.4582600000000003E-003
          28   1.4513699999999918E-003
          29   9.1011999999999517E-004
          30   8.0190999999996343E-004
          31   4.9027999999998965E-004
          32   4.0617999999995871E-004
          33   2.4781999999996156E-004
          34   2.0942000000000790E-004
          35   1.3300000000003001E-004
          36   1.2207000000003486E-004
          37   7.8859999999993536E-005
          38   7.2225999999977661E-005
          39   3.7437999999993051E-005
          40   2.3068999999964891E-005
          41   1.0610999999962159E-005
          42   1.7282999999944587E-005
          43   4.5833999999999589E-005
          44   1.4125899999996907E-004
          45   2.7172000000002150E-004
          46   9.9146300000000059E-004
          47   2.5689999999998873E-004
