# generlized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1/3 L=48
# chirality correlation d=1 kappa(l)
# l, kappa(l)
           1   9.2309000000011994E-006
           2   5.0576337999995483E-005
           3   2.5307099999999003E-004
           4   9.8804399999981486E-005
           5   5.7328199999990518E-005
           6   1.0499129999999075E-004
           7   3.9430599999999243E-005
           8   1.2480000000007307E-005
           9   1.0065000000002784E-005
          10   1.2018999999986659E-005
          11   5.7511000000000866E-005
          12   1.4468399999999348E-004
          13   1.5845000000000640E-004
          14   2.8383760000000053E-004
          15   5.3058800000000870E-004
          16   4.6581000000001549E-004
          17   5.9557999999999183E-004
          18   9.4268000000000867E-004
          19   7.3771999999999380E-004
          20   7.4258000000000830E-004
          21   1.0911999999999901E-003
          22   7.9620000000001252E-004
          23 -0.18666983500000001     
          24  0.60877734999999988     
          25 -0.18479561500000000     
          26   7.7580000000000877E-004
          27   1.0592999999999905E-003
          28   7.1701999999997969E-004
          29   6.6889999999998791E-004
          30   8.3412999999999717E-004
          31   5.1853999999999616E-004
          32   3.9051000000000970E-004
          33   4.4031000000000452E-004
          34   2.4455000000000115E-004
          35   1.4952299999999212E-004
          36   1.6700189999998476E-004
          37   9.2042579999984764E-005
          38   8.5392999999993563E-005
          39   1.3023999999997566E-004
          40   7.5447399999988235E-005
          41   6.3329499999988722E-005
          42   1.2233419999999788E-004
          43   5.9283100000001533E-005
          44   1.0408940000001470E-004
          45   2.5793690000000611E-004
          46   5.1565699999978607E-005
          47   1.0296499999988594E-005
