# generlized Kondo-Heisenberg model
# U/W=1.0 Jh/U=0.25 n=1/3 L=48
# static structure factor S(r)
# r, S+-(r), Szz(r)
           1 -0.15568100000000001       -6.5432400000000002E-002
           2 -0.17604900000000001       -7.4551800000000001E-002
           3 -0.13433400000000001       -5.7322400000000003E-002
           4  0.10651099999999999        4.7383300000000003E-002
           5  0.14037500000000000        6.2347899999999998E-002
           6  0.11141300000000000        4.9551400000000002E-002
           7 -0.12556100000000001       -5.5584599999999998E-002
           8 -0.16939599999999999       -7.4975600000000003E-002
           9 -0.12504000000000001       -5.5784700000000000E-002
          10  0.12062500000000000        5.5874600000000003E-002
          11  0.16320000000000001        7.5740900000000000E-002
          12  0.12479300000000000        5.7900100000000003E-002
          13 -0.14046200000000000       -6.5171900000000005E-002
          14 -0.19227500000000000       -8.9195099999999999E-002
          15 -0.14292400000000000       -6.6591999999999998E-002
          16  0.14736800000000000        7.0102100000000001E-002
          17  0.20201100000000000        9.6116300000000002E-002
          18  0.15672700000000001        7.4677400000000005E-002
          19 -0.19080900000000001       -9.1617100000000007E-002
          20 -0.27613799999999999      -0.13296500000000000     
          21 -0.22912199999999999      -0.11094500000000000     
          22  0.16619800000000001        7.9353900000000005E-002
          23  0.20857700000000001        9.8726999999999995E-002
          24  0.74002699999999999       0.36337900000000001     
          25 -0.45356600000000002      -0.22392500000000001     
          26 -0.25765800000000000      -0.12346100000000000     
          27 -0.22486200000000001      -0.10904100000000000     
          28  0.17302600000000001        8.2795499999999994E-002
          29  0.21074100000000001        9.9831799999999998E-002
          30  0.15713700000000000        7.4618799999999999E-002
          31 -0.14103399999999999       -6.7020899999999994E-002
          32 -0.18508900000000000       -8.7968599999999994E-002
          33 -0.13517499999999999       -6.4248500000000000E-002
          34  0.12748699999999999        5.9117999999999997E-002
          35  0.17083000000000001        7.8713800000000000E-002
          36  0.12579199999999999        5.8030800000000000E-002
          37 -0.11450000000000000       -5.3087900000000000E-002
          38 -0.15030499999999999       -6.9757899999999998E-002
          39 -0.11109600000000000       -5.1440300000000001E-002
          40  0.11509800000000001        5.1057600000000002E-002
          41  0.15591400000000000        6.8516400000000005E-002
          42  0.11579800000000000        5.0906800000000002E-002
          43 -0.10334500000000001       -4.5690200000000000E-002
          44 -0.13030800000000001       -5.7535299999999998E-002
          45  -9.8915400000000001E-002  -4.3737999999999999E-002
          46  0.12520600000000001        5.2949099999999999E-002
          47  0.16419100000000000        6.8867600000000001E-002
          48  0.14539500000000000        6.0496200000000000E-002
