# generlized Kondo-Heisenberg model
# U/W=1 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Single particle spectral function
# site, frequency, A(k,omega)
0 0.89000000000000001 -0.00578219
0 0.90000000000000002 0.0333055
0 0.91000000000000003 0.0230554
0 0.92000000000000004 0.0218363
0 0.93000000000000005 0.0186329
0 0.93999999999999995 0.0451107
0 0.94999999999999996 0.0143451
0 0.95999999999999996 0.0225499
0 0.96999999999999997 0.025379
0 0.97999999999999998 0.0379151
0 0.98999999999999999 0.062323
0 1.0000000000000000 0.0772701
0 1.0100000000000000 0.110736
0 1.0200000000000000 0.112522
0 1.0300000000000000 0.139321
0 1.0400000000000000 0.138494
0 1.0500000000000000 0.127261
0 1.0600000000000001 0.0934231
0 1.0700000000000001 0.0686659
0 1.0800000000000001 0.0662965
0 1.0900000000000001 0.0549642
0 1.1000000000000001 0.0367521
0 1.1100000000000001 0.0314937
0 1.1200000000000001 0.0293192
0 1.1299999999999999 0.0263239
0 1.1399999999999999 0.0257867
0 1.1499999999999999 0.0205407
0 1.1599999999999999 0.0208769
0 1.1699999999999999 0.0152321
0 1.1799999999999999 0.0107631
0 1.1899999999999999 0.0117868
0 1.2000000000000000 0.00860321
0 1.2100000000000000 0.00690034
0 1.2200000000000000 0.00731087
0 1.2300000000000000 0.00568944
0 1.2400000000000000 0.00604123
0 1.2500000000000000 0.00560447
0 1.2600000000000000 0.00478385
0 1.2700000000000000 0.00518781
0 1.2800000000000000 0.00370623
0 1.2900000000000000 0.00284208
0 1.3000000000000000 0.00495067
0 1.3100000000000001 0.00336584
0 1.3200000000000001 0.00248321
0 1.3300000000000001 0.00281551
0 1.3400000000000001 0.00359284
0 1.3500000000000001 0.00316658
0 1.3600000000000001 0.00375678
0 1.3700000000000001 0.00339124
0 1.3799999999999999 0.00448093
0 1.3899999999999999 0.00416105
0 1.3999999999999999 0.00264756
0 1.4099999999999999 0.00342209
0 1.4199999999999999 0.00411859
0 1.4299999999999999 0.00421724
0 1.4399999999999999 0.00377935
0 1.4500000000000000 -0.00480011
0 1.4600000000000000 0.00468963
0 1.4700000000000000 -0.00362447
0 1.4800000000000000 0.00271172
0 1.4900000000000000 -0.000952211
0 1.5000000000000000 0.0223329
0 1.5100000000000000 -0.00257585
0 1.5200000000000000 0.0139876
0 1.5300000000000000 -0.0172488
0 1.5400000000000000 -0.0242107
0 1.5500000000000000 0.00558462
0 1.5600000000000001 -0.0049767
0 1.5700000000000001 0.0520135
0 1.5800000000000001 -0.0103796
0 1.5900000000000001 0.0122574
0 1.6000000000000001 0.034564
0 1.6100000000000001 -0.0164385
0 1.6200000000000001 0.000322732
0 1.6299999999999999 0.0352512
0 1.6399999999999999 0.0157365
0 1.6499999999999999 -0.0143814
0 1.6599999999999999 0.00762314
0 1.6699999999999999 0.0487753
0 1.6799999999999999 0.00574573
0 1.6899999999999999 0.00782456
0 1.7000000000000000 0.0418187
0 1.7100000000000000 -0.00317413
0 1.7200000000000000 0.00645968
0 1.7300000000000000 0.00275698
0 1.7400000000000000 -0.00039596
0 1.7500000000000000 0.0451449
0 1.7600000000000000 0.0272584
0 1.7700000000000000 -0.00256331
0 1.7800000000000000 0.00182314
0 1.7900000000000000 0.0383601
0 1.8000000000000000 0.0284862
0 1.8100000000000001 0.0267632
0 1.8200000000000001 0.0917312
0 1.8300000000000001 0.0865688
0 1.8400000000000001 0.0723586
0 1.8500000000000001 0.0410522
0 1.8600000000000001 0.0575003
0 1.8700000000000001 0.0860184
0 1.8799999999999999 0.106714
0 1.8899999999999999 0.0933502
0 1.8999999999999999 0.0266177
0 1.9099999999999999 0.061588
0 1.9199999999999999 0.0894252
0 1.9299999999999999 0.11623
0 1.9399999999999999 0.117941
0 1.9500000000000000 0.0862716
0 1.9600000000000000 0.0843039
0 1.9700000000000000 0.113305
0 1.9800000000000000 0.163933
0 1.9900000000000000 0.13998
0 2.0000000000000000 0.144666
      
1 -2.0000000000000000 0.00157007
1 -1.9900000000000000 0.00195657
1 -1.9800000000000000 0.00156294
1 -1.9700000000000000 0.00232675
1 -1.9600000000000000 0.000849256
1 -1.9500000000000000 0.00165177
1 -1.9399999999999999 0.0017647
1 -1.9299999999999999 0.000692103
1 -1.9199999999999999 0.000815677
1 -1.9099999999999999 0.0015274
1 -1.8999999999999999 0.00114274
1 -1.8899999999999999 0.00105732
1 -1.8799999999999999 0.000824844
1 -1.8700000000000001 0.000906462
1 -1.8600000000000001 0.00155821
1 -1.8500000000000001 0.00174061
1 -1.8400000000000001 0.00113687
1 -1.8300000000000001 0.00117063
1 -1.8200000000000001 0.000704645
1 -1.8100000000000001 0.00163179
1 -1.8000000000000000 0.00112997
1 -1.7900000000000000 9.13243e-05
1 -1.7800000000000000 0.000299777
1 -1.7700000000000000 0.000786697
1 -1.7600000000000000 0.000239162
1 -1.7500000000000000 0.00152258
1 -1.7400000000000000 0.000457377
1 -1.7300000000000000 0.00137163
1 -1.7200000000000000 0.00114752
1 -1.7100000000000000 0.00112738
1 -1.7000000000000000 0.000245782
1 -1.6899999999999999 -0.000845382
1 -1.6799999999999999 0.000382255
1 -1.6699999999999999 -0.000325788
1 -1.6599999999999999 -0.00041431
1 -1.6499999999999999 0.000127129
1 -1.6399999999999999 -0.000970919
1 -1.6299999999999999 -0.000779028
1 -1.6200000000000001 -1.98929e-05
1 -1.6100000000000001 0.000575088
1 -1.6000000000000001 6.64803e-05
1 -1.5900000000000001 0.000415414
1 -1.5800000000000001 -0.000500863
1 -1.5700000000000001 0.000113826
1 -1.5600000000000001 0.00122663
1 -1.5500000000000000 7.14517e-05
1 -1.5400000000000000 -0.00115664
1 -1.5300000000000000 0.00210386
1 -1.5200000000000000 0.000183593
1 -1.5100000000000000 -0.000561783
1 -1.5000000000000000 -0.000637373
1 -1.4900000000000000 0.00145062
1 -1.4800000000000000 -0.000747812
1 -1.4700000000000000 -0.000492347
1 -1.4600000000000000 2.47027e-05
1 -1.4500000000000000 7.82271e-05
1 -1.4399999999999999 6.09946e-05
1 -1.4299999999999999 0.000341429
1 -1.4199999999999999 0.00015912
1 -1.4099999999999999 0.0001789
1 -1.3999999999999999 0.000271618
1 -1.3899999999999999 -7.36044e-06
1 -1.3799999999999999 2.44705e-05
1 -1.3700000000000001 0.00018619
1 -1.3600000000000001 0.000327725
1 -1.3500000000000001 0.000116683
1 -1.3400000000000001 0.000174851
1 -1.3300000000000001 0.000131109
1 -1.3200000000000001 -7.72211e-05
1 -1.3100000000000001 0.000214761
1 -1.3000000000000000 0.000565483
1 -1.2900000000000000 0.000131959
1 -1.2800000000000000 0.000169282
1 -1.2700000000000000 -0.000106059
1 -1.2600000000000000 7.35307e-05
1 -1.2500000000000000 9.42156e-05
1 -1.2400000000000000 0.00014664
1 -1.2300000000000000 0.000465669
1 -1.2200000000000000 -0.000205333
1 -1.2100000000000000 6.43288e-05
1 -1.2000000000000000 5.51133e-05
1 -1.1899999999999999 0.000222555
1 -1.1799999999999999 -0.000163584
1 -1.1699999999999999 0.000280611
1 -1.1599999999999999 -7.1351e-05
1 -1.1499999999999999 -5.21683e-05
1 -1.1399999999999999 0.000423211
1 -1.1299999999999999 -8.85537e-05
1 -1.1200000000000001 0.000366839
1 -1.1100000000000001 0.000222692
1 -1.1000000000000001 0.000131615
1 -1.0900000000000001 -0.000249083
1 -1.0800000000000001 -0.000318421
1 -1.0700000000000001 -0.000187724
1 -1.0600000000000001 0.000447428
1 -1.0500000000000000 0.000394481
1 -1.0400000000000000 0.000254898
1 -1.0300000000000000 0.000110884
1 -1.0200000000000000 0.000741244
1 -1.0100000000000000 0.000249986
1 -1.0000000000000000 0.000286185
1 -0.98999999999999999 -0.000475028
1 -0.97999999999999998 0.000194319
1 -0.96999999999999997 0.000375932
1 -0.95999999999999996 -0.000435603
1 -0.94999999999999996 -0.000191842
