# generlized Kondo-Heisenberg model
# U/W=2 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Single particle spectral function
# site, frequency, hole A(k,omega), electron A(k,omega)
0 -2.0000000000000000 0.0000000000000000 1.7727279769468089E-004 0.0000000000000000 0.0000000000000000
0 -1.9900000000000000 0.0000000000000000 1.1343876105998549E-004 0.0000000000000000 0.0000000000000000
0 -1.9800000000000000 0.0000000000000000 2.3561813953518001E-004 0.0000000000000000 0.0000000000000000
0 -1.9700000000000000 0.0000000000000000 3.2385019879736798E-004 0.0000000000000000 0.0000000000000000
0 -1.9600000000000000 0.0000000000000000 1.3282985520750613E-004 0.0000000000000000 0.0000000000000000
0 -1.9500000000000000 0.0000000000000000 2.3477504848528781E-004 0.0000000000000000 0.0000000000000000
0 -1.9399999999999999 0.0000000000000000 3.6416371573405029E-004 0.0000000000000000 0.0000000000000000
0 -1.9299999999999999 0.0000000000000000 2.3339857330179032E-004 0.0000000000000000 0.0000000000000000
0 -1.9199999999999999 0.0000000000000000 1.3023175829865474E-004 0.0000000000000000 0.0000000000000000
0 -1.9099999999999999 0.0000000000000000 3.2803124216724161E-004 0.0000000000000000 0.0000000000000000
0 -1.8999999999999999 0.0000000000000000 3.1521281702092145E-004 0.0000000000000000 0.0000000000000000
0 -1.8899999999999999 0.0000000000000000 3.0396013239582947E-004 0.0000000000000000 0.0000000000000000
0 -1.8799999999999999 0.0000000000000000 2.0375273903721348E-004 0.0000000000000000 0.0000000000000000
0 -1.8700000000000001 0.0000000000000000 2.5984410276473548E-004 0.0000000000000000 0.0000000000000000
0 -1.8600000000000001 0.0000000000000000 2.0987805360377727E-004 0.0000000000000000 0.0000000000000000
0 -1.8500000000000001 0.0000000000000000 3.0698837779952393E-004 0.0000000000000000 0.0000000000000000
0 -1.8400000000000001 0.0000000000000000 2.1459248110725611E-004 0.0000000000000000 0.0000000000000000
0 -1.8300000000000001 0.0000000000000000 8.3018659504691374E-005 0.0000000000000000 0.0000000000000000
0 -1.8200000000000001 0.0000000000000000 3.5160337968463597E-004 0.0000000000000000 0.0000000000000000
0 -1.8100000000000001 0.0000000000000000 3.6860284820082971E-004 0.0000000000000000 0.0000000000000000
0 -1.8000000000000000 0.0000000000000000 2.5421776045218971E-004 0.0000000000000000 0.0000000000000000
0 -1.7900000000000000 0.0000000000000000 3.4052275445748119E-004 0.0000000000000000 0.0000000000000000
0 -1.7800000000000000 0.0000000000000000 2.9308597844619955E-004 0.0000000000000000 0.0000000000000000
0 -1.7700000000000000 0.0000000000000000 1.6851497433967823E-004 0.0000000000000000 0.0000000000000000
0 -1.7600000000000000 0.0000000000000000 2.2212868273690478E-004 0.0000000000000000 0.0000000000000000
0 -1.7500000000000000 0.0000000000000000 2.7295502888754889E-004 0.0000000000000000 0.0000000000000000
0 -1.7400000000000000 0.0000000000000000 2.8407006599429101E-004 0.0000000000000000 0.0000000000000000
0 -1.7300000000000000 0.0000000000000000 2.7887387217658796E-004 0.0000000000000000 0.0000000000000000
0 -1.7200000000000000 0.0000000000000000 2.5459629112765134E-004 0.0000000000000000 0.0000000000000000
0 -1.7100000000000000 0.0000000000000000 3.7445286773069399E-004 0.0000000000000000 0.0000000000000000
