# generlized Kondo-Heisenberg model
# U/W=2 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states
# site, frequency, hole LDOS, electron LDOS
           1 -0.20000000000000001       0.66365700000000005        0.0000000000000000     
           1 -0.19800000000000001       0.84903300000000004        0.0000000000000000     
           1 -0.19600000000000001       0.95621299999999998        0.0000000000000000     
           1 -0.19400000000000001       0.49113400000000001        0.0000000000000000     
           1 -0.19200000000000000       0.68910099999999996        0.0000000000000000     
           1 -0.19000000000000000        1.2379439999999999        0.0000000000000000     
           1 -0.18800000000000000       0.93010599999999999        0.0000000000000000     
           1 -0.18600000000000000       0.52427699999999999        0.0000000000000000     
           1 -0.18400000000000000        2.0195690000000002        0.0000000000000000     
           1 -0.18200000000000000        2.2130369999999999        0.0000000000000000     
           1 -0.17999999999999999        1.3372560000000000        0.0000000000000000     
           1 -0.17799999999999999        2.7405729999999999        0.0000000000000000     
           1 -0.17599999999999999        1.4917570000000000        0.0000000000000000     
           1 -0.17399999999999999        2.2262409999999999        0.0000000000000000     
           1 -0.17199999999999999        2.2292800000000002        0.0000000000000000     
           1 -0.17000000000000001        1.7545750000000000        0.0000000000000000     
           1 -0.16800000000000001        1.1144529999999999        0.0000000000000000     
           1 -0.16600000000000001        1.5049040000000000        0.0000000000000000     
           1 -0.16400000000000001       0.75445300000000004        0.0000000000000000     
           1 -0.16200000000000001       0.89247699999999996        0.0000000000000000     
           1 -0.16000000000000000       0.67137300000000000        0.0000000000000000     
           1 -0.15800000000000000        1.9229840000000000        0.0000000000000000     
           1 -0.15600000000000000        1.1680510000000000        0.0000000000000000     
           1 -0.15400000000000000        1.0688830000000000        0.0000000000000000     
           1 -0.15200000000000000        2.4037039999999998        0.0000000000000000     
           1 -0.14999999999999999       0.82438500000000003        2.9763000000000001E-002
           1 -0.14799999999999999        2.0152730000000001        3.0358000000000000E-002
           1 -0.14599999999999999       0.98638599999999999        3.0974999999999999E-002
           1 -0.14399999999999999        1.0888700000000000        3.1614999999999997E-002
           1 -0.14199999999999999        1.8285030000000000        3.2279000000000002E-002
           1 -0.14000000000000001        2.9318770000000001        3.2967000000000003E-002
           1 -0.13800000000000001        2.2290280000000000        3.3681999999999997E-002
           1 -0.13600000000000001        1.8312569999999999        3.4424000000000003E-002
           1 -0.13400000000000001        2.2560579999999999        3.5195999999999998E-002
           1 -0.13200000000000001        1.1937219999999999        3.5999000000000003E-002
           1 -0.13000000000000000        1.7642920000000000        3.6835000000000000E-002
           1 -0.12800000000000000        1.4859169999999999        3.7706000000000003E-002
           1 -0.12600000000000000        1.6681180000000000        3.8613000000000001E-002
           1 -0.12400000000000000        1.0996820000000000        3.9558999999999997E-002
           1 -0.12200000000000000       0.81247899999999995        4.0547000000000000E-002
           1 -0.12000000000000000       0.73065599999999997        4.1578999999999998E-002
           1 -0.11799999999999999       0.44002599999999997        4.2658000000000001E-002
           1 -0.11600000000000001       0.66523399999999999        4.3787000000000000E-002
           1 -0.11400000000000000       0.35860700000000001        4.4970000000000003E-002
           1 -0.11200000000000000       0.53603599999999996        4.6209000000000000E-002
           1 -0.11000000000000000       0.79979800000000001        4.7509000000000003E-002
           1 -0.10800000000000000       0.55605099999999996        4.8874000000000001E-002
           1 -0.10600000000000000       0.71437499999999998        5.0309000000000000E-002
           1 -0.10400000000000000       0.50175400000000003        5.1818999999999997E-002
           1 -0.10199999999999999       0.81781899999999996        5.3408999999999998E-002
           1 -0.10000000000000001       0.87538899999999997        5.5086000000000003E-002
           1  -9.8000000000000004E-002  0.37707099999999999        5.6855999999999997E-002
           1  -9.6000000000000002E-002  0.45202399999999998        5.8726000000000000E-002
           1  -9.4000000000000000E-002  0.42271599999999998        6.0706000000000003E-002
           1  -9.1999999999999998E-002  0.47024700000000003        6.2802999999999998E-002
           1  -8.9999999999999997E-002  0.35253400000000001        6.5028000000000002E-002
           1  -8.7999999999999995E-002  0.73332299999999995        6.7391999999999994E-002
           1  -8.5999999999999993E-002  0.53452200000000005        6.9906999999999997E-002
           1  -8.4000000000000005E-002  0.31909599999999999        7.2586999999999999E-002
           1  -8.2000000000000003E-002  0.36428600000000000        7.5448000000000001E-002
           1  -8.0000000000000002E-002  0.47354499999999999        7.8506000000000006E-002
           1  -7.8000000000000000E-002  0.43412600000000001        8.1781999999999994E-002
           1  -7.5999999999999998E-002  0.40833399999999997        8.5295999999999997E-002
           1  -7.3999999999999996E-002  0.51634999999999998        8.9075000000000001E-002
           1  -7.1999999999999995E-002  0.48360999999999998        9.3145000000000006E-002
           1  -7.0000000000000007E-002  0.83973500000000001        9.7539000000000001E-002
           1  -6.8000000000000005E-002  0.66270600000000002       0.10229400000000000     
           1  -6.6000000000000003E-002  0.80210999999999999       0.10745100000000000     
           1  -6.4000000000000001E-002   1.0907420000000001       0.11305800000000001     
           1  -6.2000000000000000E-002   1.2872020000000000       0.11917100000000000     
           1  -5.9999999999999998E-002  0.90271599999999996       0.12585399999999999     
           1  -5.8000000000000003E-002   1.1388350000000000       0.13318400000000000     
           1  -5.6000000000000001E-002  0.80924900000000000       0.14124800000000001     
           1  -5.3999999999999999E-002  0.68324300000000004       0.15015000000000001     
           1  -5.1999999999999998E-002  0.51590199999999997       0.16001699999999999     
           1  -5.0000000000000003E-002  0.75514099999999995       0.17099500000000001     
           1  -4.8000000000000001E-002  0.62762399999999996       0.18326300000000001     
           1  -4.5999999999999999E-002  0.41720099999999999       0.19703399999999999     
           1  -4.3999999999999997E-002  0.54983199999999999       0.21257100000000001     
