0.511976 1.73326
0.617842 2.45695
0.549431 2.83737
0.571223 2.39681
0.51117 1.89586
0.533794 2.13084
0.49836 1.94219
0.511077 2.15569
0.458884 3.15309
0.482185 2.7177
0.546073 2.20604
0.491169 2.43051
0.559612 2.68177
0.475661 2.57562
0.470197 1.80488
0.578127 1.86963
0.518793 2.09671
0.576181 2.91549
0.569992 1.96843
0.529539 2.23445
0.506109 2.12042
0.50839 2.46405
0.502292 3.78353
0.552412 2.28694
0.474688 2.03781
0.519787 2.06415
0.419914 2.95969
0.496528 4.43382
0.453916 3.46646
0.573219 1.96989
0.475133 3.07469
0.440209 2.44632
0.495882 2.02484
0.522668 2.67032
0.460428 2.8896
0.528023 2.83607
0.415414 2.52961
0.576349 1.8854
0.458424 2.99138
0.570418 2.15698
0.468869 2.00183
0.531463 2.63785
0.564036 2.57183
0.485773 2.65803
0.530509 2.15705
0.538188 3.13661
0.556462 2.28521
0.5205 1.88875
0.530582 2.91338
0.546535 2.53157
0.522831 2.04965
0.59788 1.96509
0.500345 2.5651
0.497023 2.02295
0.616811 2.26565
0.659118 2.48307
0.476802 2.42149
0.465747 2.60856
0.448928 2.62928
0.60904 1.99923
0.51407 1.76534
0.458152 2.4035
0.514108 2.42027
0.598431 2.15574
0.47199 2.57178
0.548207 2.41466
0.454863 3.49103
0.472918 2.49409
0.493756 2.11378
0.498113 2.28945
0.503954 2.43854
0.448174 1.99088
0.407713 2.09152
0.55335 2.34351
0.616555 2.68198
0.452956 2.77644
0.495393 2.58442
0.463653 3.29523
0.465139 2.44925
0.569007 2.50601
0.463509 1.97712
0.535308 2.43775
0.492874 2.22523
0.435968 3.18048
0.456776 3.02794
0.544275 2.12724
0.557633 2.73912
0.568024 2.01382
0.522047 2.04439
0.558174 1.68046
0.547072 1.96517
0.479037 2.67217
0.497421 2.87897
0.523362 2.21154
0.520443 2.39825
0.487153 2.35711
0.55809 2.2185
0.489173 2.52287
0.514589 2.43753
0.633725 1.93452
