# amplitude of the charge density oscillations
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4 x=0.1
# x, U/W, amplitude

0.45 0.975 0.0372868
0.466667 0.975 0.0400323
0.483333 0.975 0.0407877
0.5 0.975 0.0433415
0 0 0
0 1.185 0
0.0166667 1.185 0.0309236
0.0333333 1.185 0.0416864
0.05 1.185 0.0523574
0.0666667 1.185 0.0575327
0.0833333 1.185 0.0590335
0.1 1.185 0.0591107
0.116667 1.185 0.0588182
0.133333 1.185 0.0557548
0.15 1.185 0.0538349
0.166667 1.185 0.0513167
0.183333 1.185 0.0479925
0.2 1.185 0.0441738
0.216667 1.185 0.0405383
0.233333 1.185 0.0373018
0.25 1.185 0.033165
0.266667 1.185 0.0297676
0.283333 1.185 0.0247276
0.3 1.185 0.0218171
0.316667 1.185 0.0155193
0.333333 1.185 0.00393423
0.35 1.185 0.0156155
0.366667 1.185 0.0200838
0.383333 1.185 0.0218778
0.4 1.185 0.0252099
0.416667 1.185 0.0264907
0.433333 1.185 0.0287317
0.45 1.185 0.0293752
0.466667 1.185 0.0313815
0.483333 1.185 0.0317768
0.5 1.185 0.0325469
0 0 0
0 1.445 0
0.0166667 1.445 0.0276024
0.0333333 1.445 0.0418293
0.05 1.445 0.0544786
0.0666667 1.445 0.0608057
0.0833333 1.445 0.06349
0.1 1.445 0.0653433
0.116667 1.445 0.066025
0.133333 1.445 0.0644413
0.15 1.445 0.0631345
0.166667 1.445 0.0604778
0.183333 1.445 0.0573704
0.2 1.445 0.0541773
0.216667 1.445 0.0505656
0.233333 1.445 0.0463406
0.25 1.445 0.0428913
0.266667 1.445 0.0387152
0.283333 1.445 0.0343055
0.3 1.445 0.0291889
0.316667 1.445 0.0237391
0.333333 1.445 0.013498
0.35 1.445 0.0207837
0.366667 1.445 0.0225285
0.383333 1.445 0.0240624
0.4 1.445 0.0255305
0.416667 1.445 0.0257301
0.433333 1.445 0.0265883
0.45 1.445 0.0262146
0.466667 1.445 0.0257927
0.483333 1.445 0.0248593
0.5 1.445 0.0227996
0 0 0
0 1.755 0
0.0166667 1.755 0.03121
0.0333333 1.755 0.0433243
0.05 1.755 0.0551303
0.0666667 1.755 0.062963
0.0833333 1.755 0.0669631
0.1 1.755 0.069665
0.116667 1.755 0.0711314
0.133333 1.755 0.0698421
0.15 1.755 0.069786
0.166667 1.755 0.0679378
0.183333 1.755 0.064936
0.2 1.755 0.062057
0.216667 1.755 0.0590031
0.233333 1.755 0.0551798
0.25 1.755 0.0513742
0.266667 1.755 0.0475411
0.283333 1.755 0.0432461
0.3 1.755 0.0387805
0.316667 1.755 0.0334176
0.333333 1.755 0.0254727
0.35 1.755 0.0289827
0.366667 1.755 0.028929
0.383333 1.755 0.0294019
0.4 1.755 0.0289118
0.416667 1.755 0.0282043
0.433333 1.755 0.028027
0.45 1.755 0.0263677
0.466667 1.755 0.0252197
0.483333 1.755 0.0217372
0.5 1.755 0.0148316
0 0 0
0 2.135 0
0.0166667 2.135 0.0324663
0.0333333 2.135 0.0437536
0.05 2.135 0.0562347
0.0666667 2.135 0.0645537
0.0833333 2.135 0.0686365
0.1 2.135 0.0715306
0.116667 2.135 0.0738517
0.133333 2.135 0.0730247
0.15 2.135 0.0736027
0.166667 2.135 0.0725277
0.183333 2.135 0.070393
0.2 2.135 0.0682548
0.216667 2.135 0.0654656
0.233333 2.135 0.0615638
0.25 2.135 0.058469
0.266667 2.135 0.0545526
0.283333 2.135 0.0506184
