# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=2
# k, omega-Ef, A(q,omega)

0.0 -2.64 0.008867719024772637
0.0 -2.62 0.008409327494486295
0.0 -2.6 0.008589797029341976
0.0 -2.58 0.007664023806133524
0.0 -2.56 0.007301156607451539
0.0 -2.54 0.007939192168178767
0.0 -2.52 0.008384905593260968
0.0 -2.5 0.007998282735611635
0.0 -2.48 0.008005765956529135
0.0 -2.46 0.00873238195900086
0.0 -2.44 0.009597436830570233
0.0 -2.42 0.008798252155591619
0.0 -2.4 0.009591880236401009
0.0 -2.38 0.010441105247223827
0.0 -2.36 0.01106438349407838
0.0 -2.34 0.011706038127791038
0.0 -2.32 0.011984704228455666
0.0 -2.3 0.012541545242959402
0.0 -2.28 0.012415319920128513
0.0 -2.26 0.013938124667693444
0.0 -2.24 0.013966626059759615
0.0 -2.22 0.013760968071520443
0.0 -2.2 0.015430454920609175
0.0 -2.18 0.015507269684403416
0.0 -2.16 0.014596909767649248
0.0 -2.14 0.015080559438483188
0.0 -2.12 0.01601788433942743
0.0 -2.1 0.017229869744911558
0.0 -2.08 0.01665881102011985
0.0 -2.06 0.016447433958405894
0.0 -2.04 0.017652619361672416
0.0 -2.02 0.01846758181814055
0.0 -2.0 0.01857075952725474
0.0 -1.98 0.017990310762861825
0.0 -1.96 0.019374734889003566
0.0 -1.94 0.020545309268859863
0.0 -1.92 0.02207076736649802
0.0 -1.9 0.02179734069167732
0.0 -1.88 0.023111728014785306
0.0 -1.86 0.02537844091273048
0.0 -1.84 0.027080066300068
0.0 -1.82 0.02850970874796548
0.0 -1.8 0.035447665966186245
0.0 -1.78 0.03902954934360744
0.0 -1.76 0.04113107531980698
0.0 -1.74 0.04359309945016502
0.0 -1.72 0.04681728930925593
0.0 -1.7 0.04503409234447379
0.0 -1.68 0.04389356570182706
0.0 -1.66 0.043983218397977364
0.0 -1.64 0.04529840395949984
0.0 -1.62 0.04535844217664773
0.0 -1.6 0.04568146571931114
0.0 -1.58 0.0506460907737272
0.0 -1.56 0.05730483873155283
0.0 -1.54 0.06540121231906094
0.0 -1.52 0.07952835303677534
0.0 -1.5 0.08942533615405396
0.0 -1.48 0.09514123675576605
0.0 -1.46 0.10355398619311319
0.0 -1.44 0.10495449540491948
0.0 -1.42 0.1028669068947761
0.0 -1.4 0.10492407221847513
0.0 -1.38 0.10596017961841375
0.0 -1.36 0.10596224149834925
0.0 -1.34 0.0983207782867769
0.0 -1.32 0.09082420910008011
0.0 -1.3 0.08051415731166403
0.0 -1.28 0.07057401533305664
0.0 -1.26 0.0627367880953267
0.0 -1.24 0.05514664942029536
0.0 -1.22 0.04951324619040192
0.0 -1.2 0.04432328043897068
0.0 -1.18 0.038863570311982766
0.0 -1.16 0.03396992758327498
0.0 -1.14 0.028637224340205575
0.0 -1.12 0.0238935607653706
0.0 -1.1 0.020129749248370642
0.0 -1.08 0.017217030237216116
0.0 -1.06 0.014877826257212987
0.0 -1.04 0.013141193625350683
0.0 -1.02 0.011620406408927038
0.0 -1.0 0.010548678658335926
0.0 -0.98 0.00947081643655604
0.0 -0.96 0.008645475770650312
0.0 -0.94 0.007827708412473912
0.0 -0.92 0.007239888615255432
0.0 -0.9 0.006607098442732507
0.0 -0.88 0.0060003944343855545
0.0 -0.86 0.005426615656860199
0.0 -0.84 0.004855450666454936
0.0 -0.82 0.004270318856834697
0.0 -0.8 0.0038560374668549914
0.0 -0.78 0.003492382718136992
0.0 -0.76 0.0030987586934155655
0.0 -0.74 0.002818759250771776
0.0 -0.72 0.002606755642693018
0.0 -0.7 0.0024311862441348453
0.0 -0.68 0.002280914582312425
0.0 -0.66 0.0021453982867912294
0.0 -0.64 0.002025900699977238
0.0 -0.62 0.0019174613374459966
0.0 -0.6 0.0018193108154166866
0.0 -0.58 0.0017282778760443751
0.0 -0.56 0.0016448962403174145
0.0 -0.54 0.0015696991107580372
0.0 -0.52 0.0014972991856791425
0.0 -0.5 0.0023540648873947457
0.0 -0.48 0.0023197592604701127
0.0 -0.46 0.0022897837030502344
0.0 -0.44 0.0022648367086445464
0.0 -0.42 0.002244789219071219
0.0 -0.4 0.0022294120723052907
0.0 -0.38 0.002218141436441449
0.0 -0.36 0.0022113720636069275
0.0 -0.34 0.0022088345308884593
0.0 -0.32 0.002209519883275856
0.0 -0.3 0.002214038973563298
0.0 -0.28 0.0022229237679307298
0.0 -0.26 0.0022361741267911193
0.0 -0.24 0.0022535157815670812
0.0 -0.22 0.002275067480941058
0.0 -0.2 0.002300912857486378
0.0 -0.18 0.0023307396550118747
0.0 -0.16 0.002364839510709951
0.0 -0.14 0.002403433311088656
0.0 -0.12 0.0024469014706929113
0.0 -0.1 0.0024953923904790145
0.0 -0.08 0.0025492776112448355
0.0 -0.06 0.0026091076841866165
0.0 -0.04 0.002675089417463154
0.0 -0.02 0.0027477127017346697
0.0 0.0 0.0028272635907122773
0.0 0.02 0.0029143188978952884
0.0 0.04 0.0030094687773150977
0.0 0.06 0.00311421833611756
0.0 0.08 0.003228860208545311
0.0 0.1 0.0033532652965345116
0.0 0.12 0.0034896322952533204
0.0 0.14 0.0036387861640623993
0.0 0.16 0.00380271464224215
0.0 0.18 0.003981243804350376
0.0 0.2 0.004177388271640807
0.0 0.22 0.004399152044307312
0.0 0.24 0.004640602852947834
0.0 0.26 0.0049072677258687695
0.0 0.28 0.005205673194350514
0.0 0.3 0.00555841931620234
0.0 0.32 0.005949937271722017
0.0 0.34 0.0063983136318536684
0.0 0.36 0.006929947734250652
0.0 0.38 0.007520217044593258
0.0 0.4 0.008257380748394733
0.0 0.42 0.009072164792694641
0.0 0.44 0.010078919572256354
0.0 0.46 0.011270725159660554
0.0 0.48 0.012722421979776197
0.0 0.5 0.014604517746138584
0.0 0.52 0.016514778413408374
0.0 0.54 0.019756070043636813
0.0 0.56 0.024695284574995043
0.0 0.58 0.031227301526053918
0.0 0.6 0.03857004355651251
0.0 0.62 0.048425662369937186
0.0 0.64 0.06400274510600866
0.0 0.66 0.08391342528278252
0.0 0.68 0.10500572241000697
0.0 0.7 0.1095259716088129
0.0 0.72 0.11236191815104399
0.0 0.74 0.11206519450689095
0.0 0.76 0.11403146169905583
0.0 0.78 0.11692725277145698
0.0 0.8 0.13166578246372912
0.0 0.82 0.149209818276113
0.0 0.84 0.16446786404857436
0.0 0.86 0.19189647831738182
0.0 0.88 0.21613079002563204
0.0 0.9 0.23423371478704597
0.0 0.92 0.2426532450699523
0.0 0.94 0.2461108103686344
0.0 0.96 0.23762226917426435
0.0 0.98 0.25119327753424986
0.0 1.0 0.2520428888688019
0.0 1.02 0.2555851059322055
0.0 1.04 0.213742849193433
0.0 1.06 0.16438399230948306
0.0 1.08 0.12269703864046386
0.0 1.1 0.09230451269382425
0.0 1.12 0.07248650281231107
0.0 1.14 0.06082433638358753
0.0 1.16 0.055011386229298645
0.0 1.18 0.04943242623595001
0.0 1.2 0.04744111391969576
0.0 1.22 0.04450865552743011
0.0 1.24 0.03915883037945554
0.0 1.26 0.037192913304802566
0.0 1.28 0.03309018319724859
0.0 1.3 0.030792411632924212
0.0 1.32 0.029698232664182245
0.0 1.34 0.027038534385423255
0.0 1.36 0.025054264161829546
0.0 1.38 0.023186326189683262
0.0 1.4 0.021826283850112586
0.0 1.42 0.02032756903922227
0.0 1.44 0.020040896233034143
0.0 1.46 0.019525110111109925
0.0 1.48 0.019233904521811195
0.0 1.5 0.01818208110432133
0.0 1.52 0.01771943990001381
0.0 1.54 0.016562102797718872
0.0 1.56 0.016572310910387154
0.0 1.58 0.01662631025352235
0.0 1.6 0.016847715606572018
0.0 1.62 0.01580769100233507
0.0 1.64 0.015531931429385177
0.0 1.66 0.01532189718827458
0.0 1.68 0.014852645999582383
0.0 1.7 0.015095380776274656
0.0 1.72 0.015019202190350446
0.0 1.74 0.015181900055959782
0.0 1.76 0.016113569382234925
0.0 1.78 0.017028794226119463
0.0 1.8 0.017956438500496344
0.0 1.82 0.01801236227022231
0.0 1.84 0.0185992833928331
0.0 1.86 0.019738035292716664
0.0 1.88 0.021277801918624786
0.0 1.9 0.02297525130065915
0.0 1.92 0.023909869662223866
0.0 1.94 0.024711654291912393
0.0 1.96 0.022587887741040622
0.0 1.98 0.02192295537441808
0.0 2.0 0.022434924130007042
0.0 2.02 0.020064478026382306
0.0 2.04 0.018168381534450107
0.0 2.06 0.016903975701281715
0.0 2.08 0.016102436811239993
0.0 2.1 0.014964876446204815
0.0 2.12 0.013576863796696707
0.0 2.14 0.012934598170602841
0.0 2.16 0.012950700398884346
0.0 2.18 0.012657547045372463
0.0 2.2 0.0125344916642802
0.0 2.22 0.012688505747495561
0.0 2.24 0.012803512766305699
0.0 2.26 0.012893632175021881
0.0 2.28 0.01235543253673949
0.0 2.3 0.012311617583124084
0.0 2.32 0.012011913290542155
0.0 2.34 0.011838121040961715
