# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=1
# k, omega-Ef, A(q,omega)

0.0 -3.44 0.0015554341402891521
0.0 -3.42 0.0013396850399027445
0.0 -3.4 0.0017382228472158326
0.0 -3.38 0.0015626955906474001
0.0 -3.36 0.0017330649401987495
0.0 -3.34 0.0020068272819500355
0.0 -3.32 0.0016779037078420193
0.0 -3.3 0.0023563524596204436
0.0 -3.28 0.0019868693673694123
0.0 -3.26 0.0019293154005756788
0.0 -3.24 0.002468180742708925
0.0 -3.22 0.00226445223942869
0.0 -3.2 0.0027571862542631743
0.0 -3.18 0.0023734760063349974
0.0 -3.16 0.002237568481597379
0.0 -3.14 0.002821091264849744
0.0 -3.12 0.0029909195883580544
0.0 -3.1 0.002414573532782356
0.0 -3.08 0.002828150008249145
0.0 -3.06 0.002677978117919783
0.0 -3.04 0.0034834866371609512
0.0 -3.02 0.002714659183783422
0.0 -3.0 0.0031656871192388995
0.0 -2.98 0.004049883148428132
0.0 -2.96 0.00425572032653472
0.0 -2.94 0.003249943108194938
0.0 -2.92 0.0035973658725144426
0.0 -2.9 0.004199650036953893
0.0 -2.88 0.003809368855775055
0.0 -2.86 0.00376097250287981
0.0 -2.84 0.004224161739169977
0.0 -2.82 0.0036826044677665776
0.0 -2.8 0.004255763000284581
0.0 -2.78 0.0044296645996873
0.0 -2.76 0.0053242827417592665
0.0 -2.74 0.00519554638115803
0.0 -2.72 0.004121716237157022
0.0 -2.7 0.004386316690987834
0.0 -2.68 0.004861583030544234
0.0 -2.66 0.006092223046429759
0.0 -2.64 0.006360906972655334
0.0 -2.62 0.005355324597871583
0.0 -2.6 0.005453405512500804
0.0 -2.58 0.005752618990489299
0.0 -2.56 0.005947616258431591
0.0 -2.54 0.004982980695982365
0.0 -2.52 0.005184324846694537
0.0 -2.5 0.005692564867066732
0.0 -2.48 0.0061787353002342605
0.0 -2.46 0.007842818535894117
0.0 -2.44 0.008388243165731337
0.0 -2.42 0.0064281336029085884
0.0 -2.4 0.008720842638040922
0.0 -2.38 0.01009896339933183
0.0 -2.36 0.010430499790097721
0.0 -2.34 0.008323813221492449
0.0 -2.32 0.010496368969697245
0.0 -2.3 0.008905065880898152
0.0 -2.28 0.010480928417183665
0.0 -2.26 0.011198641445738754
0.0 -2.24 0.01248385452740306
0.0 -2.22 0.013294655761499479
0.0 -2.2 0.011657931903218842
0.0 -2.18 0.012334487176845649
0.0 -2.16 0.012508316370460633
0.0 -2.14 0.013149040782896292
0.0 -2.12 0.012758558210864916
0.0 -2.1 0.011502721419549968
0.0 -2.08 0.011760854227886995
0.0 -2.06 0.013979500882974213
0.0 -2.04 0.016007313014654218
0.0 -2.02 0.019875566852751613
0.0 -2.0 0.02342864312256497
0.0 -1.98 0.02544101193657874
0.0 -1.96 0.030358662850489243
0.0 -1.94 0.035203599482677234
0.0 -1.92 0.03789515140255213
0.0 -1.9 0.04287700764522563
0.0 -1.88 0.04501930907406013
0.0 -1.86 0.05008492889581582
0.0 -1.84 0.05206460665287214
0.0 -1.82 0.04783748495738906
