# generalized Kondo-Heisenberg model
# U/W=XXXXX n=1.5 L=48
# density-of-states DOS(omega)
# Jh/U, omega-Ef, DOS(omega)

 0 -3.91268 0.0334293
 0 -3.90267 0.0347553
 0 -3.89266 0.0370472
 0 -3.88265 0.0402376
 0 -3.87264 0.0441326
 0 -3.86263 0.0482851
 0 -3.85261 0.0518671
 0 -3.8426 0.0538503
 0 -3.83259 0.053633
 0 -3.82258 0.0515511
 0 -3.81257 0.0486377
 0 -3.80256 0.0459387
 0 -3.79255 0.0440955
 0 -3.78254 0.0433326
 0 -3.77253 0.0435884
 0 -3.76251 0.0446494
 0 -3.7525 0.0463089
 0 -3.74249 0.0484884
 0 -3.73248 0.051153
 0 -3.72247 0.0540839
 0 -3.71246 0.0568329
 0 -3.70245 0.0589703
 0 -3.69244 0.0602736
 0 -3.68242 0.0606277
 0 -3.67241 0.0599524
 0 -3.6624 0.0583055
 0 -3.65239 0.0559723
 0 -3.64238 0.0534399
 0 -3.63237 0.0512092
 0 -3.62236 0.0495819
 0 -3.61235 0.0486658
 0 -3.60234 0.0485405
 0 -3.59232 0.0493321
 0 -3.58231 0.0511529
 0 -3.5723 0.0540098
 0 -3.56229 0.0577146
 0 -3.55228 0.0618701
 0 -3.54227 0.0660467
 0 -3.53226 0.0699634
 0 -3.52225 0.0733584
 0 -3.51224 0.0758068
 0 -3.50222 0.0769062
 0 -3.49221 0.0765662
 0 -3.4822 0.0750679
 0 -3.47219 0.0729947
 0 -3.46218 0.0710549
 0 -3.45217 0.0698242
 0 -3.44216 0.0696208
 0 -3.43215 0.0705192
 0 -3.42214 0.0723003
 0 -3.41212 0.0744326
 0 -3.40211 0.0764144
 0 -3.3921 0.078312
 0 -3.38209 0.0807841
 0 -3.37208 0.0844538
 0 -3.36207 0.089251
 0 -3.35206 0.0941551
 0 -3.34205 0.0975056
 0 -3.33204 0.0979357
 0 -3.32202 0.0953762
 0 -3.31201 0.0911111
 0 -3.302 0.0868393
 0 -3.29199 0.0838313
 0 -3.28198 0.082712
 0 -3.27197 0.0835081
 0 -3.26196 0.0856842
 0 -3.25195 0.0895038
 0 -3.24194 0.0928618
 0 -3.23192 0.0956966
 0 -3.22191 0.100034
 0 -3.2119 0.106073
 0 -3.20189 0.113304
 0 -3.19188 0.12099
 0 -3.18187 0.128677
 0 -3.17186 0.135998
 0 -3.16185 0.142062
 0 -3.15184 0.145602
 0 -3.14182 0.14571
 0 -3.13181 0.142259
 0 -3.1218 0.136159
 0 -3.11179 0.129294
 0 -3.10178 0.12359
 0 -3.09177 0.119978
 0 -3.08176 0.118094
 0 -3.07175 0.116794
 0 -3.06174 0.115216
 0 -3.05172 0.113615
 0 -3.04171 0.113084
 0 -3.0317 0.114606
 0 -3.02169 0.118455
 0 -3.01168 0.124186
 0 -3.00167 0.131164
 0 -2.99166 0.139378
 0 -2.98165 0.149758
 0 -2.97164 0.163452
 0 -2.96162 0.180705
 0 -2.95161 0.20007
 0 -2.9416 0.218508
 0 -2.93159 0.232741
 0 -2.92158 0.240772
 0 -2.91157 0.241907
 0 -2.90156 0.236587
 0 -2.89155 0.227242
 0 -2.88154 0.217886
 0 -2.87152 0.211751
 0 -2.86151 0.209298
 0 -2.8515 0.207747
 0 -2.84149 0.202367
 0 -2.83148 0.189654
 0 -2.82147 0.170111
 0 -2.81146 0.14741
 0 -2.80145 0.125312
 0 -2.79143 0.105925
 0 -2.78142 0.0898345
 0 -2.77141 0.0768191
 0 -2.7614 0.0663823
 0 -2.75139 0.0580092
 0 -2.74138 0.0512565
 0 -2.73137 0.0457668
 0 -2.72136 0.0412582
 0 -2.71135 0.0375079
 0 -2.70133 0.0343385
 0 -2.69132 0.0316144
 0 -2.68131 0.029245
 0 -2.6713 0.0271774
 0 -2.66129 0.0253787
 0 -2.65128 0.0238216
 0 -2.64127 0.0224801
 0 -2.63126 0.0213301
 0 -2.62125 0.0203491
 0 -2.61123 0.0195159
 0 -2.60122 0.0188084
 0 -2.59121 0.0181998
 0 -2.5812 0.0176579
 0 -2.57119 0.0171555
 0 -2.56118 0.0166848
 0 -2.55117 0.0162535
 0 -2.54116 0.0158628
 0 -2.53115 0.015493
 0 -2.52113 0.0151137
 0 -2.51112 0.0147097
 0 -2.50111 0.0142946
 0 -2.4911 0.0138989
 0 -2.48109 0.0135497
 0 -2.47108 0.0132617
 0 -2.46107 0.0130402
 0 -2.45106 0.0128864
 0 -2.44105 0.0128003
 0 -2.43103 0.0127814
 0 -2.42102 0.0128276
 0 -2.41101 0.0129335
 0 -2.401 0.0130891
 0 -2.39099 0.0132792
 0 -2.38098 0.0134832
 0 -2.37097 0.0136726
 0 -2.36096 0.0138121
 0 -2.35095 0.0138781
 0 -2.34093 0.0138856
 0 -2.33092 0.013884
 0 -2.32091 0.0139206
 0 -2.3109 0.0140153
 0 -2.30089 0.0141628
 0 -2.29088 0.0143496
 0 -2.28087 0.014576
 0 -2.27086 0.0148595
 0 -2.26085 0.0152061
 0 -2.25083 0.0155735
 0 -2.24082 0.0158716
 0 -2.23081 0.0160205
 0 -2.2208 0.0160232
 0 -2.21079 0.0159637
 0 -2.20078 0.015929
 0 -2.19077 0.015949
 0 -2.18076 0.016001
 0 -2.17075 0.0160569
 0 -2.16073 0.0161224
 0 -2.15072 0.0162369
 0 -2.14071 0.0164384
 0 -2.1307 0.0167324
 0 -2.12069 0.0170899
 0 -2.11068 0.0174753
 0 -2.10067 0.0178756
 0 -2.09066 0.0183097
 0 -2.08065 0.0188201
 0 -2.07063 0.0194475
 0 -2.06062 0.020203
 0 -2.05061 0.0210601
 0 -2.0406 0.0219748
 0 -2.03059 0.0229115
 0 -2.02058 0.0238272
 0 -2.01057 0.0246264
 0 -2.00056 0.0251866
 0 -1.99055 0.0254715
 0 -1.98053 0.0255738
 0 -1.97052 0.0256273
 0 -1.96051 0.0257253
 0 -1.9505 0.0259045
 0 -1.94049 0.0261609
 0 -1.93048 0.0264785
 0 -1.92047 0.0268311
 0 -1.91046 0.0271622
 0 -1.90044 0.0274044
 0 -1.89043 0.0275156
 0 -1.88042 0.0274895
 0 -1.87041 0.0273775
 0 -1.8604 0.0272984
 0 -1.85039 0.0273813
 0 -1.84038 0.0277037
 0 -1.83037 0.0282943
 0 -1.82036 0.0291685
 0 -1.81034 0.0303348
 0 -1.80033 0.0317654
 0 -1.79032 0.0333618
 0 -1.78031 0.0349649
 0 -1.7703 0.0364485
 0 -1.76029 0.0378304
 0 -1.75028 0.0392576
 0 -1.74027 0.0409023
 0 -1.73026 0.0429042
 0 -1.72024 0.0453433
 0 -1.71023 0.0481675
 0 -1.70022 0.0510909
 0 -1.69021 0.0536055
 0 -1.6802 0.0552611
 0 -1.67019 0.05602
 0 -1.66018 0.0562504
 0 -1.65017 0.0564079
 0 -1.64016 0.0568005
 0 -1.63014 0.05754
 0 -1.62013 0.0586159
 0 -1.61012 0.0600495
 0 -1.60011 0.0619735
 0 -1.5901 0.064515
 0 -1.58009 0.0675914
 0 -1.57008 0.0708064
 0 -1.56007 0.0736007
 0 -1.55006 0.0756706
 0 -1.54004 0.0772682
 0 -1.53003 0.0789961
 0 -1.52002 0.0813752
 0 -1.51001 0.0846767
 0 -1.5 0.089054
 0 -1.48999 0.0947111
 0 -1.47998 0.101933
 0 -1.46997 0.111017
 0 -1.45996 0.122154
 0 -1.44994 0.135208
 0 -1.43993 0.149508
 0 -1.42992 0.163929
 0 -1.41991 0.177617
 0 -1.4099 0.191011
 0 -1.39989 0.206067
 0 -1.38988 0.225416
 0 -1.37987 0.251511
 0 -1.36986 0.286293
 0 -1.35984 0.330895
 0 -1.34983 0.384643
 0 -1.33982 0.443074
 0 -1.32981 0.496106
 0 -1.3198 0.530015
 0 -1.30979 0.53584
 0 -1.29978 0.517332
 0 -1.28977 0.488014
 0 -1.27976 0.461474
 0 -1.26974 0.445785
 0 -1.25973 0.443307
 0 -1.24972 0.451565
 0 -1.23971 0.463544
 0 -1.2297 0.469438
 0 -1.21969 0.462087
 0 -1.20968 0.442496
 0 -1.19967 0.418577
 0 -1.18966 0.398967
 0 -1.17964 0.389124
 0 -1.16963 0.391318
 0 -1.15962 0.406108
 0 -1.14961 0.433613
 0 -1.1396 0.473642
 0 -1.12959 0.523975
 0 -1.11958 0.57734
 0 -1.10957 0.61997
 0 -1.09956 0.636183
 0 -1.08954 0.618882
 0 -1.07953 0.575626
 0 -1.06952 0.522466
 0 -1.05951 0.473648
 0 -1.0495 0.437216
 0 -1.03949 0.41615
 0 -1.02948 0.410603
 0 -1.01947 0.4189
 0 -1.00945 0.436958
 0 -0.999444 0.456969
 0 -0.989433 0.467903
 0 -0.979422 0.4606
 0 -0.96941 0.434508
 0 -0.959399 0.39775
 0 -0.949388 0.360378
 0 -0.939377 0.32913
 0 -0.929366 0.306942
 0 -0.919355 0.294562
 0 -0.909344 0.292003
 0 -0.899333 0.299299
 0 -0.889321 0.316705
 0 -0.87931 0.344415
 0 -0.869299 0.381677
 0 -0.859288 0.425189
 0 -0.849277 0.467521
 0 -0.839266 0.498224
 0 -0.829255 0.509771
 0 -0.819244 0.503547
 0 -0.809232 0.487668
 0 -0.799221 0.468962
 0 -0.78921 0.448345
 0 -0.779199 0.423068
 0 -0.769188 0.392321
 0 -0.759177 0.359643
 0 -0.749166 0.3303
 0 -0.739155 0.308208
 0 -0.729143 0.295267
 0 -0.719132 0.29211
 0 -0.709121 0.298804
 0 -0.69911 0.314912
 0 -0.689099 0.338767
 0 -0.679088 0.366044
 0 -0.669077 0.38879
 0 -0.659066 0.397552
 0 -0.649055 0.387459
 0 -0.639043 0.362325
 0 -0.629032 0.331218
 0 -0.619021 0.302182
 0 -0.60901 0.279624
 0 -0.598999 0.265105
 0 -0.588988 0.25888
 0 -0.578977 0.260926
 0 -0.568966 0.271453
 0 -0.558954 0.291061
 0 -0.548943 0.320652
 0 -0.538932 0.36097
 0 -0.528921 0.411476
 0 -0.51891 0.468264
 0 -0.508899 0.521817
 0 -0.498888 0.557926
 0 -0.488877 0.56537
 0 -0.478865 0.545237
 0 -0.468854 0.509928
 0 -0.458843 0.472738
 0 -0.448832 0.440168
 0 -0.438821 0.411596
 0 -0.42881 0.383574
 0 -0.418799 0.354749
 0 -0.408788 0.327333
 0 -0.398776 0.304822
 0 -0.388765 0.289751
 0 -0.378754 0.283347
 0 -0.368743 0.286109
 0 -0.358732 0.298262
 0 -0.348721 0.319643
 0 -0.33871 0.348871
 0 -0.328699 0.381796
 0 -0.318687 0.410284
 0 -0.308676 0.424115
 0 -0.298665 0.417368
 0 -0.288654 0.393492
 0 -0.278643 0.362259
 0 -0.268632 0.332835
 0 -0.258621 0.310496
 0 -0.24861 0.297303
 0 -0.238598 0.293801
 0 -0.228587 0.30022
 0 -0.218576 0.317083
 0 -0.208565 0.345417
 0 -0.198554 0.386663
 0 -0.188543 0.442118
 0 -0.178532 0.511491
 0 -0.168521 0.590046
 0 -0.158509 0.664998
 0 -0.148498 0.715303
 0 -0.138487 0.721149
 0 -0.128476 0.679149
 0 -0.118465 0.605329
 0 -0.108454 0.521703
 0 -0.0984427 0.443716
 0 -0.0884316 0.377969
 0 -0.0784205 0.325419
 0 -0.0684093 0.284613
 0 -0.0583982 0.253507
 0 -0.0483871 0.23021
 0 -0.038376 0.213214
 0 -0.0283648 0.2014
 0 -0.0183537 0.193991
 0 -0.0083426 0.1905
 0  0.00166852 0.190685
 0  0.0116796 0.194529
 0  0.0216908 0.202235
 0  0.0317019 0.214245
 0  0.041713 0.231277
 0  0.0517241 0.254381
 0  0.0617353 0.284995
 0  0.0717464 0.324973
 0  0.0817575 0.376478
 0  0.0917686 0.441491
 0  0.10178 0.520491
 0  0.111791 0.609744
 0  0.121802 0.697683
 0  0.131813 0.764202
 0  0.141824 0.789366
 0  0.151835 0.768911
 0  0.161846 0.718872
 0  0.171858 0.6629
 0  0.181869 0.61882
 0  0.19188 0.595168
 0  0.201891 0.593172
 0  0.211902 0.608056
 0  0.221913 0.628463
 0  0.231924 0.637415
 0  0.241935 0.619696
 0  0.251947 0.572525
 0  0.261958 0.506886
 0  0.271969 0.43763
 0  0.28198 0.374868
 0  0.291991 0.322666
 0  0.302002 0.28135
 0  0.312013 0.249742
 0  0.322024 0.226383
 0  0.332036 0.210042
 0  0.342047 0.199869
 0  0.352058 0.195417
 0  0.362069 0.196617
 0  0.37208 0.203707
 0  0.382091 0.21708
 0  0.392102 0.236888
 0  0.402113 0.262184
 0  0.412125 0.289541
 0  0.422136 0.311965
 0  0.432147 0.320537
 0  0.442158 0.309989
 0  0.452169 0.283179
 0  0.46218 0.248465
 0  0.472191 0.213624
 0  0.482202 0.182923
 0  0.492214 0.157662
 0  0.502225 0.137611
 0  0.512236 0.122001
 0  0.522247 0.10998
 0  0.532258 0.100737
 0  0.542269 0.0935146
 0  0.55228 0.0876554
 0  0.562291 0.0827526
 0  0.572303 0.078745
 0  0.582314 0.0758033
 0  0.592325 0.07414
 0  0.602336 0.0739172
 0  0.612347 0.0752261
 0  0.622358 0.0780292
 0  0.632369 0.0819892
 0  0.64238 0.086211
 0  0.652392 0.0891709
 0  0.662403 0.0893184
 0  0.672414 0.0862138
 0  0.682425 0.0809281
 0  0.692436 0.0751496
 0  0.702447 0.0701807
 0  0.712458 0.0666865
 0  0.722469 0.0649115
 0  0.732481 0.0649275
 0  0.742492 0.0667588
 0  0.752503 0.0703882
 0  0.762514 0.0756677
 0  0.772525 0.0821572
 0  0.782536 0.0888969
 0  0.792547 0.0942094
 0  0.802558 0.0960182
 0  0.81257 0.0931131
 0  0.822581 0.0862604
 0  0.832592 0.0776041
 0  0.842603 0.0691528
 0  0.852614 0.0620221
 0  0.862625 0.0565465
 0  0.872636 0.0526073
 0  0.882647 0.0498416
 0  0.892659 0.0477645
 0  0.90267 0.0459515
 0  0.912681 0.0442618
 0  0.922692 0.0428684
 0  0.932703 0.0420362
 0  0.942714 0.0418931
 0  0.952725 0.0423348
 0  0.962736 0.0430521
 0  0.972747 0.043663
 0  0.982759 0.0438372
 0  0.99277 0.043272
 0  1.00278 0.0417092
 0  1.01279 0.0391793
 0  1.0228 0.0361129
 0  1.03281 0.0330721
 0  1.04283 0.0304547
 0  1.05284 0.0284355
 0  1.06285 0.0270507
 0  1.07286 0.0262828
 0  1.08287 0.026102
 0  1.09288 0.026468
 0  1.10289 0.0273005
 0  1.1129 0.0284351
 0  1.12291 0.0295948
 0  1.13293 0.0304035
 0  1.14294 0.0304653
 0  1.15295 0.0295594
 0  1.16296 0.0278356
 0  1.17297 0.025736
 0  1.18298 0.0237057
 0  1.19299 0.02201
 0  1.203 0.0207348
 0  1.21301 0.0198501
 0  1.22303 0.0192584
 0  1.23304 0.0188364
 0  1.24305 0.0184977
 0  1.25306 0.0182466
 0  1.26307 0.0181561
 0  1.27308 0.0182909
 0  1.28309 0.0186471
 0  1.2931 0.0191341
 0  1.30311 0.0196026
 0  1.31313 0.0199099
 0  1.32314 0.0199808
 0  1.33315 0.0198001
 0  1.34316 0.0193493
 0  1.35317 0.0186147
 0  1.36318 0.0176766
 0  1.37319 0.0167149
 0  1.3832 0.0159093
 0  1.39321 0.0153638
 0  1.40323 0.0151002
 0  1.41324 0.0150715
 0  1.42325 0.0151755
 0  1.43326 0.0152887
 0  1.44327 0.0153325
 0  1.45328 0.0153139
 0  1.46329 0.0152835
 0  1.4733 0.0152482
 0  1.48331 0.0151275
 0  1.49333 0.0148086
 0  1.50334 0.0142503
 0  1.51335 0.0135162
 0  1.52336 0.0127127
 0  1.53337 0.0119355
 0  1.54338 0.0112583
 0  1.55339 0.0107298
 0  1.5634 0.0103737
 0  1.57341 0.0101985
 0  1.58343 0.0102083
 0  1.59344 0.0104095
 0  1.60345 0.0108084
 0  1.61346 0.0113994
 0  1.62347 0.0121388
 0  1.63348 0.0129105
 0  1.64349 0.0135142
 0  1.6535 0.0137341
 0  1.66352 0.0134836
 0  1.67353 0.0128788
 0  1.68354 0.0121378
 0  1.69355 0.0114303
 0  1.70356 0.0108226
 0  1.71357 0.0103174
 0  1.72358 0.00991445
 0  1.73359 0.0096321
 0  1.7436 0.00948479
 0  1.75362 0.00945692
 0  1.76363 0.0094965
 0  1.77364 0.00953298
 0  1.78365 0.00950587
 0  1.79366 0.00937983
 0  1.80367 0.00915316
 0  1.81368 0.00887045
 0  1.82369 0.00860924
 0  1.8337 0.00843852
 0  1.84372 0.00838747
 0  1.85373 0.00843522
 0  1.86374 0.00851343
 0  1.87375 0.00853331
 0  1.88376 0.00844465
 0  1.89377 0.00827626
 0  1.90378 0.00810341
 0  1.91379 0.00798156
 0  1.9238 0.00791316
 0  1.93382 0.00785884
 0  1.94383 0.00776955
 0  1.95384 0.0076123
 0  1.96385 0.00738475
 0  1.97386 0.00712044
 0  1.98387 0.00686877
 0  1.99388 0.00665901
 0  2.00389 0.00648148
 0  2.0139 0.0063008
 0  2.02392 0.00609227
 0  2.03393 0.00586822
 0  2.04394 0.00566668
 0  2.05395 0.00552323
 0  2.06396 0.00545674
 0  2.07397 0.00546882
 0  2.08398 0.00554505
 0  2.09399 0.00565389
 0  2.104 0.00574641
 0  2.11402 0.00576423
 0  2.12403 0.00566577
 0  2.13404 0.00545738
 0  2.14405 0.00518759
 0  2.15406 0.00490612
 0  2.16407 0.00463648
 0  2.17408 0.00438169
 0  2.18409 0.00414274
 0  2.1941 0.00392602
 0  2.20412 0.00373824
 0  2.21413 0.00358171
 0  2.22414 0.00345469
 0  2.23415 0.00335383
 0  2.24416 0.00327581
 0  2.25417 0.0032179
 0  2.26418 0.00317779
 0  2.27419 0.00315286
 0  2.2842 0.00313849
 0  2.29422 0.00312582
 0  2.30423 0.00310148
 0  2.31424 0.00305335
 0  2.32425 0.00297954
 0  2.33426 0.00288964
 0  2.34427 0.00279662
 0  2.35428 0.00270958
 0  2.36429 0.00263234
 0  2.3743 0.00256536
 0  2.38432 0.00250771
 0  2.39433 0.00245808
 0  2.40434 0.00241511
 0  2.41435 0.00237729
 0  2.42436 0.00234302
 0  2.43437 0.00231081
 0  2.44438 0.00227986
 0  2.45439 0.00225034
 0  2.4644 0.0022229
 0  2.47442 0.00219803
 0  2.48443 0.0021757
 0  2.49444 0.00215534
 0  2.50445 0.00213604
 0  2.51446 0.00211684
 0  2.52447 0.00209698
 0  2.53448 0.0020758
 0  2.54449 0.00205301
 0  2.55451 0.00202909
 0  2.56452 0.00200507
 0  2.57453 0.0019818
 0  2.58454 0.00195974
 0  2.59455 0.00193893
 0  2.60456 0.00191926
 0  2.61457 0.00190056
 0  2.62458 0.00188268
 0  2.63459 0.00186544
 0  2.64461 0.00184862
 0  2.65462 0.001832
 0  2.66463 0.00181544
 0  2.67464 0.00179887
 0  2.68465 0.00178219
 0  2.69466 0.00176539
 0  2.70467 0.00174869
 0  2.71468 0.00173248
 0  2.72469 0.00171708
 0  2.73471 0.00170262
 0  2.74472 0.00168909
 0  2.75473 0.00167628
 0  2.76474 0.00166384
 0  2.77475 0.00165126
