# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

-4.70675 1.782319647343075589e-02
-4.68675 2.040913130164032432e-02
-4.66675 2.081478003050095046e-02
-4.64675 2.086390408708607008e-02
-4.62675 2.190139842106417212e-02
-4.60675 2.275374779282997653e-02
-4.58675 2.035300129892468265e-02
-4.56675 2.193082552163590215e-02
-4.54675 2.183397392775269716e-02
-4.52675 2.431454586598362499e-02
-4.50675 2.795146911955532013e-02
-4.48675 3.059852369880405529e-02
-4.46675 2.911936570465110605e-02
-4.44675 2.767256994246009363e-02
-4.42675 3.354515377114333785e-02
-4.40675 3.117397445970450376e-02
-4.38675 3.135909766207552879e-02
-4.36675 2.980098602369917263e-02
-4.34675 3.433674625521083296e-02
-4.32675 3.344287843996628096e-02
-4.30675 3.182005486224479679e-02
-4.28675 3.174059294216186738e-02
-4.26675 3.274661144272347779e-02
-4.24675 3.145389915573080369e-02
-4.22675 3.139267112530792769e-02
-4.20675 3.094490255397405049e-02
-4.18675 3.510442109790271048e-02
-4.16675 3.403547281406499314e-02
-4.14675 3.223867116183160020e-02
-4.12675 3.050773132486262612e-02
-4.10675 3.397490765953295466e-02
-4.08675 3.325792952577382583e-02
-4.06675 2.991477568161820394e-02
-4.04675 2.742698753604846593e-02
-4.02675 3.016077946777392244e-02
-4.00675 2.803052445584828037e-02
-3.98675 2.953211237088786828e-02
-3.96675 2.697557583378884169e-02
-3.94675 2.335113412327620430e-02
-3.92675 2.259282523240154286e-02
-3.90675 1.636306697700428206e-02
-3.88675 1.429856388397449628e-02
-3.86675 1.104986434837513382e-02
-3.84675 9.477072389837082333e-03
-3.82675 8.420895758932683481e-03
-3.80675 8.920194948679696645e-03
-3.78675 8.255504400379996832e-03
-3.76675 8.456447388271084303e-03
-3.74675 8.228335141352622131e-03
-3.72675 8.821389121151693505e-03
-3.70675 9.760472963037320968e-03
-3.68675 9.492781296860174078e-03
-3.66675 8.905015034456412182e-03
-3.64675 7.623149072798429682e-03
-3.62675 6.732934330223472146e-03
-3.60675 6.445499377618325865e-03
-3.58675 5.856139009059039766e-03
-3.56675 5.340133397582303397e-03
-3.54675 4.662531705902037485e-03
-3.52675 4.229500519102392768e-03
-3.50675 4.073699416383328928e-03
-3.48675 3.829755992340696386e-03
-3.46675 3.665126230403051126e-03
-3.44675 3.501650763419856659e-03
-3.42675 3.427671678714480641e-03
-3.40675 3.406443582370253468e-03
-3.38675 3.331158602240286582e-03
-3.36675 3.349140907504395432e-03
-3.34675 3.538517661268933412e-03
-3.32675 3.679846253511882999e-03
-3.30675 3.801077840089651418e-03
-3.28675 3.803903347502676779e-03
-3.26675 3.738872808963426917e-03
-3.24675 3.824836881295560695e-03
-3.22675 4.208761464094377611e-03
-3.20675 4.585640841672432473e-03
-3.18675 4.526937910005562199e-03
-3.16675 4.659640065978544292e-03
-3.14675 4.753213205687389920e-03
-3.12675 5.050992516179133099e-03
-3.10675 5.570540054863206553e-03
-3.08675 5.556915571556143504e-03
-3.06675 5.826746682343670984e-03
-3.04675 5.835632639258105971e-03
-3.02675 5.739698271899539884e-03
-3.00675 6.320721391622066004e-03
-2.98675 6.427080113123763774e-03
-2.96675 6.887447248385711839e-03
-2.94675 6.852868070488552302e-03
-2.92675 7.191971881775196390e-03
