# dynamical spin structure factor of effective S=1/2 Heisenberg model
# L=100, n=1.40
# k, omega, S(q,omega)

0.0000000000000000 0.0000000000000000 -1.9602960268580438E-007
0.0000000000000000 3.0000000000000001E-003 -1.6382473941138620E-006
0.0000000000000000 6.0000000000000001E-003 2.6828051341593745E-005
0.0000000000000000 9.0000000000000011E-003 -6.9842547020922130E-005
0.0000000000000000 1.2000000000000000E-002 -8.9865570725853250E-005
0.0000000000000000 1.4999999999999999E-002 2.7038083058818349E-005
0.0000000000000000 1.8000000000000002E-002 -1.1858390752213796E-004
0.0000000000000000 2.1000000000000001E-002 -9.1993892126604644E-006
0.0000000000000000 2.4000000000000000E-002 1.2331662221603786E-004
0.0000000000000000 2.7000000000000000E-002 -2.7584165523518271E-005
0.0000000000000000 2.9999999999999999E-002 -1.5622159124154488E-004
0.0000000000000000 3.3000000000000002E-002 2.0163044849915573E-006
0.0000000000000000 3.6000000000000004E-002 1.9587557944591473E-004
0.0000000000000000 3.9000000000000000E-002 -2.4488298012220939E-004
0.0000000000000000 4.2000000000000003E-002 1.4395573895799232E-004
0.0000000000000000 4.4999999999999998E-002 1.7127386430642200E-004
0.0000000000000000 4.8000000000000001E-002 2.4712331843883360E-004
0.0000000000000000 5.1000000000000004E-002 -1.9405530456365408E-004
0.0000000000000000 5.3999999999999999E-002 -5.0299795842702159E-004
0.0000000000000000 5.7000000000000002E-002 3.3442650221503743E-004
0.0000000000000000 5.9999999999999998E-002 -8.3480606523448752E-004
0.0000000000000000 6.3000000000000000E-002 1.7698672701381207E-004
0.0000000000000000 6.6000000000000003E-002 6.6895101923142915E-004
0.0000000000000000 6.9000000000000006E-002 -1.4410976221726577E-004
0.0000000000000000 7.2000000000000008E-002 -1.3236618880377825E-003
0.0000000000000000 7.4999999999999997E-002 -5.3507680269827699E-004
0.0000000000000000 7.8000000000000000E-002 -5.6366912046427933E-004
0.0000000000000000 8.1000000000000003E-002 -1.5264965183797285E-003
0.0000000000000000 8.4000000000000005E-002 -4.8336699392754513E-004
0.0000000000000000 8.7000000000000008E-002 2.1846659094623701E-003
0.0000000000000000 8.9999999999999997E-002 7.4799295546515172E-005
0.0000000000000000 9.2999999999999999E-002 -6.6463836797191721E-004
0.0000000000000000 9.6000000000000002E-002 2.9375035965371193E-004
0.0000000000000000 9.9000000000000005E-002 -1.2307578584700011E-003
