# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=5 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0.01 0.216 0.0113237
0.01 0.222 0.00627481
0.01 0.228 0.00726616
0.01 0.234 0.0383354
0.01 0.24 0.0119687
0.01 0.246 0.0184203
0.01 0.252 0.0247938
0.01 0.258 0.00126981
0.01 0.264 0.015045
0.01 0.27 0.000978408
0.01 0.276 0.0020975
0.01 0.282 0.0153282
0.01 0.288 0.014702
0.01 0.294 0.00573059
0.01 0.3 0.0100447
0.01 0.306 0.00301573
0.01 0.312 0.0157955
0.01 0.318 0.0136758
0.01 0.324 0.0205513
0.01 0.33 0.00591732
0.01 0.336 0.00882792
0.01 0.342 0.0254018
0.01 0.348 0.00591821
0.01 0.354 0.0106189
0.01 0.36 0.0157834
0.01 0.366 0.00133008
0.01 0.372 0.00754156
0.01 0.378 0.0149166
0.01 0.384 0.0240296
0.01 0.39 0.0270016
0.01 0.396 0.0311948
0.01 0.402 0.0304055
0.01 0.408 0.00450762
0.01 0.414 0.000192998
0.01 0.42 0.0233084
0.01 0.426 0.0142017
0.01 0.432 0.0312489
0.01 0.438 0.0140197
0.01 0.444 0.00693201
0.01 0.45 0.0108255
0.01 0.456 0.0085671
0.01 0.462 0.000857158
0.01 0.468 0.0183274
0.01 0.474 0.0175372
0.01 0.48 0.0215519
0.01 0.486 0.0752416
0.01 0.492 0.00129381
0.01 0.498 0.00613711
0.01 0.504 0.0102639
0.01 0.51 0.0220274
0.01 0.516 0.00830838
0.01 0.522 0.00821157
0.01 0.528 0.000211265
0.01 0.534 0.001711
0.01 0.54 0.00176705
0.01 0.546 0.0050398
0.01 0.552 0.00136286
0.01 0.558 0.0069028
0.01 0.564 0.0059527
0.01 0.57 0.000793162
0.01 0.576 0.00514179
0.01 0.582 0.000882294
0.01 0.588 0.00144845
0.01 0.594 0.00296498
0.01 0.6 6.04946e-05
0.015 0 0.0598918
0.015 0.006 0.0553382
0.015 0.012 0.0286675
0.015 0.018 0.0223462
0.015 0.024 0.0337801
0.015 0.03 0.0177904
0.015 0.036 0.00620945
0.015 0.042 0.0134792
0.015 0.048 0.0251978
0.015 0.054 0.0150048
0.015 0.06 0.00632247
0.015 0.066 0.0145883
0.015 0.072 0.00586077
0.015 0.078 0.011727
0.015 0.084 0.0137757
0.015 0.09 0.00181312
0.015 0.096 0.011026
0.015 0.102 0.0227871
0.015 0.108 0.00388875
0.015 0.114 0.0115558
0.015 0.12 0.00354552
0.015 0.126 0.025559
0.015 0.132 0.0162723
0.015 0.138 0.0357178
0.015 0.144 0.0178397
0.015 0.15 0.0170966
0.015 0.156 0.00269255
0.015 0.162 0.0312565
0.015 0.168 0.0152568
0.015 0.174 0.00377507
0.015 0.18 0.00882125
0.015 0.186 0.0241419
0.015 0.192 0.00264718
0.015 0.198 0.00186267
0.015 0.204 0.0134892
0.015 0.21 0.0150104
0.015 0.216 0.0172917
0.015 0.222 0.000180363
0.015 0.228 0.00582645
0.015 0.234 0.0355753
0.015 0.24 0.00714594
0.015 0.246 0.0114852
0.015 0.252 0.0220635
0.015 0.258 0.00626234
0.015 0.264 0.0101174
0.015 0.27 0.00280169
0.015 0.276 0.00566853
0.015 0.282 0.009486
0.015 0.288 0.0119947
0.015 0.294 0.00447085
0.015 0.3 0.00401176
0.015 0.306 4.68877e-06
0.015 0.312 0.0204134
0.015 0.318 0.00899932
0.015 0.324 0.0110696
0.015 0.33 0.00732603
0.015 0.336 0.00863093
0.015 0.342 0.0263999
0.015 0.348 0.00172806
0.015 0.354 0.0160288
0.015 0.36 0.0139202
0.015 0.366 0.00233536
0.015 0.372 0.00873095
0.015 0.378 0.013296
0.015 0.384 0.0241418
0.015 0.39 0.0282838
0.015 0.396 0.0353048
0.015 0.402 0.0265266
0.015 0.408 0.00331619
0.015 0.414 0.000754513
0.015 0.42 0.0281069
0.015 0.426 0.0170617
0.015 0.432 0.0278784
0.015 0.438 0.0148132
0.015 0.444 0.0062688
0.015 0.45 0.0115791
0.015 0.456 0.00550658
0.015 0.462 0.00614085
0.015 0.468 0.0177476
0.015 0.474 0.0210573
0.015 0.48 0.0195243
0.015 0.486 0.0751382
0.015 0.492 0.00293012
0.015 0.498 0.00433551
0.015 0.504 0.00884729
0.015 0.51 0.0263353
0.015 0.516 0.009378
0.015 0.522 0.0103255
0.015 0.528 0.00048186
0.015 0.534 0.000829655
0.015 0.54 0.000267935
0.015 0.546 0.00932249
0.015 0.552 0.000714198
0.015 0.558 0.00296336
0.015 0.564 0.00684881
0.015 0.57 0.0020279
0.015 0.576 0.00318683
0.015 0.582 0.00108866
0.015 0.588 0.00186591
0.015 0.594 0.00290166
0.015 0.6 0.00149617
0.02 0 0.0951904
0.02 0.006 0.0873438
0.02 0.012 0.0507997
0.02 0.018 0.0366739
0.02 0.024 0.0354342
0.02 0.03 0.0192406
0.02 0.036 0.0103517
0.02 0.042 0.00854182
0.02 0.048 0.0305956
0.02 0.054 0.00741729
0.02 0.06 0.00423328
0.02 0.066 0.00447249
0.02 0.072 0.00860612
0.02 0.078 0.00714784
0.02 0.084 0.0108991
0.02 0.09 0.00272889
0.02 0.096 0.00784986
0.02 0.102 0.0211917
0.02 0.108 0.000703078
0.02 0.114 0.0140089
0.02 0.12 0.00422354
0.02 0.126 0.0243012
0.02 0.132 0.017567
0.02 0.138 0.0309203
0.02 0.144 0.0184445
0.02 0.15 0.00899835
0.02 0.156 0.00153713
0.02 0.162 0.0273016
0.02 0.168 0.0142909
0.02 0.174 0.000210382
0.02 0.18 0.00626898
0.02 0.186 0.0202332
0.02 0.192 0.0018157
0.02 0.198 0.00210281
0.02 0.204 0.0144164
0.02 0.21 0.0114886
0.02 0.216 0.0222321
0.02 0.222 0.00616155
0.02 0.228 0.0012069
0.02 0.234 0.0284362
0.02 0.24 0.00341054
0.02 0.246 0.00175148
0.02 0.252 0.0210828
0.02 0.258 0.0114699
0.02 0.264 0.00699795
0.02 0.27 0.00501246
0.02 0.276 0.00692851
0.02 0.282 0.00697922
0.02 0.288 0.0132456
0.02 0.294 0.00627004
0.02 0.3 0.0010438
0.02 0.306 0.00131344
0.02 0.312 0.0239105
0.02 0.318 0.00552477
0.02 0.324 0.00574407
0.02 0.33 0.00454457
0.02 0.336 0.00710073
0.02 0.342 0.0263371
0.02 0.348 0.000252246
0.02 0.354 0.018579
0.02 0.36 0.0136452
0.02 0.366 0.00157756
0.02 0.372 0.00866665
0.02 0.378 0.0112085
0.02 0.384 0.0273596
0.02 0.39 0.0267569
