# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=20 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0.01 0.216 0.0074981
0.01 0.222 0.00309857
0.01 0.228 0.0230915
0.01 0.234 0.0261746
0.01 0.24 0.00582517
0.01 0.246 0.0138946
0.01 0.252 0.0391736
0.01 0.258 0.0171045
0.01 0.264 0.020663
0.01 0.27 0.0158238
0.01 0.276 0.00372602
0.01 0.282 0.0158611
0.01 0.288 0.0122901
0.01 0.294 0.0296862
0.01 0.3 0.0215948
0.01 0.306 0.0131148
0.01 0.312 0.0247431
0.01 0.318 0.0119459
0.01 0.324 0.0344272
0.01 0.33 0.0154975
0.01 0.336 0.01168
0.01 0.342 0.00960029
0.01 0.348 0.00284116
0.01 0.354 0.0234273
0.01 0.36 0.000518383
0.01 0.366 0.0338904
0.01 0.372 0.00638633
0.01 0.378 0.0522351
0.01 0.384 0.00137096
0.01 0.39 0.0079892
0.01 0.396 0.0388523
0.01 0.402 0.00708627
0.01 0.408 0.0217187
0.01 0.414 0.0185272
0.01 0.42 0.0216674
0.01 0.426 0.00797272
0.01 0.432 0.0143104
0.01 0.438 0.0163755
0.01 0.444 0.0245962
0.01 0.45 0.0589994
0.01 0.456 0.00849768
0.01 0.462 0.0025813
0.01 0.468 0.00690549
0.01 0.474 0.0462708
0.01 0.48 0.0351504
0.01 0.486 0.000651111
0.01 0.492 0.0131522
0.01 0.498 0.0200296
0.01 0.504 0.00770504
0.01 0.51 0.0140815
0.01 0.516 0.0416581
0.01 0.522 0.0427764
0.01 0.528 0.0342725
0.01 0.534 0.0480907
0.01 0.54 0.0440339
0.01 0.546 0.0421992
0.01 0.552 0.0710741
0.01 0.558 0.0520458
0.01 0.564 0.0487567
0.01 0.57 0.00539253
0.01 0.576 0.0468353
0.01 0.582 0.0504508
0.01 0.588 0.00254723
0.01 0.594 0.00973664
0.01 0.6 0.00341873
0.015 0 0.0831739
0.015 0.006 0.0747158
0.015 0.012 0.0442487
0.015 0.018 0.0306484
0.015 0.024 0.018001
0.015 0.03 0.000220208
0.015 0.036 0.0186615
0.015 0.042 0.0209158
0.015 0.048 0.0144866
0.015 0.054 0.0264876
0.015 0.06 0.0228952
0.015 0.066 0.0066163
0.015 0.072 0.00460688
0.015 0.078 0.0327463
0.015 0.084 0.0432348
0.015 0.09 0.0573585
0.015 0.096 0.0326194
0.015 0.102 0.0395804
0.015 0.108 0.0357896
0.015 0.114 0.0747168
0.015 0.12 0.00261602
0.015 0.126 0.0366293
0.015 0.132 0.040875
0.015 0.138 0.0379109
0.015 0.144 0.0172859
0.015 0.15 0.0139567
0.015 0.156 0.0321878
0.015 0.162 0.042744
0.015 0.168 0.0241746
0.015 0.174 0.0183734
0.015 0.18 0.0208575
0.015 0.186 0.0333781
0.015 0.192 0.0214307
0.015 0.198 0.0166913
0.015 0.204 0.0353563
0.015 0.21 0.00198815
0.015 0.216 0.013229
0.015 0.222 0.00451549
0.015 0.228 0.0251752
0.015 0.234 0.0306986
0.015 0.24 0.00339114
0.015 0.246 0.0080412
0.015 0.252 0.0433448
0.015 0.258 0.0158499
0.015 0.264 0.0187832
0.015 0.27 0.0151226
0.015 0.276 0.0107962
0.015 0.282 0.012879
0.015 0.288 0.0159259
0.015 0.294 0.0302347
0.015 0.3 0.0251433
0.015 0.306 0.00811654
0.015 0.312 0.0127063
0.015 0.318 0.00057013
0.015 0.324 0.0421465
0.015 0.33 0.0134324
0.015 0.336 0.0154525
0.015 0.342 0.00959562
0.015 0.348 0.0106938
0.015 0.354 0.0219382
0.015 0.36 0.00348448
0.015 0.366 0.031785
0.015 0.372 0.00423612
0.015 0.378 0.0469085
0.015 0.384 0.00177087
0.015 0.39 0.0100073
