# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, S(k,omega)

0.01 0.216 0.00341524
0.01 0.222 0.0067526
0.01 0.228 0.00253552
0.01 0.234 0.00264374
0.01 0.24 0.00242614
0.01 0.246 0.0038645
0.01 0.252 0.00119194
0.01 0.258 0.00204533
0.01 0.264 0.000508304
0.01 0.27 0.00331341
0.01 0.276 0.0144423
0.01 0.282 0.00029545
0.01 0.288 0.00598722
0.01 0.294 0.0023795
0.01 0.3 0.0134967
0.01 0.306 0.0143769
0.01 0.312 0.0154655
0.01 0.318 0.00190511
0.01 0.324 0.00752632
0.01 0.33 0.00501579
0.01 0.336 0.0107837
0.01 0.342 0.0127001
0.01 0.348 0.0026989
0.01 0.354 0.00738192
0.01 0.36 0.0190732
0.01 0.366 0.0162088
0.01 0.372 0.000321399
0.01 0.378 0.00379297
0.01 0.384 0.003213
0.01 0.39 0.0183857
0.01 0.396 0.0174099
0.01 0.402 0.016204
0.01 0.408 0.0049118
0.01 0.414 0.00454129
0.01 0.42 0.0194659
0.01 0.426 0.0207756
0.01 0.432 0.0178984
0.01 0.438 0.0155477
0.01 0.444 0.0166954
0.01 0.45 0.0144138
0.01 0.456 0.0170028
0.01 0.462 0.00461135
0.01 0.468 0.0132934
0.01 0.474 0.0219742
0.01 0.48 0.0077914
0.01 0.486 0.00789667
0.01 0.492 0.00421639
0.01 0.498 0.0109711
0.01 0.504 0.00934866
0.01 0.51 0.00571482
0.01 0.516 0.00431676
0.01 0.522 0.00463185
0.01 0.528 0.00070711
0.01 0.534 0.00250283
0.01 0.54 0.000453619
0.01 0.546 0.000342029
0.01 0.552 0.00280552
0.01 0.558 0.0017767
0.01 0.564 0.00129488
0.01 0.57 0.000182069
0.01 0.576 0.000183109
0.01 0.582 0.00102273
0.01 0.588 0.00130167
0.01 0.594 0.000911544
0.01 0.6 0.000657999
0.015 0 0.104021
0.015 0.006 0.0942567
0.015 0.012 0.0717667
0.015 0.018 0.0541581
0.015 0.024 0.0430905
0.015 0.03 0.0354888
0.015 0.036 0.0335141
0.015 0.042 0.0297777
0.015 0.048 0.0234657
0.015 0.054 0.00793283
0.015 0.06 0.00452324
0.015 0.066 0.0166039
0.015 0.072 0.0154822
0.015 0.078 0.00296925
0.015 0.084 0.000827808
0.015 0.09 0.00276957
0.015 0.096 0.00331164
0.015 0.102 0.00285009
0.015 0.108 0.00571667
0.015 0.114 0.00387365
0.015 0.12 0.00737486
0.015 0.126 0.00123772
0.015 0.132 0.00867892
0.015 0.138 0.00864718
0.015 0.144 0.0134806
0.015 0.15 0.0273732
0.015 0.156 0.0169228
0.015 0.162 0.00167109
0.015 0.168 0.0043215
0.015 0.174 0.00935234
0.015 0.18 0.000304404
0.015 0.186 0.00360935
0.015 0.192 0.00536308
0.015 0.198 0.000562438
0.015 0.204 0.00781086
0.015 0.21 0.00346503
0.015 0.216 0.00184933
0.015 0.222 0.0104024
0.015 0.228 0.00614584
0.015 0.234 0.00184263
0.015 0.24 0.0011948
0.015 0.246 0.00417565
0.015 0.252 0.00135781
0.015 0.258 0.000447089
0.015 0.264 0.000936913
0.015 0.27 0.00214868
0.015 0.276 0.00967627
0.015 0.282 0.00554175
0.015 0.288 0.000185959
0.015 0.294 0.00458316
0.015 0.3 0.0194779
0.015 0.306 0.0204767
0.015 0.312 0.0195909
0.015 0.318 0.0062569
0.015 0.324 0.00469858
0.015 0.33 0.00455198
0.015 0.336 0.0101062
0.015 0.342 0.0109676
0.015 0.348 0.00209111
0.015 0.354 0.00707012
0.015 0.36 0.0146169
0.015 0.366 0.00835001
0.015 0.372 0.00386491
0.015 0.378 0.000911272
0.015 0.384 0.0035793
0.015 0.39 0.0112465
0.015 0.396 0.00898415
0.015 0.402 0.0110364
0.015 0.408 0.000320228
0.015 0.414 0.0112771
0.015 0.42 0.0140972
0.015 0.426 0.0150042
0.015 0.432 0.0122422
0.015 0.438 0.0133079
0.015 0.444 0.0178076
0.015 0.45 0.0155505
0.015 0.456 0.0188272
0.015 0.462 0.00289108
0.015 0.468 0.013027
0.015 0.474 0.0215425
0.015 0.48 0.00653335
0.015 0.486 0.00500024
0.015 0.492 0.00253085
0.015 0.498 0.00943981
0.015 0.504 0.007408
0.015 0.51 0.00390956
0.015 0.516 0.00274516
0.015 0.522 0.00320603
0.015 0.528 0.00231033
0.015 0.534 0.00415496
0.015 0.54 0.00162458
0.015 0.546 0.000161363
0.015 0.552 0.00259856
0.015 0.558 0.00223949
0.015 0.564 0.000915878
0.015 0.57 5.15955e-05
0.015 0.576 0.000168326
0.015 0.582 0.00180878
0.015 0.588 0.00206827
0.015 0.594 0.00118881
0.015 0.6 0.000766182
0.02 0 0.15356
0.02 0.006 0.139557
0.02 0.012 0.106309
0.02 0.018 0.0773086
0.02 0.024 0.0559612
0.02 0.03 0.0431727
0.02 0.036 0.0373528
0.02 0.042 0.0320662
0.02 0.048 0.0250602
0.02 0.054 0.0142645
0.02 0.06 0.00377577
0.02 0.066 0.00729359
0.02 0.072 0.0036651
0.02 0.078 0.00792855
0.02 0.084 0.00770606
0.02 0.09 0.00410582
0.02 0.096 0.00252072
0.02 0.102 9.58369e-05
0.02 0.108 0.00402091
0.02 0.114 0.000454426
0.02 0.12 0.0117963
0.02 0.126 0.00508035
0.02 0.132 0.00176725
0.02 0.138 0.00141566
0.02 0.144 0.00820405
0.02 0.15 0.0248418
0.02 0.156 0.0168436
0.02 0.162 0.000255189
0.02 0.168 0.00176898
0.02 0.174 0.00572397
0.02 0.18 0.00154779
0.02 0.186 0.00413707
0.02 0.192 0.00695305
0.02 0.198 0.0052288
0.02 0.204 0.0109652
0.02 0.21 0.00146184
0.02 0.216 0.00854124
0.02 0.222 0.0120468
0.02 0.228 0.00799159
0.02 0.234 0.00218648
0.02 0.24 0.00060933
0.02 0.246 0.00294858
0.02 0.252 0.000745445
0.02 0.258 0.000786507
0.02 0.264 0.00301335
0.02 0.27 0.000905314
0.02 0.276 0.00354298
0.02 0.282 0.00984973
0.02 0.288 0.00406995
0.02 0.294 0.00948018
0.02 0.3 0.0213016
0.02 0.306 0.0229985
0.02 0.312 0.0224787
0.02 0.318 0.00940803
0.02 0.324 0.00244254
0.02 0.33 0.00461147
0.02 0.336 0.00996645
0.02 0.342 0.00954869
0.02 0.348 0.00153979
0.02 0.354 0.00672432
0.02 0.36 0.0119936
0.02 0.366 0.00373919
0.02 0.372 0.00544933
0.02 0.378 0.00355664
0.02 0.384 0.00854052
0.02 0.39 0.00536409
0.02 0.396 0.00221554
0.02 0.402 0.00555626
0.02 0.408 0.00553125
0.02 0.414 0.0167055
0.02 0.42 0.0092429
0.02 0.426 0.00833648
0.02 0.432 0.00528788
0.02 0.438 0.00937624
0.02 0.444 0.0190341
0.02 0.45 0.0181019
0.02 0.456 0.0210767
0.02 0.462 0.000652898
0.02 0.468 0.0134141
0.02 0.474 0.0223772
0.02 0.48 0.00625426
0.02 0.486 0.00281649
0.02 0.492 0.000883984
0.02 0.498 0.00800741
0.02 0.504 0.00525762
0.02 0.51 0.00144277
0.02 0.516 0.000721283
0.02 0.522 0.00175188
0.02 0.528 0.00369761
0.02 0.534 0.0054731
0.02 0.54 0.00262687
0.02 0.546 9.40794e-05
0.02 0.552 0.00236686
0.02 0.558 0.00242008
0.02 0.564 0.000545976
0.02 0.57 0.000427966
0.02 0.576 0.000652819
0.02 0.582 0.00245617
0.02 0.588 0.00266023
0.02 0.594 0.00144971
0.02 0.6 0.000900712
0.025 0 0.20138
0.025 0.006 0.183659
0.025 0.012 0.140218
0.025 0.018 0.10018
0.025 0.024 0.0691031
0.025 0.03 0.0506478
0.025 0.036 0.0398357
0.025 0.042 0.0330307
0.025 0.048 0.0263805
0.025 0.054 0.0197796
0.025 0.06 0.0107602
0.025 0.066 0.00120921
0.025 0.072 0.0067468
0.025 0.078 0.0174454
0.025 0.084 0.0151338
0.025 0.09 0.0101123
0.025 0.096 0.0082117
0.025 0.102 0.00389612
0.025 0.108 0.00109401
0.025 0.114 0.00426672
0.025 0.12 0.0163495
0.025 0.126 0.0109074
0.025 0.132 0.00420572
0.025 0.138 0.00480339
0.025 0.144 0.00305209
0.025 0.15 0.0226843
0.025 0.156 0.0171127
0.025 0.162 0.000869714
0.025 0.168 0.00100117
0.025 0.174 0.00391576
0.025 0.18 0.00133932
0.025 0.186 0.00587498
0.025 0.192 0.00872143
0.025 0.198 0.00961912
0.025 0.204 0.0131513
0.025 0.21 0.00517657
0.025 0.216 0.0128713
0.025 0.222 0.0108156
0.025 0.228 0.00738077
0.025 0.234 0.003729
0.025 0.24 0.00238626
0.025 0.246 0.000219508
0.025 0.252 0.000985822
0.025 0.258 0.00279298
0.025 0.264 0.00576154
0.025 0.27 0.00415783
0.025 0.276 0.00186987
0.025 0.282 0.0113715
0.025 0.288 0.00363596
0.025 0.294 0.0102407
0.025 0.3 0.0177712
0.025 0.306 0.0207124
0.025 0.312 0.0227471
0.025 0.318 0.0103504
0.025 0.324 0.0018822
0.025 0.33 0.00543314
0.025 0.336 0.0102456
0.025 0.342 0.00865222
0.025 0.348 0.00112756
0.025 0.354 0.00723076
0.025 0.36 0.0125022
0.025 0.366 0.00425193
0.025 0.372 0.00412854
0.025 0.378 0.00244175
0.025 0.384 0.00953655
0.025 0.39 0.00249426
0.025 0.396 0.00166437
