# Fig. 1A
# Two-orbital Haldane model
# Dynamical spin-structure factor S(q,omega)
# for Hund exchange Jh/U=0.25
# for interaction U/W=4.0 (W=1)
# in the function of wavevector q and frequency normalized by J

# 1st column: wave vector q/pi
# 2nd column: frequency omega normalized by effective exchange J
# 3rd column: S(q,omega)

 0.983333  0.68  0.973692
 0.983333  0.7  0.762205
 0.983333  0.72  0.574949
 0.983333  0.74  0.442682
 0.983333  0.76  0.347592
 0.983333  0.78  0.317358
 0.983333  0.8  0.255907
 0.983333  0.82  0.269955
 0.983333  0.84  0.305759
 0.983333  0.86  0.341027
 0.983333  0.88  0.30544
 0.983333  0.9  0.316545
 0.983333  0.92  0.326092
 0.983333  0.94  0.323105
 0.983333  0.96  0.339039
 0.983333  0.98  0.274145
 0.983333  1  0.36887
 0.983333  1.02  0.317824
 0.983333  1.04  0.334466
 0.983333  1.06  0.380663
 0.983333  1.08  0.223905
 0.983333  1.1  0.291768
 0.983333  1.12  0.294083
 0.983333  1.14  0.245819
 0.983333  1.16  0.159598
 0.983333  1.18  0.0754329
 0.983333  1.2  0.0675188
 0.983333  1.22  0.0877672
 0.983333  1.24  0.0331712
 0.983333  1.26  0.0406059
 0.983333  1.28  0.0544382
 0.983333  1.3  0.090383
 0.983333  1.32  0.0817799
 0.983333  1.34  0.066788
 0.983333  1.36  0.123252
 0.983333  1.38  0.120306
 0.983333  1.4  0.0522915
 0.983333  1.42  0.119139
 0.983333  1.44  0.0991997
 0.983333  1.46  0.134809
 0.983333  1.48  0.117606
 0.983333  1.5  0.175023
 0.983333  1.52  0.0892779
 0.983333  1.54  0.0716121
 0.983333  1.56  0.0802426
 0.983333  1.58  0.0639428
 0.983333  1.6  0.0594524
 0.983333  1.62  0.0445096
 0.983333  1.64  0.0554689
 0.983333  1.66  0.0294672
 0.983333  1.68 -0.00884776
 0.983333  1.7  0.054811
 0.983333  1.72 -0.0126669
 0.983333  1.74  0.0126174
 0.983333  1.76  0.048579
 0.983333  1.78  0.0440504
 0.983333  1.8  0.0990486
 0.983333  1.82  0.0665895
 0.983333  1.84  0.0852131
 0.983333  1.86  0.047109
 0.983333  1.88  0.0953027
 0.983333  1.9  0.044617
 0.983333  1.92  0.00485947
 0.983333  1.94  0.0655435
 0.983333  1.96  0.0695937
 0.983333  1.98  0.0496197
 0.983333  2  0.0787552
 0.983333  2.02  0.0562306
 0.983333  2.04  0.0942841
 0.983333  2.06  0.052196
 0.983333  2.08  0.121472
 0.983333  2.1  0.0381094
 0.983333  2.12  0.105037
 0.983333  2.14  0.0490608
 0.983333  2.16  0.0885077
 0.983333  2.18  0.127655
 0.983333  2.2  0.0795259
 0.983333  2.22  0.0810244
 0.983333  2.24  0.0267753
 0.983333  2.26  0.117792
 0.983333  2.28  0.0806028
 0.983333  2.3  0.0304271
 0.983333  2.32  0.0801477
 0.983333  2.34  0.0672076
 0.983333  2.36  0.044016
 0.983333  2.38  0.0583577
 0.983333  2.4  0.0600405
 0.983333  2.42  0.0866118
 0.983333  2.44  0.0413236
 0.983333  2.46  0.0601613
 0.983333  2.48  0.0255141
 0.983333  2.5  0.0293667
 0.983333  2.52  0.0558731
 0.983333  2.54  0.0531402
 0.983333  2.56  0.0215581
 0.983333  2.58  0.0552799
 0.983333  2.6 -0.000379929
 0.983333  2.62  0.0228092
 0.983333  2.64  0.0206304
 0.983333  2.66  0.0323003
 0.983333  2.68  0.0286933
 0.983333  2.7  0.044294
 0.983333  2.72  0.0495322
 0.983333  2.74  0.0804064
 0.983333  2.76  0.0498063
 0.983333  2.78  0.0185301
 0.983333  2.8  0.0429976
 0.983333  2.82  0.0340077
 0.983333  2.84  0.0754283
 0.983333  2.86  0.0370393
 0.983333  2.88  0.0416324
 0.983333  2.9  0.0306864
 0.983333  2.92  0.0443075
 0.983333  2.94  0.0526162
 0.983333  2.96  0.0467216
 0.983333  2.98  0.0418809
 0.983333  3  0.0569311
 0.983333  3.02  0.0385267
 0.983333  3.04  0.0420102
 0.983333  3.06  0.0213025
 0.983333  3.08  0.0441391
 0.983333  3.1  0.0523725
 0.983333  3.12  0.0201654
 0.983333  3.14  0.0206537
 0.983333  3.16  0.0332882
 0.983333  3.18  0.061659
 0.983333  3.2  0.0239203
 0.983333  3.22  0.0403247
 0.983333  3.24  0.0422993
 0.983333  3.26  0.0393445
 0.983333  3.28  0.0390226
 0.983333  3.3  0.024642
 0.983333  3.32  0.0308953
 0.983333  3.34  0.0369259
 0.983333  3.36  0.040188
 0.983333  3.38  0.0352298
 0.983333  3.4  0.0280626
 0.983333  3.42  0.0355198
 0.983333  3.44  0.0515253
 0.983333  3.46  0.0252498
 0.983333  3.48  0.0349476
 0.983333  3.5  0.0361503
 0.983333  3.52  0.0258471
 0.983333  3.54  0.0398431
 0.983333  3.56  0.0426485
 0.983333  3.58  0.0338386
 0.983333  3.6  0.0244421
 0.983333  3.62  0.0436959
 0.983333  3.64  0.0330214
 0.983333  3.66  0.0322234
 0.983333  3.68  0.0424977
 0.983333  3.7  0.0333757
 0.983333  3.72  0.0426583
 0.983333  3.74  0.0303236
 0.983333  3.76  0.0348939
 0.983333  3.78  0.0344288
 0.983333  3.8  0.0393182
 0.983333  3.82  0.0303814
 0.983333  3.84  0.0285754
 0.983333  3.86  0.0273844
 0.983333  3.88  0.0270474
 0.983333  3.9  0.0249921
 0.983333  3.92  0.0300206
 0.983333  3.94  0.0242644
 0.983333  3.96  0.0302044
 0.983333  3.98  0.0178857
 0.983333  4  0.0229954

 0.966667  0  0.165406
 0.966667  0.02  0.18282
 0.966667  0.04  0.203706
 0.966667  0.06  0.227932
 0.966667  0.08  0.255316
 0.966667  0.1  0.285775
 0.966667  0.12  0.319407
 0.966667  0.14  0.356543
 0.966667  0.16  0.3977
 0.966667  0.18  0.443591
 0.966667  0.2  0.495089
 0.966667  0.22  0.553212
 0.966667  0.24  0.61912
 0.966667  0.26  0.694065
 0.966667  0.28  0.779333
 0.966667  0.3  0.876171
 0.966667  0.32  0.98568
 0.966667  0.34  1.10875
 0.966667  0.36  1.24591
 0.966667  0.38  1.39752
 0.966667  0.4  1.56334
 0.966667  0.42  1.74157
 0.966667  0.44  1.92742
 0.966667  0.46  2.11408
 0.966667  0.48  2.28327
 0.966667  0.5  2.41685
 0.966667  0.52  2.48598
 0.966667  0.54  2.49895
 0.966667  0.56  2.42845
 0.966667  0.58  2.30873
 0.966667  0.6  2.14545
 0.966667  0.62  1.9695
 0.966667  0.64  1.76616
 0.966667  0.66  1.58242
 0.966667  0.68  1.36396
 0.966667  0.7  1.17004
 0.966667  0.72  1.00149
 0.966667  0.74  0.882703
 0.966667  0.76  0.781374
 0.966667  0.78  0.694087
 0.966667  0.8  0.644512
 0.966667  0.82  0.556386
 0.966667  0.84  0.541093
 0.966667  0.86  0.525986
 0.966667  0.88  0.443078
 0.966667  0.9  0.394327
 0.966667  0.92  0.384988
 0.966667  0.94  0.345553
 0.966667  0.96  0.337181
 0.966667  0.98  0.278811
 0.966667  1  0.297146
 0.966667  1.02  0.288273
 0.966667  1.04  0.252353
 0.966667  1.06  0.248419
 0.966667  1.08  0.219483
 0.966667  1.1  0.235627
 0.966667  1.12  0.230642
 0.966667  1.14  0.224034
 0.966667  1.16  0.140199
 0.966667  1.18  0.0739215
 0.966667  1.2  0.0855978
 0.966667  1.22  0.104816
 0.966667  1.24  0.0631327
 0.966667  1.26  0.0608661
 0.966667  1.28  0.0754669
 0.966667  1.3  0.0946445
 0.966667  1.32  0.0689176
 0.966667  1.34  0.0583868
 0.966667  1.36  0.0753365
 0.966667  1.38  0.089703
 0.966667  1.4  0.0297939
 0.966667  1.42  0.0959056
 0.966667  1.44  0.037821
 0.966667  1.46  0.0613347
 0.966667  1.48  0.0544692
 0.966667  1.5  0.0686795
 0.966667  1.52  0.01909
 0.966667  1.54  0.01776
 0.966667  1.56  0.0414078
 0.966667  1.58 -0.0137386
 0.966667  1.6  0.0171359
 0.966667  1.62 -0.00898443
 0.966667  1.64  0.0721841
 0.966667  1.66  0.0243568
 0.966667  1.68 -0.033542
 0.966667  1.7  0.0465464
 0.966667  1.72 -0.0412805
 0.966667  1.74 -0.0127433
 0.966667  1.76  0.0161458
 0.966667  1.78  0.00319936
 0.966667  1.8  0.0396991
 0.966667  1.82  0.0212122
 0.966667  1.84  0.0587522
 0.966667  1.86  0.00545235
 0.966667  1.88  0.0397366
 0.966667  1.9 -0.0167911
 0.966667  1.92  0.00729665
 0.966667  1.94  0.0305755
 0.966667  1.96  0.0182017
 0.966667  1.98 -0.00334122
