# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, A(k,omega)

0.005 -3 0.00138718
0.005 -2.96 0.00108491
0.005 -2.92 0.00140454
0.005 -2.88 0.00137709
0.005 -2.84 0.00119775
0.005 -2.8 0.00128124
0.005 -2.76 0.00133239
0.005 -2.72 0.00122295
0.005 -2.68 0.00150337
0.005 -2.64 0.00121911
0.005 -2.6 0.00142045
0.005 -2.56 0.00135887
0.005 -2.52 0.00172076
0.005 -2.48 0.0013224
0.005 -2.44 0.00166519
0.005 -2.4 0.00170793
0.005 -2.36 0.00189661
0.005 -2.32 0.00172894
0.005 -2.28 0.00161274
0.005 -2.24 0.00155591
0.005 -2.2 0.00203884
0.005 -2.16 0.00191637
0.005 -2.12 0.00184428
0.005 -2.08 0.00187527
0.005 -2.04 0.00183067
0.005 -2 0.00206756
0.005 -1.96 0.00193313
0.005 -1.92 0.00192315
0.005 -1.88 0.00217107
0.005 -1.84 0.0021973
0.005 -1.8 0.00211029
0.005 -1.76 0.00218072
0.005 -1.72 0.00212479
0.005 -1.68 0.00222545
0.005 -1.64 0.00233205
0.005 -1.6 0.00237556
0.005 -1.56 0.00242072
0.005 -1.52 0.00249486
0.005 -1.48 0.00243327
0.005 -1.44 0.00252455
0.005 -1.4 0.00244871
0.005 -1.36 0.00274396
0.005 -1.32 0.00265122
0.005 -1.28 0.00269783
0.005 -1.24 0.00279312
0.005 -1.2 0.00283193
0.005 -1.16 0.00287555
0.005 -1.12 0.00290513
0.005 -1.08 0.00279991
0.005 -1.04 0.00302991
0.005 -1 0.00298806
0.005 -0.96 0.00311157
0.005 -0.92 0.00314684
0.005 -0.88 0.00314923
0.005 -0.84 0.00318838
0.005 -0.8 0.00322113
0.005 -0.76 0.00336465
0.005 -0.72 0.00337113
0.005 -0.68 0.00349663
0.005 -0.64 0.00359748
0.005 -0.6 0.00369902
0.005 -0.56 0.00372078
0.005 -0.52 0.00383375
0.005 -0.48 0.00394626
0.005 -0.44 0.00400961
0.005 -0.4 0.00410893
0.005 -0.36 0.00422299
0.005 -0.32 0.00429636
0.005 -0.28 0.00442094
0.005 -0.24 0.00452571
0.005 -0.2 0.00458635
0.005 -0.16 0.00463156
0.005 -0.12 0.0045731
