# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=3/2
# k, omega, S(k,omega)

0.01 0.222 0.0848562
0.01 0.228 0.144826
0.01 0.234 0.170927
0.01 0.24 0.176677
0.01 0.246 0.0997552
0.01 0.252 0.0619771
0.01 0.258 0.0310339
0.01 0.264 0.00884742
0.01 0.27 0.0142299
0.01 0.276 0.018437
0.01 0.282 0.00254133
0.01 0.288 0.0205667
0.01 0.294 0.0069289
0.01 0.3 0.00411341
0.01 0.306 0.00489111
0.01 0.312 0.00230143
0.01 0.318 0.00777582
0.01 0.324 0.0124814
0.01 0.33 0.0129626
0.01 0.336 0.0137914
0.01 0.342 0.0174089
0.01 0.348 0.0102193
0.01 0.354 0.0140769
0.01 0.36 0.00584656
0.01 0.366 0.00253221
0.01 0.372 0.00121087
0.01 0.378 0.00281658
0.01 0.384 0.0069384
0.01 0.39 0.00164546
0.01 0.396 0.00110584
0.01 0.402 0.00340136
0.01 0.408 0.00386007
0.01 0.414 0.00476491
0.01 0.42 0.00129295
0.01 0.426 0.000875927
0.01 0.432 0.00354548
0.01 0.438 0.00313366
0.01 0.444 0.00182465
0.01 0.45 0.00175951
0.01 0.456 0.000813418
0.01 0.462 0.00228004
0.01 0.468 0.00380448
0.01 0.474 0.00482449
0.01 0.48 0.00370099
0.01 0.486 0.00370099
0.01 0.492 0.00370099
0.01 0.498 0.00370099
0.01 0.504 0.00370099
0.01 0.51 0.00370099
0.01 0.516 0.00370099
0.01 0.522 0.00370099
0.01 0.528 0.00370099
0.01 0.534 0.00370099
0.01 0.54 0.00370099
0.01 0.546 0.00370099
0.01 0.552 0.00370099
0.01 0.558 0.00370099
0.01 0.564 0.00370099
0.01 0.57 0.00370099
0.01 0.576 0.00370099
0.01 0.582 0.00370099
0.01 0.588 0.00370099
0.01 0.594 0.00370099
0.01 0.6 0.00370099
0.015 0 0.0776479
0.015 0.006 0.07241
0.015 0.012 0.0482996
0.015 0.018 0.0209562
0.015 0.024 0.0245594
0.015 0.03 0.0466899
0.015 0.036 0.0368555
0.015 0.042 0.0336868
0.015 0.048 0.0639602
0.015 0.054 0.0967214
0.015 0.06 0.0614987
0.015 0.066 0.0576687
0.015 0.072 0.0156376
0.015 0.078 0.0461293
0.015 0.084 0.157549
0.015 0.09 0.0821122
0.015 0.096 0.0562885
0.015 0.102 0.0821633
0.015 0.108 0.00237361
0.015 0.114 0.0346302
0.015 0.12 0.0187045
0.015 0.126 0.0306139
0.015 0.132 0.0655267
0.015 0.138 0.0230574
0.015 0.144 0.0243833
